code,description
234519006,Bone marrow transplant rejection (disorder)
234520000,Bone marrow transplant failure (disorder)
234522008,Disease relapse in transplant marrow (disorder)
234646005,Graft-versus-host disease (disorder)
402355000,Acute graft-versus-host disease (disorder)
402356004,Chronic graft-versus-host disease (disorder)
402358003,Sclerodermoid chronic graft-versus-host disease (disorder)
402359006,Toxic epidermal necrolysis due to graft-versus-host disease (disorder)
402361002,Nail dystrophy due to graft-versus-host disease (disorder)
402362009,Oral mucosal disease due to graft-versus-host disease (disorder)
431456004,Accelerated rejection of bone marrow transplant (disorder)
431862001,Acute rejection of bone marrow transplant (disorder)
431953002,Chronic rejection of bone marrow transplant (disorder)
432782005,Hyperacute rejection of bone marrow transplant (disorder)
846606007,Graft versus host disease of liver (disorder)
870351002,Non-infective enteritis due to graft-versus-host disease (disorder)
871633002,Ulcer of intestine due to graft-versus-host disease (disorder)
1.21E+14,Chronic graft versus host disease after transplantation of bone marrow (disorder)
58797008,Complication of transplanted kidney (disorder)
213150003,Kidney transplant failure and rejection (disorder)
236569000,Primary non-function of renal transplant (disorder)
236570004,Renal transplant rejection (disorder)
236571000,Hyperacute rejection of renal transplant (disorder)
236572007,Accelerated rejection of renal transplant (disorder)
236573002,Very mild acute rejection of renal transplant (disorder)
236574008,Acute rejection of renal transplant (disorder)
236575009,Acute rejection of renal transplant - grade I (disorder)
236576005,Acute rejection of renal transplant - grade II (disorder)
236577001,Acute rejection of renal transplant - grade III (disorder)
236578006,Chronic rejection of renal transplant (disorder)
236579003,Chronic rejection of renal transplant - grade I (disorder)
236580000,Chronic rejection of renal transplant - grade II (disorder)
236581001,Chronic rejection of renal transplant - grade III (disorder)
236582008,Acute-on-chronic rejection of renal transplant (disorder)
236583003,Failed renal transplant (disorder)
236585005,De novo transplant disease (disorder)
236587002,Transplant glomerulopathy (disorder)
236588007,Transplant glomerulopathy - early form (disorder)
236589004,Transplant glomerulopathy - late form (disorder)
236614007,Perirenal and periureteric post-transplant lymphocele (disorder)
277010001,Unexplained episode of renal transplant dysfunction (disorder)
277011002,Pre-existing disease in renal transplant (disorder)
426136000,Delayed renal graft function (disorder)
213151004,Heart transplant failure and rejection (disorder)
233933006,Cardiac transplant rejection (disorder)
233934000,Cardiac transplant failure (disorder)
429257001,Disorder of transplanted heart (disorder)
431186002,Accelerated rejection of cardiac transplant (disorder)
431896008,Chronic rejection of cardiac transplant (disorder)
432773004,Hyperacute rejection of cardiac transplant (disorder)
432843002,Acute rejection of cardiac transplant (disorder)
471851005,Disorder of myocardium associated with rejection of cardiac transplant (disorder)
213152006,Heart-lung transplant failure and rejection (disorder)
33167004,Complication of transplanted liver (disorder)
213153001,Liver transplant failure and rejection (disorder)
