icd10_code,icd10_description,snomed_conceptId,snomed_term,read2_code,read2_term
D800,Hereditary hypogammaglobulinaemia,65880007,X-linked agammaglobulinemia (disorder),C390512,Congenital X-linked agammaglobulinaemia
D801,Nonfamilial hypogammaglobulinaemia,116133005,Congenital agammaglobulinemia (disorder),C390511,Bruton's agammaglobulinaemia
D802,Selective deficiency of immunoglobulin A [IgA],234416002,X-linked hypogammaglobulinemia (disorder),C390513,Congenital sex-linked agammaglobulinaemia
D803,Selective deficiency of immunoglobulin G [IgG] subclasses,234533006,X-linked agammaglobulinemia with growth hormone deficiency (disorder),C390500,Congenital hypogammaglobulinaemia
D804,Selective deficiency of immunoglobulin M [IgM],234534000,Autosomal agammaglobulinemia with absent B-cells (disorder),C390.11,Agammaglobulinaemia
D805,Immunodeficiency with increased immunoglobulin M,267460002,Congenital hypogammaglobulinemia (finding),C390900,Agammaglobulinaemia NEC
D808,Other immunodeficiencies with predominantly antibody defects,764858009,Isolated agammaglobulinemia (disorder),C390000,Hypogammaglobulinaemia NOS
D809,"Immunodeficiency with predominantly antibody defects, unspecified",773730002,Osteopetrosis hypogammaglobulinemia syndrome (disorder),C390100,Selective IgA immunodeficiency
D810,Severe combined immunodeficiency [SCID] with reticular dysgenesis,119249001,Agammaglobulinemia (finding),C390300,Selective IgG immunodeficiency
D811,Severe combined immunodeficiency [SCID] with low T- and B-cell numbers,119250001,Hypogammaglobulinemia (finding),C390C00,Immunoglobulin G4 deficiency
D812,Severe combined immunodeficiency [SCID] with low or normal B-cell numbers,234636008,Monosomy 22 and absence of immunoglobulin A (disorder),C390C11,IgG4 deficiency
D813,Adenosine deaminase [ADA] deficiency,234639001,"Triple X syndrome, epilepsy, and hypogammaglobulinemia (disorder)",C390200,Selective IgM immunodeficiency
D814,Nezelof syndrome,1.6318E+16,Hypogammaglobulinemia due to multiple myeloma (disorder),C390600,Immunodeficiency with IgM hypergammaglobulinaemia
D815,Purine nucleoside phosphorylase [PNP] deficiency,29260007,Immunoglobulin A deficiency (disorder),C373C00,AL amyloidosis
D816,Major histocompatibility complex class I deficiency,190979003,Selective immunoglobulin A deficiency (disorder),C390.00,Deficiencies of humoral immunity
D817,Major histocompatibility complex class II deficiency,234551007,Immunoglobulin A1 deficiency (disorder),C392300,Severe combined immunodefiency with reticular dysgenesis
D818,Other combined immunodeficiencies,234552000,Immunoglobulin A2 deficiency (disorder),C392400,Severe combined immunodeficiency with low T- and B-cell numbers
D819,"Combined immunodeficiency, unspecified",123785006,Immunoglobulin G subclass deficiency (finding),C392500,Severe combined immunodeficiency with low or normal B-cell numbers
D820,Wiskott-Aldrich syndrome,190981001,Selective immunoglobulin G deficiency (disorder),C392111,Swiss type agammaglobulinaemia
D821,Di George syndrome,234546001,Immunoglobulin G2 deficiency (disorder),C30yy11,Adenosine-deaminase deficiency
D822,Immunodeficiency with short-limbed stature,234547005,Combined immunoglobulin G2 and G4 deficiency (disorder),C392600,Adenosine deaminase deficiency
D823,Immunodeficiency following hereditary defective response to Epstein-Barr virus,234548000,Immunoglobulin G3 deficiency (disorder),C391300,Nezelof's syndrome
D824,Hyperimmunoglobulin E [IgE] syndrome,234549008,Immunoglobulin G4 deficiency (disorder),C392700,Purine nucleoside phosphorylase deficiency
D828,Immunodeficiency associated with other specified major defects,234550008,Immunoglobulin G1 deficiency (disorder),C392800,Major histocompatibility complex class I deficiency
D829,"Immunodeficiency associated with major defect, unspecified",1.2631E+13,Immunoglobulin G deficiency (disorder),C392900,Major histocompatibility complex class II deficiency
D830,Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function,190980000,Selective immunoglobulin M deficiency (disorder),C392100,Severe combined immunodeficiency
D831,Common variable immunodeficiency with predominant immunoregulatory T-cell disorders,82286005,Hyperimmunoglobulin M syndrome (disorder),C392z00,Combined immunity deficiency NOS
D832,Common variable immunodeficiency with autoantibodies to B- or T-cells,403835002,X-linked hyper-immunoglobulin M syndrome (disorder),C392.00,Combined immunity deficiency
D839,"Common variable immunodeficiency, unspecified",403836001,Autosomal recessive hyperimmunoglobulin M syndrome (disorder),C392000,Recessive agammaglobulinaemia
D840,Lymphocyte function antigen-1 [LFA-1] defect,783248004,Hyperimmunoglobulin M syndrome with susceptibility to opportunistic infection (disorder),C391200,Wiskott - Aldrich syndrome
