icd10_code,icd10_description,snomed_conceptId,snomed_term,read2_code,read2_term
K20,Oesophagitis,16761005,Esophagitis (disorder),J101z00,Oesophagitis NOS
K210,Gastro-oesophageal reflux disease with oesophagitis,53771000,Regurgitant esophagitis (disorder),J101.00,Oesophagitis
K220,Achalasia of cardia,235598006,Non-reflux esophagitis (disorder),J101y00,Other specified oesophagitis
K221,Ulcer of oesophagus,235599003,Eosinophilic esophagitis (disorder),J101700,Eosinophilic oesophagitis
K222,Oesophageal obstruction,235605005,Radiation esophagitis (disorder),J101112,Gastro-oesophageal reflux with oesophagitis
K223,Perforation of oesophagus,235606006,Nasogastric tube esophagitis (disorder),J101113,Oesophageal reflux with oesophagitis
K224,Dyskinesia of oesophagus,409657002,Chronic esophagitis (disorder),J101100,Reflux oesophagitis
K225,"Diverticulum of oesophagus, acquired",413225008,Esophagitis grade I (disorder),J101115,Regurgitant oesophagitis
K227,Barrett oesophagus,413226009,Esophagitis grade II (disorder),J101114,Peptic oesophagitis
K228,Other specified diseases of oesophagus,413227000,Esophagitis grade III (disorder),J101300,Postoperative oesophagitis
K230,Tuberculous oesophagitis,413228005,Esophagitis grade IV (disorder),J101200,Chemical oesophagitis
K231,Megaoesophagus in Chagas disease,430328004,Inflammation of esophagus due to chemotherapy (disorder),J101000,Abscess of oesophagus
K25,Gastric ulcer,735455001,Eosinophilic esophagitis caused by food (disorder),J101400,Gangrenous oesophagitis
K26,Duodenal ulcer,770592009,Proton pump inhibitor responsive eosinophilic esophagitis (disorder),J101500,Phlegmonous oesophagitis
K27,"Peptic ulcer, site unspecified",860872005,Esophagitis due to human immunodeficiency virus disease (disorder),J120300,Acute duodenal ulcer with haemorrhage and perforation
K28,Gastrojejunal ulcer,1027000,Alkaline reflux disease (disorder),J100.00,Achalasia of cardia
K292,Alcoholic gastritis,35023000,Gastroesophagitis (disorder),J100.11,Cardiospasm - oesophagus
K293,Chronic superficial gastritis,266433003,Gastroesophageal reflux disease with esophagitis (disorder),J102z00,Ulcer of oesophagus NOS
K294,Chronic atrophic gastritis,717847008,Erosive gastro-esophageal reflux disease (disorder),J102.00,Ulcer of oesophagus
K295,"Chronic gastritis, unspecified",717848003,Ulcer of esophagus due to gastro-esophageal reflux disease with complication (disorder),J102500,Barrett's ulcer of oesophagus
K296,Other gastritis,717849006,Ulcer of esophagus due to gastro-esophageal reflux disease without complication (disorder),J10y300,Oesophageal erosions
K297,"Gastritis, unspecified",45414006,Glucocorticoid deficiency with achalasia (disorder),J101600,Ulcerative oesophagitis
K298,Duodenitis,45564002,Achalasia of esophagus (disorder),J103000,Compression of oesophagus
