icd10_code,icd10_description,snomed_conceptId,snomed_term,read2_code,read2_term,Decision
T86,Failure and rejection of transplanted organs and tissues,NA,NA,SP08200,Bone-marrow transplant rejection,Include
T860,Bone-marrow transplant rejection,234519006,Bone marrow transplant rejection (disorder),SP08700,Acute graft-versus-host disease,Include
T861,Kidney transplant failure and rejection,234520000,Bone marrow transplant failure (disorder),SP08800,Chronic graft-versus-host disease,Include
T862,Heart transplant failure and rejection,234522008,Disease relapse in transplant marrow (disorder),SP08300,Kidney transplant failure and rejection,Include
T863,Heart-lung transplant failure and rejection,234646005,Graft-versus-host disease (disorder),SP08011,Det.ren.func.after ren.transpl,Include
T864,Liver transplant failure and rejection,402355000,Acute graft-versus-host disease (disorder),SP08R00,Renal transplant rejection,Include
T868,Failure and rejection of other transplanted organs and tissues,402356004,Chronic graft-versus-host disease (disorder),SP08C00,Accelerated rejection of renal transplant,Include
T869,Failure and rejection of unspecified transplanted organ and tissue,402358003,Sclerodermoid chronic graft-versus-host disease (disorder),SP08V00,Very mild acute rejection of renal transplant,Include
Z94,Transplanted organ and tissue status,402359006,Toxic epidermal necrolysis due to graft-versus-host disease (disorder),SP08V11,Borderline changes of acute rejection,Include
Z940,Kidney transplant status,402361002,Nail dystrophy due to graft-versus-host disease (disorder),SP08H00,Acute rejection of renal transplant,Include
Z941,Heart transplant status,402362009,Oral mucosal disease due to graft-versus-host disease (disorder),SP08E00,Acute rejection of renal transplant - grade I,Include
Z942,Lung transplant status,431456004,Accelerated rejection of bone marrow transplant (disorder),SP08F00,Acute rejection of renal transplant - grade II,Include
Z943,Heart and lungs transplant status,431862001,Acute rejection of bone marrow transplant (disorder),SP08G00,Acute rejection of renal transplant - grade III,Include
Z944,Liver transplant status,431953002,Chronic rejection of bone marrow transplant (disorder),SP08J00,Chronic rejection of renal transplant,Include
Z945,Skin transplant status,432782005,Hyperacute rejection of bone marrow transplant (disorder),SP08J11,Chronic transplant nephropathy,Include
Z946,Bone transplant status,846606007,Graft versus host disease of liver (disorder),SP08K00,Chronic rejection of renal transplant - grade 1,Include
Z947,Corneal transplant status,870351002,Non-infective enteritis due to graft-versus-host disease (disorder),SP08L00,Chronic rejection of renal transplant - grade II,Include
Z948,Other transplanted organ and tissue status,871633002,Ulcer of intestine due to graft-versus-host disease (disorder),SP08M00,Chronic rejection of renal transplant - grade III,Include
Z949,"Transplanted organ and tissue status, unspecified",1.21131E+14,Chronic graft versus host disease after transplantation of bone marrow (disorder),SP08D00,Acute-on-chronic rejection of renal transplant,Include
,,58797008,Complication of transplanted kidney (disorder),SP08c00,De novo transplant disease,Include
,,213150003,Kidney transplant failure and rejection (disorder),SP08N00,Unexplained episode of renal transplant dysfunction,Include
,,236569000,Primary non-function of renal transplant (disorder),SP08400,Heart transplant failure and rejection,Include
,,236570004,Renal transplant rejection (disorder),SP08500,Heart-lung transplant failure and rejection,Include
,,236571000,Hyperacute rejection of renal transplant (disorder),SP08600,Liver transplant failure and rejection,Include
,,236572007,Accelerated rejection of renal transplant (disorder),SP08900,Complication of transplanted lung,Include
,,236573002,Very mild acute rejection of renal transplant (disorder),SyuKK11,[X]Corneal graft rejection,Include
,,236574008,Acute rejection of renal transplant (disorder),SP04F00,Rejection of bone allograft,Include
,,236575009,Acute rejection of renal transplant - grade I (disorder),SP0B100,Total failure replanted forearm,Include
,,236576005,Acute rejection of renal transplant - grade II (disorder),SP0C000,Skin graft failure,Include
,,236577001,Acute rejection of renal transplant - grade III (disorder),SP0C100,Flap failure,Include
,,236578006,Chronic rejection of renal transplant (disorder),SP0C200,Bone graft failure,Include
,,236579003,Chronic rejection of renal transplant - grade I (disorder),SP0C500,Disruption of vessel repair,Include
,,236580000,Chronic rejection of renal transplant - grade II (disorder),K0B5.00,Renal tubulo-interstitial disorders in transplant rejection,Include
,,236581001,Chronic rejection of renal transplant - grade III (disorder),Kyu1C00,[X]Renal tubulo-interstitial disorders in transplant rejection,Include
,,236582008,Acute-on-chronic rejection of renal transplant (disorder),SP08100,Transplanted organ rejection,Include
,,236583003,Failed renal transplant (disorder),SP08000,Transplanted organ failure,Include
,,236585005,De novo transplant disease (disorder),14S2.00,H/O: kidney recipient,Include
,,236587002,Transplant glomerulopathy (disorder),ZV42000,[V]Kidney transplanted,Include
,,236588007,Transplant glomerulopathy - early form (disorder),SP08b00,De novo glomerulonephritis,Include
,,236589004,Transplant glomerulopathy - late form (disorder),14S3.00,H/O: heart recipient,Include
,,236614007,Perirenal and periureteric post-transplant lymphocele (disorder),ZV42100,[V]Heart transplanted,Include
,,277010001,Unexplained episode of renal transplant dysfunction (disorder),14T7.00,H/O: artificial heart,Include
,,277011002,Pre-existing disease in renal transplant (disorder),ZV43200,[V]Has artificial heart,Include
,,426136000,Delayed renal graft function (disorder),ZV42600,[V]Lung transplanted,Include
,,213151004,Heart transplant failure and rejection (disorder),14S9.00,H/O: lung recipient,Include
,,233933006,Cardiac transplant rejection (disorder),14S8.00,H/O: liver recipient,Include
,,233934000,Cardiac transplant failure (disorder),ZV42700,[V]Liver transplanted,Include
,,429257001,Disorder of transplanted heart (disorder),14S5.00,H/O: skin recipient,Include
,,431186002,Accelerated rejection of cardiac transplant (disorder),ZV42300,[V]Skin transplanted,Include
,,431896008,Chronic rejection of cardiac transplant (disorder),ZV42400,[V]Bone transplanted,Include
,,432773004,Hyperacute rejection of cardiac transplant (disorder),14S6.00,H/O: bone tissue recipient,Include
,,432843002,Acute rejection of cardiac transplant (disorder),14S7.00,H/O: cornea recipient,Include
,,471851005,Disorder of myocardium associated with rejection of cardiac transplant (disorder),ZV42500,[V]Cornea transplanted,Include
,,213152006,Heart-lung transplant failure and rejection (disorder),14TZ.00,H/O: artificial tissue NOS,Include
,,33167004,Complication of transplanted liver (disorder),14T..00,H/O: artificial organ/tissue,Include
,,213153001,Liver transplant failure and rejection (disorder),14S..00,H/O: tissue/organ recipient,Include
