icd10_code,icd10_description,snomed_conceptId,snomed_term,read2_code,read2_term
F060,Organic hallucinosis,737225007,Secondary psychotic syndrome with hallucinations and delusions (disorder),Eu05100,[X]Organic catatonic disorder
F061,Organic catatonic disorder,231442003,Organic catatonic disorder (disorder),Eu05211,[X]Paranoid organic state
F062,Organic delusional [schizophrenia-like] disorder,5510009,Organic delusional disorder (disorder),Eu05200,[X]Organic delusional [schizophrenia-like] disorder
F063,Organic mood [affective] disorders,22419002,Mood disorder with mixed features due to general medical condition (disorder),Eu05212,[X]Schizophrenia-like psychosis in epilepsy
F064,Organic anxiety disorder,23645006,Organic mood disorder (disorder),E03y000,Organic delusional syndrome
F065,Organic dissociative disorder,28676002,Mood disorder with manic features due to general medical condition (disorder),Eu05300,[X]Organic mood [affective] disorders
F066,Organic emotionally labile [asthenic] disorder,37739004,Mood disorder due to a general medical condition (disorder),E03y200,Organic affective syndrome
F067,Mild cognitive disorder,42594001,Organic mood disorder of depressed type (disorder),Eu05400,[X]Organic anxiety disorder
F068,Other specified mental disorders due to brain damage and dysfunction and to physical disease,58329000,Organic mood disorder of manic type (disorder),Eu05500,[X]Organic dissociative disorder
F07,"Personality and behavioural disorders due to brain disease, damage and dysfunction",75837004,Mood disorder with depressive features due to general medical condition (disorder),Eu05600,[X]Organic emotionally labile [asthenic] disorder
F070,Organic personality disorder,77486005,Mood disorder with major depressive-like episode due to general medical condition (disorder),Eu05700,[X]Mild cognitive disorder
F071,Postencephalitic syndrome,83501007,Organic mood disorder of mixed type (disorder),28E0.00,Mild cognitive impairment
F072,Postconcussional syndrome,231444002,Organic bipolar disorder (disorder),E2A1100,Organic memory impairment
F078,"Other organic personality and behavioural disorders due to brain disease, damage and dysfunction",17496003,Organic anxiety disorder (disorder),Eu06015,[X]Postleucotomy syndrome
F079,"Unspecified organic personality and behavioural disorder due to brain disease, damage and dysfunction",52910006,Anxiety disorder due to a general medical condition (disorder),Eu06011,[X]Organic pseudopsychopathic personality
F09,Unspecified organic or symptomatic mental disorder,231445001,Organic dissociative disorder (disorder),Eu06013,[X]Limbic epilepsy personality
F32,Depressive episode,231446000,Organic emotionally labile disorder (disorder),E2A1z00,Organic personality syndrome NOS
F320,Mild depressive episode,386805003,Mild cognitive disorder (disorder),E2A1.00,Organic personality syndrome
F321,Moderate depressive episode,836301008,Amnestic mild cognitive disorder (disorder),Eu06000,[X]Organic personality disorder
F322,Severe depressive episode without psychotic symptoms,1.41601E+14,Cognitive changes due to organic disorder (finding),Eu06014,[X]Lobotomy syndrome
F323,Severe depressive episode with psychotic symptoms,192072002,Organic memory impairment (disorder),E2A0.00,Frontal lobe syndrome
F328,Other depressive episodes,231449007,Epileptic psychosis (disorder),Eu06012,[X]Frontal lobe syndrome
F329,"Depressive episode, unspecified",278852008,Paranoid-hallucinatory epileptic psychosis (disorder),E2A3.11,Post-encephalitis syndrome
F33,Recurrent depressive disorder,703041000,Dysexecutive syndrome (disorder),E2A3.00,Post-encephalitic syndrome
F330,"Recurrent depressive disorder, current episode mild",1.40621E+14,Memory disorder co-occurrent and due to organic brain damage (disorder),Eu06100,[X]Postencephalitic syndrome
F331,"Recurrent depressive disorder, current episode moderate",10651001,Temporal lobectomy behavior syndrome (disorder),E2A2.11,Post-traumatic brain syndrome
F332,"Recurrent depressive disorder, current episode severe without psychotic symptoms",36217008,Organic personality disorder (disorder),E2A2.00,Post-concussion syndrome
F333,"Recurrent depressive disorder, current episode severe with psychotic symptoms",46721000,Psychoactive substance-induced organic personality disorder (disorder),Eu06211,[X]Postcontusional syndrome
F334,"Recurrent depressive disorder, currently in remission",129606007,Frontal lobe syndrome (disorder),Eu06200,[X]Postconcussional syndrome
F338,Other recurrent depressive disorders,231452004,Limbic epilepsy personality syndrome (disorder),E2A2.12,Post-head injury syndrome
F339,"Recurrent depressive disorder, unspecified",231454003,Organic pseudopsychopathic personality (disorder),Eu06212,[X]Post-traumatic brain syndrome
F34,Persistent mood [affective] disorders,231455002,Organic pseudoretarded personality (disorder),Eu06y11,[X]Right hemispheric organic affective disorder
F340,Cyclothymia,40673001,Post-encephalitic syndrome (disorder),E0...00,Organic psychotic conditions
F341,Dysthymia,40425004,Postconcussion syndrome (disorder),E04y.00,Other specified chronic organic psychoses
F38,Other mood [affective] disorders,230282000,Post-traumatic dementia (disorder),E04z.00,Chronic organic psychosis NOS
F380,Other single mood [affective] disorders,231530005,Post-concussional personality disorder (disorder),E0y..00,Other specified organic psychoses
F381,Other recurrent mood [affective] disorders,698687007,Post-traumatic dementia with behavioral change (disorder),E04..00,Other chronic organic psychoses
F388,Other specified mood [affective] disorders,231443008,Right hemispheric organic affective disorder (disorder),E0z..00,Organic psychoses NOS
F39,Unspecified mood [affective] disorder,231524005,Interictal behavior disorder (disorder),E2Az.00,Nonpsychotic mental disorder following organic brain damage NOS
F40,Phobic anxiety disorders,191447007,Organic psychotic condition (disorder),E2A..00,Specific nonpsychotic mental disorders following organic brain damage
F400,Agoraphobia,192069009,Specific nonpsychotic mental disorders following organic brain damage (disorder),E112100,"Single major depressive episode, mild"
F401,Social phobias,48589009,Minor depressive disorder (disorder),Eu32400,[X]Mild depression
F409,"Phobic anxiety disorder, unspecified",79298009,"Mild major depression, single episode (disorder)",Eu33000,"[X]Recurrent depressive disorder, current episode mild"
F410,Panic disorder [episodic paroxysmal anxiety],310495003,Mild depression (disorder),Eu32000,[X]Mild depressive episode
F41,Other anxiety disorders,1.6266E+16,Mild major depressive disorder co-occurrent with anxiety single episode (disorder),E112200,"Single major depressive episode, moderate"
F411,Generalized anxiety disorder,15639000,"Moderate major depression, single episode (disorder)",Eu33100,"[X]Recurrent depressive disorder, current episode moderate"
F412,Mixed anxiety and depressive disorder,310496002,Moderate depression (disorder),Eu32100,[X]Moderate depressive episode
F413,Other mixed anxiety disorders,1.62668E+16,Moderate major depressive disorder co-occurrent with anxiety single episode (disorder),Eu32600,"[X]Major depression, moderately severe"
