icd10_code,icd10_description,snomed_conceptId,snomed_term,read2_code,read2_term
T820,Mechanical complication of heart valve prosthesis,43873004,Mechanical complication due to heart valve prosthesis (disorder),SP00200,Mechanical complication of heart valve prosthesis
T821,Mechanical complication of cardiac electronic device,213036006,Mechanical complication of heart valve prosthesis (disorder),G56y600,Pacemaker twiddler's syndrome
T822,Mechanical complication of coronary artery bypass and valve grafts,234181008,Prosthetic cardiac valve dehiscence (disorder),SP00100,Mechanical complication of cardiac pacemaker
T823,Mechanical complication of other vascular grafts,234182001,Prosthetic cardiac valve component embolism (disorder),SP00300,Mechanical complication of coronary bypass
T824,Mechanical complication of vascular dialysis catheter,234184000,Prosthetic cardiac paravalvular leak (disorder),SP01100,Mechanical complication of aortic graft
T825,Mechanical complication of other cardiac and vascular devices and implants,234186003,Prosthetic cardiac valve obstruction (disorder),SP01200,Mechanical complication of carotid artery bypass
T826,Infection and inflammatory reaction due to cardiac valve prosthesis,234189005,Prosthetic cardiac valve displacement (disorder),SP01500,Mechanical complication of dialysis catheter
T827,"Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts",250975000,Paraprosthetic aortic regurgitation (disorder),SP00.00,"Mechanical complication of cardiac device, implant and graft"
T828,"Other specified complications of cardiac and vascular prosthetic devices, implants and grafts",250988002,Paraprosthetic mitral regurgitation (disorder),SP01300,Mechanical complication of vena cava umbrella
T829,"Unspecified complication of cardiac and vascular prosthetic device, implant and graft",297285002,Paraprosthetic pulmonary regurgitation (disorder),SP01400,Mechanical complication of intra-aortic balloon
T831,Mechanical complication of other urinary devices and implants,297286001,Paraprosthetic tricuspid regurgitation (disorder),SP01600,Mechanical complication of arterio-venous surgical shunt
T832,Mechanical complication of graft of urinary organ,703157002,Prosthetic mitral valve failure (disorder),SP01700,Mechanical complication of arterio-venous surgical fistula
T834,"Mechanical complication of other prosthetic devices, implants and grafts in genital tract",703169005,Acute prosthetic aortic valve regurgitation (disorder),SP00.11,Leakage due to cardiac device
T835,"Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system",703171005,Prosthetic aortic valve failure (disorder),SP01A00,Blockage of totally implantable venous access device
T836,"Infection and inflammatory reaction due to prosthetic device, implant and graft in genital tract",703175001,Acute prosthetic mitral valve regurgitation (disorder),SP01900,Detachment of line from totally implantable venous access device hub
T838,"Other complications of genitourinary prosthetic devices, implants and grafts",703187008,Prosthetic pulmonary valve failure (disorder),Gy40.00,Infection of dialysis arteriovenous graft
T839,"Unspecified complication of genitourinary prosthetic device, implant and graft",703188003,Prosthetic pulmonary valve failure requiring replacement (disorder),SP06A00,Infection of totally implantable venous access device
Z43,Attention to artificial openings,703287002,Prosthetic tricuspid valve failure (disorder),G72B000,Dissection of transplant artery
Z430,Attention to tracheostomy,703288007,Prosthetic tricuspid valve failure requiring revision (disorder),SP07D00,Embolism in vascular graft
Z431,Attention to gastrostomy,703290008,Prosthetic pulmonary valve failure requiring revision (disorder),SP07M00,Thrombosis of renal artery bypass graft
Z432,Attention to ileostomy,703292000,Prosthetic tricuspid valve regurgitation (disorder),SP07600,Coronary artery bypass graft occlusion
Z433,Attention to colostomy,703293005,Prosthetic pulmonary valve regurgitation (disorder),SP07G00,Stenosis of arteriovenous dialysis fistula
Z434,Attention to other artificial openings of digestive tract,703296002,Acute prosthetic tricuspid valve regurgitation (disorder),SP...12,Bypass complications
Z435,Attention to cystostomy,2.85961E+14,Mechanical breakdown of prosthetic heart valve (disorder),SP01.00,"Mechanical complication of other vascular device, implant and graft"
Z437,Attention to artificial vagina,12727006,Mechanical complication due to cardiac pacemaker electrode (disorder),SP00z00,"Mechanical complication of cardiac device, implant or graft NOS"
Z438,Attention to other artificial openings,20681005,Perforation of cardiac device (disorder),SP01z00,"Mechanical complication of vascular device, implant or graft NOS"
Z439,Attention to unspecified artificial opening,40669004,Malfunction from artificial pacing (finding),SP00000,"Mechanical complication of cardiac device, unspecified"
Z442,Fitting and adjustment of artificial eye,72496005,Electro-mechanical dissociation caused by pacemaker (finding),SP01000,"Mechanical complication of vascular device, unspecified"
Z450,Adjustment and management of cardiac devices,78240009,Cardiac arrest due to pacemaker failure (disorder),SP03500,Mechanical complication of ureter repair graft
Z453,Adjustment and management of implanted hearing device,78340007,Mechanical obstruction of cardiac device (disorder),SP03800,Blocked ureteric stent
Z465,Fitting and adjustment of ileostomy and other intestinal appliances,129575004,Pacemaker twiddler's syndrome (disorder),SP03400,Mechanical complication of prosthetic reconstruction of vas deferens
Z93,Artificial opening status,213035005,Mechanical complication of cardiac pacemaker (disorder),SP07700,"Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system"
Z930,Tracheostomy status,234209001,Disorder of cardiac pacemaker electrode (disorder),SP03600,"Unspecified complication of genitourinary prosthetic device,implant and graft"
Z931,Gastrostomy status,234211005,Pacemaker electrode displacement (disorder),SP03.11,"Mechanical complication of urinary device, implant or graft"
Z932,Ileostomy status,234212003,Pacemaker electrode lead fracture (disorder),SP03000,"Mechanical complication of genito-urinary device, unspecified"
Z933,Colostomy status,234213008,Pacemaker electrode lead displacement (disorder),SP03z00,"Mechanical complication of genito-urinary device, implant or graft NOS"
Z934,Other artificial openings of gastrointestinal tract status,234214002,Disorder of pacemaker pulse generator (disorder),SP03y00,Mechanical complication of other genito-urinary device
Z935,Cystostomy status,234216000,Pacemaker pulse generator failure (disorder),8D68.00,Ileostomy bag changed
Z936,Other artificial openings of urinary tract status,234217009,Disorder of pacing function (disorder),ZV44000,[V]Has tracheostomy
Z938,Other artificial opening status,234218004,Failure of cardiac pacemaker to capture (disorder),ZV44100,[V]Has gastrostomy
Z939,"Artificial opening status, unspecified",234219007,Cardiac pacemaker sensitivity problem (disorder),J524100,Complication of gastrostomy
Z99,"Dependence on enabling machines and devices, not elsewhere classified",234220001,Oversensing cardiac pacemaker (disorder),ZV44200,[V]Has ileostomy
Z990,Dependence on aspirator,234222009,Cardiac pacemaker myoinhibition (disorder),ZV44300,[V]Has colostomy
Z991,Dependence on respirator,234224005,Cardiac pacemaker syndrome (disorder),ZV44500,[V]Has cystostomy
Z992,Dependence on renal dialysis,234226007,Runaway cardiac pacemaker (disorder),25T..00,O/E - stoma
Z993,Dependence on wheelchair,234227003,Cross-talk in dual chamber cardiac pacemaker (disorder),ZVu6Z00,[X]Other artificial openings of gastrointestinal tract status
Z994,Dependence on artificial heart,234229000,Disorder of implanted cardiac defibrillator electrode (disorder),ZVu6b00,[X]Other artificial opening status
Z998,Dependence on other enabling machines and devices,234231009,Implanted defibrillator electrode displacement (disorder),ZV46000,[V]Aspirator dependence
Z999,Dependence on unspecified enabling machine and device,234232002,Implanted defibrillator electrode lead fracture (disorder),ZV46100,[V]Respirator dependence
Z982,Presence of cerebrospinal fluid drainage device,234233007,Implanted defibrillator electrode lead displacement (disorder),ZV46111,[V]Iron lung dependence
T82,"Complications of cardiac and vascular prosthetic devices, implants and grafts",234234001,Disorder of implanted defibrillator generator (disorder),ZV46112,[V]Mechanically assisted ventilation
,,234236004,Implanted defibrillator generator failure (disorder),8DD..00,Dependence on renal dialysis
,,234238003,High threshold for implanted defibrillator (disorder),ZV46200,[V]Dependence on wheelchair
,,234239006,Inappropriate shocks from implanted defibrillator (disorder),ZV46.00,[V]Other machine dependence
,,432355004,Malfunction of cardiac pacemaker (disorder),ZV45D00,[V]Presence of artificial limb (complete)(partial)
,,432479001,Mechanical malfunction of biventricular automatic implantable cardioverter defibrillator (disorder),ZV45S00,[V]Ventriculoperitoneal shunt catheter in situ
,,434392000,Malfunction of biventricular cardiac pacemaker (disorder),ZV44600,[V]Has other artificial opening of urinary tract
,,473157001,Pacemaker battery depletion (disorder),ZV44611,[V]Has nephrostomy
,,724432001,Malfunction of implantable defibrillator ventricular lead (disorder),ZV44613,[V]Has urethrostomy
,,724433006,Implantable cardioverter battery end of life (disorder),SP07E00,Stricture of vein graft
,,724434000,Inappropriate implantable cardioverter shock (disorder),SP01800,Mechanical complication of Hickman Line
,,735687006,Pacemaker generator dysfunction (disorder),SP07800,"Infection and inflammatory reaction due to prosthetic device, implant and graft in genital tract"
,,762659002,Breakage of implantable cardiac defibrillator lead insulation (disorder),,
,,762661006,Dysfunction of implantable cardiac defibrillator lead (disorder),,
,,762681007,Breakage of cardiac pacemaker lead insulation (disorder),,
,,762682000,Dysfunction of cardiac pacemaker lead (disorder),,
,,6.8921E+13,Malfunction of biventricular automatic implantable cardioverter defibrillator (disorder),,
,,2.85121E+14,Malfunction of biventricular automatic implantable cardioverter defibrillator generator (disorder),,
,,2.85131E+14,Malfunction of biventricular cardiac pacemaker battery (disorder),,
,,1.2245E+16,Malfunction of automatic implantable cardioverter defibrillator (disorder),,
,,1.22451E+16,Malfunction of cardiac pacemaker battery (disorder),,
,,78717006,Mechanical complication due to coronary bypass graft (disorder),,
,,213037002,Mechanical complication of coronary bypass (disorder),,
,,269438006,Bypass graft mechanical complications (disorder),,
,,2.85951E+14,Mechanical breakdown of coronary artery bypass graft (disorder),,
,,45136001,Mechanical complication of carotid artery bypass graft (disorder),,
,,79325000,Mechanical complication of aortic graft (disorder),,
,,213044006,Mechanical complication of carotid artery bypass (disorder),,
,,233971003,Stenosis of transplant artery (disorder),,
,,234197003,Vascular graft malposition (disorder),,
,,306849003,Occlusion of femorofemoral crossover bypass graft (disorder),,
,,443461006,Leakage of conduit from right atrium to pulmonary artery (disorder),,
,,17778006,Mechanical complication of dialysis catheter (disorder),,
,,698937002,Misplacement of hemodialysis catheter (disorder),,
,,736987000,Mechanical complication of hemodialysis catheter (disorder),,
,,50006004,Mechanical complication of intra-aortic balloon device (disorder),,
,,60348003,Displacement of cardiac device (disorder),,
,,64545009,Protrusion of cardiac device (disorder),,
,,75446001,"Mechanical complication of cardiac device, implant AND/OR graft (disorder)",,
,,83722004,Leakage of cardiac device (disorder),,
,,111739000,Mechanical complication of cardiovascular device (disorder),,
,,111740003,Mechanical breakdown of cardiac device (disorder),,
,,213045007,Mechanical complication of vena cava umbrella (disorder),,
,,213046008,Mechanical complication of intra-aortic balloon (disorder),,
,,213048009,Mechanical complication of arteriovenous surgical shunt (disorder),,
,,213049001,Mechanical complication of arteriovenous surgical fistula (disorder),,
,,234180009,Leakage due to cardiac device (disorder),,
,,234240008,Intra-aortic balloon rupture (disorder),,
,,234243005,Inadequate aortic balloon augmentation (disorder),,
,,251031008,Coronary stent occluded (finding),,
,,269439003,Mechanical complication of vascular device (disorder),,
,,280976006,Arteriovenous graft aneurysm (disorder),,
,,371069001,Intrahepatic portal shunt malfunction (disorder),,
,,371071001,Portocaval shunt malfunction (disorder),,
,,371075005,Splenorenal shunt malfunction (disorder),,
,,442298000,Fracture of stent of coronary artery (disorder),,
,,448321007,Complete obstruction of cardiac conduit (disorder),,
,,448622009,Complete obstruction of systemic to pulmonary artery shunt (disorder),,
,,448651008,Partial obstruction of systemic to pulmonary artery shunt (disorder),,
,,473024001,Mechanical complication of cardiac implant (disorder),,
,,473044007,Mechanical complication of vascular implant (disorder),,
,,473125002,Migration of vascular stent (disorder),,
,,473138005,Migration of central venous catheter (disorder),,
,,473182001,Obstruction of totally implantable venous access device (disorder),,
,,699193005,Detachment of line from totally implantable venous access device hub (disorder),,
,,9.4091E+13,Mechanical complication of arteriovenous access or graft (disorder),,
,,1.08431E+14,Mechanical complication of venous catheter (disorder),,
,,233853009,Prosthetic valve endocarditis (disorder),,
,,461432007,Abscess at site of cardiac valve prosthesis (disorder),,
,,703179007,Endocarditis of prosthetic mitral valve (disorder),,
,,703189006,Endocarditis of prosthetic aortic valve (disorder),,
,,703190002,Endocarditis of prosthetic tricuspid valve (disorder),,
,,703191003,Endocarditis of prosthetic pulmonary valve (disorder),,
,,234195006,Vascular graft infection (disorder),,
,,234210006,Pacemaker electrode infection (disorder),,
,,234215001,Infected pacemaker (disorder),,
,,234230005,Implanted defibrillator electrode infection (disorder),,
,,234235000,Implanted defibrillator generator infection (disorder),,
,,234241007,Intra-aortic balloon infection (disorder),,
,,280973003,Arteriovenous graft infection (disorder),,
,,280978007,Arteriovenous shunt infection (disorder),,
,,307393002,Infected arterial graft (disorder),,
,,307394008,Infected aortic graft (disorder),,
,,307395009,Infected aortoiliac graft (disorder),,
,,307396005,Infected aortofemoral graft (disorder),,
,,307397001,Infected femorofemoral crossover graft (disorder),,
,,307398006,Infected iliofemoral graft (disorder),,
,,307399003,Infected iliopopliteal graft (disorder),,
,,307400005,Infected femoropopliteal graft (disorder),,
,,307401009,Infected femorodistal graft (disorder),,
,,307402002,Infected axillofemoral graft (disorder),,
,,310643001,Infection of intravenous catheter (disorder),,
,,430332005,Infection of arteriovenous graft for hemodialysis (disorder),,
,,432263000,Infection of biventricular cardiac pacemaker (disorder),,
,,444801008,Infection associated with biventricular automatic implantable cardioverter defibrillator (disorder),,
,,459058002,Infective endocarditis of homograft (disorder),,
,,459059005,Infective endocarditis of heterograft (disorder),,
,,459156001,Abscess of cardiovascular homograft (disorder),,
,,459157005,Abscess of cardiovascular heterograft (disorder),,
,,461416009,Infective endocarditis at site of implanted vascular shunt (disorder),,
,,461430004,Abscess of vascular cardiac conduit (disorder),,
,,461437001,Abscess at site of systemic to pulmonary arterial shunt (disorder),,
,,473052005,Infection associated with totally implantable venous access device (disorder),,
,,473054006,Infection of tunnel site of tunneled central venous catheter (disorder),,
,,473055007,Infection of pacemaker pulse generator site (disorder),,
,,473060006,Infection associated with cardiac implant (disorder),,
,,473083009,Infection associated with vascular device (disorder),,
,,473084003,Infection associated with vascular implant (disorder),,
,,473086001,Inflammation associated with cardiac implant (disorder),,
,,473100006,Inflammation associated with vascular device (disorder),,
,,473101005,Inflammation associated with vascular implant (disorder),,
,,473152007,Superficial ulcer of skin of pacemaker pulse generator site (disorder),,
,,715272002,Infection of hemodialysis catheter exit site (disorder),,
,,736152001,Infection of bloodstream co-occurrent and due to central venous catheter in situ (disorder),,
,,736918003,Infection of bloodstream co-occurrent and due to hemodialysis catheter in situ (disorder),,
,,736920000,Infection of bloodstream co-occurrent and due to tunneled hemodialysis catheter in situ (disorder),,
,,736984007,Infection of bloodstream co-occurrent and due to temporary hemodialysis catheter in situ (disorder),,
,,764680009,Infection of left ventricular assist device driveline (disorder),,
,,3.2751E+13,Line sepsis associated with dialysis catheter (disorder),,
,,2.85781E+14,Infection of cardiac graft (disorder),,
,,234001008,Dissection of transplant artery (disorder),,
,,234004000,Hemorrhage of transplant artery (disorder),,
,,234008002,Rupture of transplanted artery (disorder),,
,,234045008,Thrombosis of transplanted vein (disorder),,
,,234046009,Transplant renal vein thrombosis (disorder),,
,,234066000,Stenosis of transplant vein (disorder),,
,,234077006,Hemorrhage of transplanted vein (disorder),,
,,234183006,Prosthetic cardiac valve regurgitation (disorder),,
,,234185004,Prosthetic cardiac valve thrombosis (disorder),,
,,234187007,Prosthetic cardiac valve vegetation (disorder),,
,,234188002,Prosthetic cardiac valve calcification (disorder),,
,,234191002,Vascular graft occlusion (disorder),,
,,234192009,Vascular graft stenosis (disorder),,
,,234193004,Vascular graft anastomotic stenosis (disorder),,
,,234194005,Vascular graft thrombosis (disorder),,
,,234196007,Vascular graft twisting (disorder),,
,,234198008,Vascular graft aneurysm (disorder),,
,,234199000,Vascular graft calcification (disorder),,
,,234200002,Vascular graft enteric fistula (disorder),,
,,234201003,Vascular graft hemorrhage (disorder),,
,,234202005,Arteriovenous fistula occlusion (disorder),,
,,234221002,Undersensing cardiac pacemaker (disorder),,
,,234223004,Cardiac pacemaker electrical interference (disorder),,
,,234225006,Pacemaker re-entrant tachycardia (disorder),,
,,234242000,Intra-aortic balloon thrombosis (disorder),,
,,239201001,Arterial insufficiency of flap (disorder),,
,,239202008,No reflow phenomenon of flap (disorder),,
,,239203003,Arterial thrombosis of flap (disorder),,
,,250974001,Prosthetic aortic valve regurgitation (disorder),,
,,250987007,Prosthetic mitral valve regurgitation (disorder),,
,,251024009,Coronary graft stenosis (disorder),,
,,251030009,Coronary stent stenosis (finding),,
,,271967002,Disorder of vena cava umbrella (disorder),,
,,271985009,Disorder of intra-aortic pulsation balloon (disorder),,
,,280967004,Arterial graft thrombosis (disorder),,
,,280970000,Arteriovenous graft occlusion (disorder),,
,,280971001,Arteriovenous graft stenosis (disorder),,
,,280972008,Arteriovenous graft thrombosis (disorder),,
,,280974009,Arteriovenous graft hemorrhage (disorder),,
,,280975005,Arteriovenous graft rupture (disorder),,
,,304090004,Vascular graft embolus (disorder),,
,,306847001,Occlusion of arterial bypass graft (disorder),,
,,306848006,Occlusion of femoropopliteal bypass graft (disorder),,
,,306850003,Occlusion of axillofemoral bypass graft (disorder),,
,,306851004,Occlusion of aortic bifurcation bypass graft (disorder),,
,,306852006,Occlusion of renal artery bypass graft (disorder),,
,,306853001,Thrombosis of femoropopliteal bypass graft (disorder),,
,,306854007,Thrombosis of femorofemoral crossover bypass graft (disorder),,
,,306855008,Thrombosis of axillofemoral bypass graft (disorder),,
,,306856009,Thrombosis of aortic bifurcation bypass graft (disorder),,
,,306857000,Thrombosis of renal artery bypass graft (disorder),,
,,370513009,Fibrosis of cardiac pacemaker electrode (disorder),,
,,371805005,Significant coronary bypass graft disease (disorder),,
,,408546009,Coronary artery bypass graft occlusion (disorder),,
,,421327009,Coronary artery stent thrombosis (disorder),,
,,423062001,Stenosis of arteriovenous dialysis fistula (disorder),,
,,430333000,Hematoma of dialysis access site (disorder),,
,,439862003,Hematoma caused by cardiac pacemaker (disorder),,
,,442363001,Thrombophilia caused by vascular device (disorder),,
,,448530003,Partial obstruction of cardiac conduit (disorder),,
,,472812002,Mechanical hemolysis due to cardiovascular prosthetic patch (disorder),,
,,473163005,Embolization of vascular device fragment during cardiac catheterization (disorder),,
,,473172002,Hematoma of pacemaker pulse generator site (disorder),,
,,703159004,Prosthetic mitral valve failure requiring replacement (disorder),,
,,703160009,Prosthetic mitral valve failure requiring revision (disorder),,
,,703167007,Prosthetic mitral valve stenosis (disorder),,
,,703168002,Prosthetic mitral valve stenosis and regurgitation (disorder),,
,,703170006,Prosthetic aortic valve stenosis (disorder),,
,,703172003,Prosthetic aortic valve failure requiring revision (disorder),,
,,703173008,Prosthetic aortic valve failure requiring replacement (disorder),,
,,703177009,Prosthetic mitral valve calcific stenosis (disorder),,
,,703200003,Prosthetic tricuspid valve stenosis (disorder),,
,,703289004,Prosthetic tricuspid valve failure requiring replacement (disorder),,
,,703291007,Prosthetic pulmonary valve stenosis (disorder),,
,,703297006,Prosthetic aortic valve stenosis and regurgitation (disorder),,
,,735586009,Atrial erosion caused by implanted device following atrial operation (disorder),,
,,762249009,Erosion of pacemaker pocket due to and following implantation of cardiac pacemaker (disorder),,
,,762520000,Erosion of right atrium due to and following implantation of device (disorder),,
,,762542004,Erosion of left atrium due to and following implantation of device (disorder),,
,,762667005,Stimulation of muscle pocket due to and after implantation of automatic cardiac defibrillator (disorder),,
,,762668000,Stimulation of muscle pocket due to and after implantation of cardiac pacemaker (disorder),,
,,762669008,Stimulation of phrenic nerve due to and after implantation of automatic cardiac defibrillator (disorder),,
,,762670009,Stimulation of phrenic nerve due to and after implantation of cardiac pacemaker (disorder),,
,,765181003,Thrombosis caused by left ventricular assist device (disorder),,
,,765465004,Thrombosis associated with left ventricular assist device (disorder),,
,,1.00751E+14,Venous thrombosis due to central venous access device (disorder),,
,,1.32091E+14,Chronic deep venous thrombosis of lower limb due to coronary artery bypass grafting (disorder),,
,,1.32111E+14,Acute deep venous thrombosis of lower limb due to coronary artery bypass grafting (disorder),,
,,1.33031E+14,Thrombosis of arteriovenous graft caused by hemodialysis arteriovenous access device (disorder),,
,,1.39741E+14,Persistent flow of blood into graft of aorta (disorder),,
,,1.22455E+16,Thrombosis of surgically created arteriovenous fistula (disorder),,
,,230133006,Bypass complications (disorder),,
,,233932001,Cardiac transplant disorder (disorder),,
,,234190001,Disorder of vascular graft (disorder),,
,,234228008,Disorder of implantable defibrillator (disorder),,
,,234237008,Disorder of defibrillator function (disorder),,
,,271966006,Disorder of cardiovascular prostheses and implants (disorder),,
,,271983002,Disorder of cardiac pacemaker system (disorder),,
,,271984008,Disorder of prosthetic cardiac valve (disorder),,
,,398158001,Complication of intravascular line (disorder),,
,,457702006,Disorder of aortic valve prosthesis (disorder),,
,,461108007,Disorder of left atrioventricular (not morphologically mitral) valve prosthesis (disorder),,
,,461431000,Failure of cardiac valve prosthesis (disorder),,
,,472829004,Disorder of atrioventricular (not morphologically mitral or tricuspid) valve prosthesis (disorder),,
,,472830009,Disorder of right atrioventricular (not morphologically tricuspid) valve prosthesis (disorder),,
,,472831008,Disorder of tricuspid valve prosthesis (disorder),,
,,472832001,Disorder of mitral valve prosthesis (disorder),,
,,472833006,Disorder of pulmonary valve prosthesis (disorder),,
,,472834000,Disorder of truncal valve prosthesis (disorder),,
,,473031002,Complication associated with vascular device (disorder),,
,,473032009,Complication associated with vascular implant (disorder),,
,,473033004,Complication associated with insulin pump (disorder),,
,,473034005,Complication associated with dialysis catheter (disorder),,
,,473036007,Complication associated with cardiac implant (disorder),,
,,473040003,Complication associated with cardiac pacemaker lead (disorder),,
,,735419009,Failure of surgically constructed arteriovenous fistula (disorder),,
,,735420003,Failure of arteriovenous bypass graft (disorder),,
,,764819004,Complication of totally implantable venous access device (disorder),,
,,871582008,Failure of systemic to pulmonary arterial shunt (disorder),,
