code,description
24369008,Pulmonary sarcoidosis (disorder)
111292008,Necrotizing sarcoid granulomatosis (disorder)
233767005,Stage 1 pulmonary sarcoidosis (disorder)
233768000,Stage 2 pulmonary sarcoidosis (disorder)
233769008,Stage 3 pulmonary sarcoidosis (disorder)
233770009,Stage 4 pulmonary sarcoidosis (disorder)
233771008,Endobronchial sarcoidosis (disorder)
233772001,Sarcoid pulmonary calcification (disorder)
697921005,Pulmonary hypertension in sarcoidosis (disorder)
64757003,Lymph node sarcoidosis (disorder)
233743002,Mediastinal lymph node sarcoidosis (disorder)
233744008,Hilar lymph node sarcoidosis (disorder)
187233002,Sarcoidosis of lung with sarcoidosis of lymph nodes (disorder)
9529007,"Sarcoidosis, erythrodermic type (disorder)"
54515008,"Sarcoidosis, plaque type (disorder)"
55941000,Cutaneous sarcoidosis (disorder)
72470008,"Sarcoidosis, lupus pernio type (disorder)"
80941006,Subcutaneous sarcoidosis (disorder)
231799005,Sarcoid skin of eyelid (disorder)
234531008,Orofacial sarcoid (disorder)
238674006,Acute skin sarcoidosis (disorder)
238677004,Maculopapular sarcoidosis (disorder)
238678009,Chronic skin sarcoidosis (disorder)
238680003,Papular sarcoidosis (disorder)
238681004,Lichenoid sarcoidosis (disorder)
400127001,Sarcoidal granuloma of skin (disorder)
402368008,Ichthyosiform sarcoidosis (disorder)
402370004,Ulcerative sarcoidosis (disorder)
402371000,Verrucous sarcoidosis (disorder)
402372007,Subcutaneous nodular sarcoidosis (disorder)
870334009,Palmoplantar sarcoidosis (disorder)
4416007,Heerfordt's syndrome (disorder)
17363001,Splenic sarcoidosis (disorder)
37061001,Granulomatous sarcoid nephropathy (disorder)
39041004,Restrictive cardiomyopathy secondary to sarcoidosis (disorder)
58870009,"Sarcoidosis, anular type (disorder)"
111936002,Cerebral sarcoidosis (disorder)
111937006,"Sarcoidosis, nodular type (disorder)"
193101001,Multiple cranial nerve palsies in sarcoidosis (disorder)
193195000,Sarcoid neuropathy (disorder)
193251003,Sarcoid myopathy (disorder)
195033009,Sarcoid heart muscle disease (disorder)
197368002,Hepatic granulomas in sarcoidosis (disorder)
203042003,Myositis in sarcoidosis (disorder)
230193008,Neurosarcoidosis (disorder)
232368009,Nasal sarcoidosis (disorder)
232458003,Laryngeal sarcoidosis (disorder)
234524009,Sarcoid dactylitis (disorder)
234526006,Ocular sarcoidosis (disorder)
234527002,Lacrimal and parotid gland sarcoidosis (disorder)
234530009,Chronic sarcoid myopathy (disorder)
310607007,Sarcoidosis of inferior turbinates (disorder)
312930008,Sarcoid chorioretinitis (disorder)
361197009,Sarcoid arthropathy (disorder)
361198004,Sarcoid arthritis (disorder)
402369000,Atrophic sarcoidosis (disorder)
402373002,Hypomelanotic sarcoidosis (disorder)
415359008,Sarcoid uveitis (disorder)
707238003,Sarcoidosis of oral cavity (disorder)
724780002,Demyelination of central nervous system co-occurrent and due to neurosarcoidosis (disorder)
726078000,Sporadic Blau syndrome (disorder)
735433009,Sarcoidosis of digestive system (disorder)
3.53E+14,Sarcoid iridocyclitis (disorder)
6022005,Dilated cardiomyopathy secondary to sarcoidosis (disorder)
7085002,Hypercalcemia due to sarcoidosis (disorder)
21787007,"Sarcoidosis, Darier-Roussy type (disorder)"
31541009,Sarcoidosis (disorder)
75403004,Cardiac sarcoidosis (disorder)
78574007,Hypothyroidism due to sarcoidosis (disorder)
91259005,"Sarcoidosis, angiolupoid type (disorder)"
238675007,Sarcoidosis-induced erythema nodosum (disorder)
238676008,Lofgrens syndrome (disorder)
238679001,Sarcoidosis in scar (disorder)
402374008,Nail dystrophy due to sarcoidosis (disorder)
425384007,Sarcoidosis with glomerulonephritis (disorder)
11352009,Primary cryoglobulinemia (disorder)
28807005,Secondary cryoglobulinemia (disorder)
30911005,Cryoglobulinemia (disorder)
