icd10_code,icd10_description,snomed_conceptId,snomed_term,read2_code,read2_term
E00,Congenital iodine-deficiency syndrome,NA,NA,C0A0.00,"Congenital iodine-deficiency syndrome, neurological type"
E000,"Congenital iodine-deficiency syndrome, neurological type",237566004,Congenital iodine deficiency syndrome - neurological type (disorder),C0A2.00,"Congenital iodine-deficiency syndrome, mixed type"
E001,"Congenital iodine-deficiency syndrome, myxoedematous type",64491003,Myxedematous form of cretinism (disorder),C0A1.00,"Congenital iodine-deficiency syndrome, myxoedematous type"
E002,"Congenital iodine-deficiency syndrome, mixed type",440092001,Endemic congenital iodine deficiency syndrome of myxedematous type (disorder),C0A..00,Congenital iodine deficiency syndrome
E009,"Congenital iodine-deficiency syndrome, unspecified",237565000,Congenital iodine deficiency syndrome - mixed type (disorder),C03..11,Cretinism
E030,Congenital hypothyroidism with diffuse goitre,75065003,Endemic cretinism (disorder),C03z.12,Cretinism
E031,Congenital hypothyroidism without goitre,84781002,Sporadic cretinism (disorder),C03y000,Congenital hypothyroidism with diffuse goitre
E071,Dyshormogenetic goitre,217710005,Congenital iodine deficiency syndrome (disorder),C031.00,Goitrous cretin
E220,Acromegaly and pituitary gigantism,722939004,Congenital hypothyroidism due to iodine deficiency (disorder),PK25100,Congenital absence of thyroid gland
E230,Hypopituitarism,23536000,Iodotyrosyl coupling defect (disorder),C03z.11,Congenital thyroid insufficiency
E244,Alcohol-induced pseudo-Cushing syndrome,278503003,Congenital hypothyroidism with diffuse goiter (disorder),C03..00,Congenital hypothyroidism
E25,Adrenogenital disorders,22558005,Iodide transport defect (disorder),C03y.00,Other specified congenital hypothyroidism
E250,Congenital adrenogenital disorders associated with enzyme deficiency,50375007,Thyroid hormone responsiveness defect (disorder),C03z.00,Congenital hypothyroidism NOS
E258,Other adrenogenital disorders,56041007,Hypothyroidism due to defect in thyroid hormone synthesis (disorder),Q433700,Neonatal jaundice with congenital hypothyroidism
E259,"Adrenogenital disorder, unspecified",92978002,Congenital absence of thyroid gland (disorder),C03y100,Congenital hypothyroidism without goitre
E268,Other hyperaldosteronism,190268003,Congenital hypothyroidism (disorder),C030.00,Pendred's syndrome
E271,Primary adrenocortical insufficiency,206457007,Neonatal jaundice with congenital hypothyroidism (disorder),C061.00,Dyshormonogenic goitre
E274,Other and unspecified adrenocortical insufficiency,215677009,Congenital hypothyroidism with ectopic thyroid (disorder),C130200,Acromegaly
E291,Testicular hypofunction,237515009,Congenital hypothyroidism without goiter (disorder),C130100,Gigantism
E31,Polyglandular dysfunction,237516005,Congenital thyroid hypoplasia (disorder),C130.00,Gigantism and acromegaly
E310,Autoimmune polyglandular failure,237517001,Congenital atrophy of thyroid (disorder),C130z00,Disorders of growth hormone excess NOS
E311,Polyglandular hyperfunction,237559000,Thyroid hormone resistance syndrome (disorder),C130.11,Growth hormone overproduction
E318,Other polyglandular dysfunction,237560005,Generalized thyroid hormone resistance (disorder),C133000,Isolated deficiency of growth hormone
E319,"Polyglandular dysfunction, unspecified",360348000,Pituitary thyroid hormone resistance (disorder),F395200,Myopathy due to hypopituitarism
E340,Carcinoid syndrome,367524008,Hypoplasia of thyroid (disorder),C132y00,Other specified panhypopituitarism
E341,Other hypersecretion of intestinal hormones,702327009,Monocarboxylate transporter 8 deficiency (disorder),C132z00,Panhypopituitarism NOS
E342,"Ectopic hormone secretion, not elsewhere classified",715734006,Congenital absence of half of thyroid (disorder),C132.00,Panhypopituitarism
E345,Androgen resistance syndrome,716338001,Muscular pseudohypertrophy and hypothyroidism syndrome (disorder),C132.13,Simmond's disease
E348,Other specified endocrine disorders,717334008,Idiopathic congenital hypothyroidism (disorder),C139.00,Hypogonadotropic hypogonadism
E350,Disorders of thyroid gland in diseases classified elsewhere,718183003,Familial thyroid dyshormonogenesis (disorder),C134000,Prolactin deficiency
E272,Addisonian crisis,718193005,Peripheral resistance to thyroid hormone (disorder),C134011,Hypoprolactinaemia
,,718194004,Hypothyroidism due to mutation in transcription factor of pituitary development (disorder),C133y11,Ateliotic dwarf
,,718690009,Congenital hypothyroidism due to absence of thyroid gland (disorder),C132.11,Hypopituitarism NOS
,,722375007,Bamforth Lazarus syndrome (disorder),C134400,Isolated ACTH deficiency
,,722938007,Congenital central hypothyroidism (disorder),C132000,Idiopathic panhypopituitarism
,,725462002,Congenital central hypothyroidism due to thyrotropin-releasing hormone receptor deficiency (disorder),C132200,Postinfarction panhypopituitarism
,,763890006,Short stature with delayed bone age due to thyroid hormone metabolism deficiency (disorder),C134100,FSH - follicle stimulating hormone deficiency
,,771510006,X-linked central congenital hypothyroidism with late-onset testicular enlargement (disorder),C134200,LH - luteinising hormone deficiency
,,8868001,Dyshormonogenetic goiter AND iodide leak (disorder),K5B1.00,Female infertility of pituitary - hypothalamic origin
,,17885001,Iodotyrosine deiodination defect (disorder),K5B1z00,Female infertility of pituitary - hypothalamic cause NOS
,,63127008,Thyroglobulin synthesis defect (disorder),K5B1000,Primary pituitary - hypothalamic infertility
,,70348004,Pendred's syndrome (disorder),K5B1100,Secondary pituitary - hypothalamic infertility
,,190304001,Dyshormonogenic goiter (disorder),C132.12,Sheehan's syndrome
,,237554005,Familial dyshormonogenetic goiter (disorder),C134411,ACTH deficiency
,,237555006,Hypothyroidism due to iodide trapping defect (disorder),C13A.00,Pituitary apoplexy
,,237556007,Hypothyroidism due to iodide organification defect (disorder),C132300,Postinfective panhypopituitarism
,,2041006,Eunuchoid gigantism (disorder),C133.00,Pituitary dwarfism
,,3652007,Overproduction of growth hormone (disorder),C133z00,Pituitary dwarfism NOS
,,12331003,Gigantism due to somatostatin deficiency (disorder),C133y00,Other specified pituitary dwarfism
,,27713005,Arthropathy associated with acromegaly (disorder),C133.11,Lorain - Levi dwarfism
,,74107003,Acromegaly (disorder),C133.12,Hypophyseal dwarfism
,,80849007,Gigantism (disorder),C134z11,Anterior pituitary hormone deficiency NEC
,,86073008,Hypersomatotropic gigantism (disorder),C150500,Alcohol-induced pseudo-Cushing's syndrome
,,230581008,Neuropathy in acromegaly (disorder),C152400,Defective synthesis of 3B hydroxysteroid dehydrogenase
,,267386008,Gigantism and acromegaly (disorder),C152300,Defective synthesis of 11B hydroxylase
,,403254007,Hypermelanosis due to acromegaly (disorder),C152600,Defective synthesis of 17 alpha hydroxylase
,,773645004,Familial infantile gigantism (disorder),C152200,Defective synthesis of 21 hydroxylase
,,789187001,X-linked acrogigantism due to Xq26 microduplication (disorder),C152812,Congenital adrenal hyperplasia NEC
,,442001,Secondary hypopituitarism (disorder),C152000,Congenital adrenogenital syndrome
,,2109003,Isolated somatotropin deficiency (disorder),C152700,Other adrenogenital syndrome with salt loss
,,7530009,Asexual dwarfism (disorder),C152.12,Feminisation-adrenogenital
,,7990002,Immunoglobulinemia with isolated somatotropin deficiency (disorder),C152814,"Pseudohermaphrodite, male with adrenocortical disorder"
,,8829008,Isolated lutropin deficiency (disorder),C152A11,Virilisation - adrenogenital
,,10340008,Isolated gonadotropin deficiency (disorder),C152.13,Virilisation-adrenogenital
,,14289006,Myopathy in hypopituitarism (disorder),C152A12,"Pseudohermaphrodite,female with adrenocortical disorder"
,,18200000,Autosomal recessive isolated somatotropin deficiency (disorder),C152912,Precocious puberty with adrenal hyperplasia
,,20900005,Nonfamilial asexual dwarfism (disorder),C152.11,Achard - Thiers syndrome
,,22306000,Transient somatotropin deficiency (disorder),C164.11,Isosexual virilisation
,,27270004,Pituitary dwarfism with large sella turcica (disorder),C152100,Acquired adrenogenital syndrome
,,32390006,Panhypopituitarism (disorder),C152800,Other adrenogenital syndrome without mention of salt loss
,,33927004,Hypogonadotropic hypogonadism (disorder),C152y00,Other specified adrenogenital disorder
,,38576000,Nonfamilial hyperinsulinemic isolated somatotropin deficiency (disorder),C152811,Adrenogenital syndrome NOS
,,40781006,Hypopituitarism due to pituitary tumor (disorder),C152z00,Adrenogenital disorder NOS
,,51371005,Pituitary dwarfism with normal somatotropin level AND low somatomedin (disorder),C152.00,Adrenogenital disorders
,,59572000,Necrosis of pituitary (disorder),Cyu4600,[X]Other adrenogenital disorders
,,60138009,Anemia of pituitary deficiency (disorder),C151.12,Bartter's syndrome
,,67873006,Isolated prolactin deficiency (disorder),C151200,Bartter's syndrome
,,71003000,Ateleiotic dwarfism (disorder),C36z.11,Liddle's syndrome
,,74728003,Hypopituitarism (disorder),F395000,Myopathy due to Addison's disease
,,80599001,Isolated corticotropin deficiency (disorder),C154100,Addison's disease
,,89476005,Pituitary cachexia (disorder),Cyu4900,[X]Other and unspecified primary adrenocortical insufficiency
,,91187007,Pituitary dwarfism with small sella turcica (disorder),C155000,Adrenal medullary insufficiency
,,95830009,Pituitary infarction (disorder),C154300,Hypoaldosteronism
,,123760002,Prepuberal panhypopituitarism (disorder),K08yJ00,Pseudohypoaldosteronism
,,123953004,Idiopathic hypogonadotropic hypogonadism (disorder),C154700,Hyporeninaemic hypoaldosteronism
,,178456000,Ateliotic dwarfism without insulinopenia (disorder),C154z11,Adrenal hypofunction
,,190470005,Idiopathic panhypopituitarism (disorder),C155.00,Other adrenal hypofunction
,,190472002,Post-infarction panhypopituitarism (disorder),C155z00,Other adrenal hypofunction NOS
,,190480009,Follicle stimulating hormone deficiency (disorder),C154.00,Corticoadrenal insufficiency
,,190481008,Luteinizing hormone deficiency (disorder),C154z00,Corticoadrenal insufficiency NOS
,,198448006,Female infertility of pituitary - hypothalamic origin (disorder),C154z12,Adrenal insufficiency NEC
,,198449003,Primary pituitary - hypothalamic infertility (disorder),C172.12,Testicular hypogonadism
,,198450003,Secondary pituitary - hypothalamic infertility (disorder),C172.11,"Eunuchoidism, hypogonadism"
,,230795009,Pituitary coma (disorder),C152500,Defective synthesis of 17-20 desmolase
,,237674009,Anterior pituitary hyperplasia (disorder),C172011,Defective synthesis of 17B hydroxysteroid dehydrogenase
,,237682009,Panhypopituitarism - anterior and posterior (disorder),C172000,Testicular hypofunction due to defect in adrenocortical hormone synthesis
,,237683004,Panhypopituitarism - X-linked (disorder),C172100,Eunuchism
,,237684005,Sheehan's syndrome (disorder),C181.11,Lloyd's syndrome
,,237685006,Partial hypopituitarism (disorder),C182.00,Autoimmune polyglandular failure
,,237687003,Isolated growth hormone deficiency - autosomal dominant (disorder),C181.12,Schmidt's syndrome
,,237688008,Idiopathic growth hormone deficiency (disorder),C183.00,Polyglandular hyperfunction
,,237689000,Growth hormone neurosecretory dysfunction (disorder),C18z.00,Polyglandular dysfunction NOS
,,237691008,Psychosocial growth hormone deficiency (disorder),C18y.00,Other specified polyglandular dysfunction
,,237692001,Adrenocorticotropic hormone deficiency (disorder),C181.00,Other combinations of endocrine dysfunction
,,237693006,Idiopathic adrenocorticotropic hormone deficiency (disorder),C18..00,Polyglandular dysfunction and related disorders
,,237699005,Post-traumatic hypopituitarism (disorder),Cyu4E00,[X]Other polyglandular dysfunction
,,237700006,Hypopituitarism due to iron overload (disorder),C1z2.00,Carcinoid syndrome
,,237701005,Pituitary apoplexy (disorder),C1z5.00,Androgen resistance syndrome
,,267388009,Idiopathic hypopituitarism (disorder),C1z5.11,Androgen insensitivity syndrome
,,267389001,Post-birth injury hypopituitarism (disorder),C17y000,Testicular feminization
,,267390005,Post-infarction hypopituitarism (disorder),C17y.11,Goldberg - Maxwell syndrome
,,271386001,Post-infective hypopituitarism (disorder),C1zy000,Pineal gland dysfunction
,,290653008,Postpartum hypopituitarism (disorder),C1zy600,Rabson-Mendenhall syndrome
