code,description
43873004,Mechanical complication due to heart valve prosthesis (disorder)
213036006,Mechanical complication of heart valve prosthesis (disorder)
234181008,Prosthetic cardiac valve dehiscence (disorder)
234182001,Prosthetic cardiac valve component embolism (disorder)
234184000,Prosthetic cardiac paravalvular leak (disorder)
234186003,Prosthetic cardiac valve obstruction (disorder)
234189005,Prosthetic cardiac valve displacement (disorder)
250975000,Paraprosthetic aortic regurgitation (disorder)
250988002,Paraprosthetic mitral regurgitation (disorder)
297285002,Paraprosthetic pulmonary regurgitation (disorder)
297286001,Paraprosthetic tricuspid regurgitation (disorder)
703157002,Prosthetic mitral valve failure (disorder)
703169005,Acute prosthetic aortic valve regurgitation (disorder)
703171005,Prosthetic aortic valve failure (disorder)
703175001,Acute prosthetic mitral valve regurgitation (disorder)
703187008,Prosthetic pulmonary valve failure (disorder)
703188003,Prosthetic pulmonary valve failure requiring replacement (disorder)
703287002,Prosthetic tricuspid valve failure (disorder)
703288007,Prosthetic tricuspid valve failure requiring revision (disorder)
703290008,Prosthetic pulmonary valve failure requiring revision (disorder)
703292000,Prosthetic tricuspid valve regurgitation (disorder)
703293005,Prosthetic pulmonary valve regurgitation (disorder)
703296002,Acute prosthetic tricuspid valve regurgitation (disorder)
2.86E+14,Mechanical breakdown of prosthetic heart valve (disorder)
12727006,Mechanical complication due to cardiac pacemaker electrode (disorder)
20681005,Perforation of cardiac device (disorder)
40669004,Malfunction from artificial pacing (finding)
72496005,Electro-mechanical dissociation caused by pacemaker (finding)
78240009,Cardiac arrest due to pacemaker failure (disorder)
78340007,Mechanical obstruction of cardiac device (disorder)
129575004,Pacemaker twiddler's syndrome (disorder)
213035005,Mechanical complication of cardiac pacemaker (disorder)
234209001,Disorder of cardiac pacemaker electrode (disorder)
234211005,Pacemaker electrode displacement (disorder)
234212003,Pacemaker electrode lead fracture (disorder)
234213008,Pacemaker electrode lead displacement (disorder)
234214002,Disorder of pacemaker pulse generator (disorder)
234216000,Pacemaker pulse generator failure (disorder)
234217009,Disorder of pacing function (disorder)
234218004,Failure of cardiac pacemaker to capture (disorder)
234219007,Cardiac pacemaker sensitivity problem (disorder)
234220001,Oversensing cardiac pacemaker (disorder)
234222009,Cardiac pacemaker myoinhibition (disorder)
234224005,Cardiac pacemaker syndrome (disorder)
234226007,Runaway cardiac pacemaker (disorder)
234227003,Cross-talk in dual chamber cardiac pacemaker (disorder)
234229000,Disorder of implanted cardiac defibrillator electrode (disorder)
234231009,Implanted defibrillator electrode displacement (disorder)
234232002,Implanted defibrillator electrode lead fracture (disorder)
234233007,Implanted defibrillator electrode lead displacement (disorder)
234234001,Disorder of implanted defibrillator generator (disorder)
234236004,Implanted defibrillator generator failure (disorder)
234238003,High threshold for implanted defibrillator (disorder)
234239006,Inappropriate shocks from implanted defibrillator (disorder)
432355004,Malfunction of cardiac pacemaker (disorder)
432479001,Mechanical malfunction of biventricular automatic implantable cardioverter defibrillator (disorder)
434392000,Malfunction of biventricular cardiac pacemaker (disorder)
