icd10_code,icd10_description,snomed_conceptId,snomed_term,read2_code,read2_term
D86,Sarcoidosis,NA,NA,AD50.00,Sarcoidosis of lung
D860,Sarcoidosis of lung,24369008,Pulmonary sarcoidosis (disorder),H57y200,Pulmonary sarcoidosis
D861,Sarcoidosis of lymph nodes,111292008,Necrotizing sarcoid granulomatosis (disorder),AD51.00,Sarcoidosis of lymph nodes
D862,Sarcoidosis of lung with sarcoidosis of lymph nodes,233767005,Stage 1 pulmonary sarcoidosis (disorder),AD52.00,Sarcoidosis of lung with sarcoidosis of lymph nodes
D863,Sarcoidosis of skin,233768000,Stage 2 pulmonary sarcoidosis (disorder),AD53.00,Sarcoidosis of skin
D868,Sarcoidosis of other and combined sites,233769008,Stage 3 pulmonary sarcoidosis (disorder),AD53000,Lupus pernio
D869,"Sarcoidosis, unspecified",233770009,Stage 4 pulmonary sarcoidosis (disorder),F326300,Multiple cranial nerve palsies in sarcoidosis
D891,Cryoglobulinaemia,233771008,Endobronchial sarcoidosis (disorder),F374900,Polyneuropathy in sarcoidosis
L93,Lupus erythematosus,233772001,Sarcoid pulmonary calcification (disorder),F396500,Myopathy due to sarcoidosis
L930,Discoid lupus erythematosus,697921005,Pulmonary hypertension in sarcoidosis (disorder),G558300,Sarcoid heart disease
L931,Subacute cutaneous lupus erythematosus,64757003,Lymph node sarcoidosis (disorder),G5y7.00,Sarcoid myocarditis
L932,Other local lupus erythematosus,233743002,Mediastinal lymph node sarcoidosis (disorder),J63A.00,Hepatic granulomas in sarcoidosis
L95,"Vasculitis limited to skin, not elsewhere classified",233744008,Hilar lymph node sarcoidosis (disorder),N233200,Myositis in sarcoidosis
L950,Livedoid vasculitis,187233002,Sarcoidosis of lung with sarcoidosis of lymph nodes (disorder),Nyu8900,[X]Myositis in sarcoidosis classified elsewhere
L951,Erythema elevatum diutinum,9529007,"Sarcoidosis, erythrodermic type (disorder)",AD54.00,Sarcoidosis of inferior turbinates
L958,Other vasculitis limited to skin,54515008,"Sarcoidosis, plaque type (disorder)",AD55.00,Sarcoid arthropathy
L959,"Vasculitis limited to skin, unspecified",55941000,Cutaneous sarcoidosis (disorder),AD5..00,Sarcoidosis
L985,Mucinosis of skin,72470008,"Sarcoidosis, lupus pernio type (disorder)",Cyu0600,[X]Sarcoidosis of other and combined sites
L990,Amyloidosis of skin,80941006,Subcutaneous sarcoidosis (disorder),C332000,Cryoglobulinaemic purpura
M011,Tuberculous arthritis,231799005,Sarcoid skin of eyelid (disorder),C332100,Cryoglobulinaemic vasculitis
M036,Reactive arthropathy in other diseases classified elsewhere,234531008,Orofacial sarcoid (disorder),K036.00,Cryoglobulinaemic glomerulonephritis
M05,Seropositive rheumatoid arthritis,238674006,Acute skin sarcoidosis (disorder),M154.00,Lupus erythematosus
M050,Felty syndrome,238677004,Maculopapular sarcoidosis (disorder),M154z00,Lupus erythematosus NOS
