icd10_code,icd10_description,snomed_conceptId,snomed_term,read2_code,read2_term,Decision
G80,Cerebral palsy,NA,NA,F23y400,Ataxic diplegic cerebral palsy,Include
G800,Spastic quadriplegic cerebral palsy,44395000,Spastic tetraplegia with rigidity syndrome (disorder),F230.00,Congenital diplegia,Include
G801,Spastic diplegic cerebral palsy,54364001,Lethal neonatal spasticity (disorder),F230z00,Congenital diplegia NOS,Include
G802,Spastic hemiplegic cerebral palsy,58193001,Diplegic cerebral palsy (disorder),F230111,Spastic diplegic cerebral palsy,Include
G803,Dyskinetic cerebral palsy,230773005,Spastic cerebral palsy (disorder),F23..11,Congenital spastic cerebral palsy,Include
G804,Ataxic cerebral palsy,702319000,Bilateral cerebral palsy (disorder),F23y200,Spastic cerebral palsy,Include
G808,Other cerebral palsy,702321005,Pentaplegic cerebral palsy (disorder),F230100,Cerebral palsy with spastic diplegia,Include
G809,"Cerebral palsy, unspecified",722033000,"Macrocephaly, short stature, paraplegia syndrome (disorder)",F234.00,Infantile hemiplegia NOS,Include
G810,Flaccid hemiplegia,1593000,Infantile hemiplegia (disorder),F231.00,Congenital hemiplegia,Include
G811,Spastic hemiplegia,34209003,Cerebral hemiplegia (disorder),F137100,Double athetosis,Include
G819,"Hemiplegia, unspecified",16171003,Double athetosis (disorder),F137.11,Athetoid cerebral palsy,Include
G82,Paraplegia and tetraplegia,49275006,Athetoid paralysis (finding),F137000,Athetoid cerebral palsy,Include
G820,Flaccid paraplegia,75019001,Athetoid cerebral palsy (disorder),F23y300,Dyskinetic cerebral palsy,Include
G821,Spastic paraplegia,230780007,Dyskinetic cerebral palsy (disorder),F137.12,Athetosis - congenital,Include
G822,"Paraplegia, unspecified",230781006,Dystonic/rigid cerebral palsy (disorder),F137111,Congenital athetosis,Include
G823,Flaccid tetraplegia,307355007,Congenital athetosis (disorder),F23y000,Ataxic infantile cerebral palsy,Include
G824,Spastic tetraplegia,702315006,Dystonic cerebral palsy (disorder),F2B0.00,Spastic quadriplegic cerebral palsy,Include
G825,"Tetraplegia, unspecified",702316007,Choreic cerebral palsy (disorder),F233.00,Congenital monoplegia,Include
G83,Other paralytic syndromes,702317003,Chorea-athetoid cerebral palsy (disorder),F230.11,Paraplegia - congenital,Include
G830,Diplegia of upper limbs,68107009,Cerebral paresis with homolateral ataxia (disorder),F230000,Congenital paraplegia,Include
G831,Monoplegia of lower limb,278512001,Ataxic cerebral palsy (disorder),F23y100,Flaccid infantile cerebral palsy,Include
G832,Monoplegia of upper limb,43486001,Hemiplegic cerebral palsy (disorder),F232.11,Tetraplegia - congenital,Include
G833,"Monoplegia, unspecified",48721008,Quadriplegic cerebral palsy (disorder),F232.00,Congenital quadriplegia,Include
G838,Other specified paralytic syndromes,56409008,Monoplegic cerebral palsy (disorder),F23y500,Worster-Drought syndrome,Include
G839,"Paralytic syndrome, unspecified",95652003,Congenital flaccid paralysis (disorder),F23y511,Congenital suprabulbar paresis,Include
,,192949002,Congenital paraplegia (disorder),F23..12,Infantile cerebral palsy,Include
,,192958009,Hypotonic cerebral palsy (disorder),F23..00,Congenital cerebral palsy,Include
,,230777006,Monoplegic cerebral palsy affecting upper limb (disorder),F23..13,Littles disease,Include
,,230778001,Monoplegic cerebral palsy affecting lower limb (disorder),F23..14,Cerebral atonia,Include
,,275468009,Congenital quadriplegia (disorder),F23yz00,Other infantile cerebral palsy NOS,Include
,,371079004,Paraplegic cerebral palsy (disorder),F23z.00,Congenital cerebral palsy NOS,Include
,,702314005,Non-spastic cerebral palsy (disorder),F23y.00,Other congenital cerebral palsy,Include
,,702318008,Mixed cerebral palsy (disorder),F2B..00,Cerebral palsy,Include
,,702320006,Triplegic cerebral palsy (disorder),F2By.00,Other cerebral palsy,Include
,,716335003,Congenital suprabulbar paresis (disorder),F2Bz.00,Cerebral palsy NOS,Include
,,48662007,Cerebral paraplegia (disorder),Fyu9000,[X]Other infantile cerebral palsy,Include
,,128188000,Cerebral palsy (disorder),F220.00,Flaccid hemiplegia,Include
,,3.30471E+14,Neuromuscular scoliosis co-occurrent and due to cerebral palsy (disorder),F221.00,Spastic hemiplegia,Include
,,80935004,Flaccid hemiplegia (disorder),F2Az.00,Hemiparesis NOS,Include
,,442020005,Flaccid hemiplegia of dominant side (disorder),F2A..00,Hemiparesis,Include
,,442077006,Flaccid hemiplegia of nondominant side (disorder),F22..11,Hemiparesis,Include
,,2.94041E+14,Flaccid hemiplegia of left dominant side (disorder),F22..00,Hemiplegia,Include
,,2.94051E+14,Flaccid hemiplegia of left nondominant side (disorder),F22z.00,Hemiplegia NOS,Include
,,2.94061E+14,Flaccid hemiplegia of right dominant side (disorder),F223.00,Right hemiplegia,Include
,,2.94071E+14,Flaccid hemiplegia of right nondominant side (disorder),F222.00,Left hemiplegia,Include
,,79633009,Spastic hemiplegia (disorder),F223.11,Right sided weakness,Include
,,441722007,Spastic hemiplegia of nondominant side (disorder),F222.11,Left sided weakness,Include
,,441892008,Spastic hemiplegia of dominant side (disorder),F241000,Flaccid paraplegia,Include
,,2.90461E+14,Spastic hemiplegia of left dominant side (disorder),F241100,Spastic paraplegia,Include
,,2.90471E+14,Spastic hemiplegia of left nondominant side (disorder),F241.00,Paraplegia,Include
,,2.90481E+14,Spastic hemiplegia of right dominant side (disorder),F240000,Flaccid tetraplegia,Include
,,2.90491E+14,Spastic hemiplegia of right nondominant side (disorder),F240100,Spastic tetraplegia,Include
,,1670004,Cerebral hemiparesis (disorder),F240.00,Quadriplegia,Include
,,20022000,Hemiparesis (disorder),F240.11,Tetraplegia,Include
,,29093005,Crossed hemiparesis (disorder),F242.00,Diplegia of upper limbs,Include
,,50582007,Hemiplegia (disorder),F243.00,Monoplegia of lower limb,Include
,,77015008,Crossed hemiplegia (disorder),F244.00,Monoplegia of upper limb,Include
,,278284007,Right hemiplegia (disorder),F245.00,Monoplegia unspecified,Include
,,278285008,Left hemiplegia (disorder),F164.00,Brown-Sequard syndrome,Include
,,278286009,Right hemiparesis (disorder),F24..00,Other paralytic syndromes,Include
,,278287000,Left hemiparesis (disorder),F24yz00,Other paralytic syndromes NOS,Include
,,313434001,Residual hemiplegia (disorder),F24y.00,Other specified paralytic syndromes,Include
,,404689008,Alternating hemiplegia (disorder),F24yz11,Specified palsy NEC,Include
,,430947007,Paralytic syndrome of nondominant side as late effect of stroke (disorder),F24z.00,Paralysis NOS,Include
,,430959006,Paralytic syndrome of dominant side as late effect of stroke (disorder),,,
,,441717007,Hemiplegia of nondominant side (disorder),,,
,,441991000,Hemiparesis as late effect of cerebrovascular accident (disorder),,,
,,442024001,Hemiplegia as late effect of cerebrovascular disease (disorder),,,
,,442155009,Hemiplegia of dominant side (disorder),,,
,,442668000,Hemiplegia of nondominant side as late effect of cerebrovascular disease (disorder),,,
,,442676003,Hemiplegia of dominant side as late effect of cerebrovascular disease (disorder),,,
,,442733008,Hemiplegia as late effect of cerebrovascular accident (disorder),,,
,,609557004,Paralytic syndrome on one side of the body (disorder),,,
,,785809005,Mills syndrome (disorder),,,
,,3.61E+11,Paralytic syndrome on one side of the body as late effect of cerebrovascular accident (disorder),,,
,,2.9951E+13,Ataxic hemiparesis (disorder),,,
,,4.8601E+13,Paralytic syndrome on one side of the body as effect of cerebrovascular accident (disorder),,,
,,1.40281E+14,Hemiparesis as late effect of cerebrovascular disease (disorder),,,
,,2.92851E+14,Lacunar ataxic hemiparesis of right dominant side (disorder),,,
,,2.92861E+14,Lacunar ataxic hemiparesis of left dominant side (disorder),,,
,,2.94101E+14,Hemiplegia of left dominant side (disorder),,,
,,2.94111E+14,Hemiplegia of left nondominant side (disorder),,,
,,2.94121E+14,Hemiplegia of right dominant side (disorder),,,
,,2.94131E+14,Hemiplegia of right nondominant side (disorder),,,
,,3.30411E+14,Lacunar ataxic hemiparesis of left nondominant side (disorder),,,
,,3.30421E+14,Lacunar ataxic hemiparesis of right nondominant side (disorder),,,
,,6.72441E+14,Hemiplegia of nondominant side due to and following ischemic cerebrovascular accident (disorder),,,
,,6.72461E+14,Hemiplegia of dominant side due to and following ischemic cerebrovascular accident (disorder),,,
,,6.90271E+14,Hemiplegia of nondominant side due to and following embolic cerebrovascular accident (disorder),,,
,,192966000,Flaccid paraplegia (disorder),,,
,,860881004,Flaccid diplegia of lower extremities (disorder),,,
,,5822000,Athetosis with spastic paraplegia (disorder),,,
,,192967009,Spastic paraplegia (disorder),,,
,,722209002,"Spastic paraplegia, intellectual disability, palmoplantar hyperkeratosis syndrome (disorder)",,,
,,763402002,"Spastic paraplegia, neuropathy, poikiloderma syndrome (disorder)",,,
,,763403007,"Spastic paraplegia, facial cutaneous lesion syndrome (disorder)",,,
,,1845001,Paraparesis (disorder),,,
,,60389000,Paraplegia (disorder),,,
,,84455002,Spinal paraplegia (disorder),,,
,,89437009,Cerebral paraparesis (disorder),,,
,,95651005,Chronic progressive paraparesis (disorder),,,
,,609553000,Paralytic syndrome of both lower limbs (disorder),,,
,,698291007,Acute paraplegia (disorder),,,
,,698292000,Chronic paraplegia (disorder),,,
,,723158004,Diplegia of lower limbs (disorder),,,
,,9.7391E+13,Paraplegia with neurogenic bladder (disorder),,,
,,1.02831E+14,Paralytic syndrome of both lower limbs as sequela of stroke (disorder),,,
,,2.90401E+14,Complete paraplegia (disorder),,,
,,2.90411E+14,Incomplete paraplegia (disorder),,,
,,1.23675E+16,Paraplegia due to and following cerebrovascular accident (disorder),,,
,,192964002,Flaccid tetraplegia (disorder),,,
,,192965001,Spastic tetraplegia (disorder),,,
,,298282001,Spastic quadriparesis (disorder),,,
,,723621000,"Spastic tetraplegia, retinitis pigmentosa, intellectual disability syndrome (disorder)",,,
,,733650000,Adult familial nephronophthisis with spastic quadriparesia syndrome (disorder),,,
,,11538006,Quadriplegia (disorder),,,
,,91327001,Quadriparesis (disorder),,,
,,371120001,Quadriplegic spinal paralysis (disorder),,,
,,441688003,Incomplete quadriplegia due to spinal cord lesion between first and fourth cervical vertebra (disorder),,,
,,441705005,Complete quadriplegia due to spinal cord lesion between first and fourth cervical vertebra (disorder),,,
,,441794001,Incomplete quadriplegia due to spinal cord lesion between fifth and seventh cervical vertebra (disorder),,,
,,441980007,Complete quadriplegia due to spinal cord lesion between fifth and seventh cervical vertebra (disorder),,,
,,609554006,Paralytic syndrome of all four limbs (disorder),,,
,,698741009,Acute complete quadriplegia due to spinal cord lesion between first and fourth cervical vertebra (disorder),,,
,,698742002,Chronic incomplete quadriplegia due to spinal cord lesion between first and fourth cervical vertebra (disorder),,,
,,698743007,Acute complete quadriplegia due to spinal cord lesion between fifth and seventh cervical vertebra (disorder),,,
,,698744001,Chronic incomplete quadriplegia due to spinal cord lesion between fifth and seventh cervical vertebra (disorder),,,
,,2.2881E+13,Quadriplegia with quadriparesis (disorder),,,
,,9.7381E+13,Neurogenic bladder due to quadriplegia (disorder),,,
