icd10_code,icd10_description,snomed_conceptId,snomed_term,read2_code,read2_term,Decision
D560,Alpha thalassaemia,5300004,Hemoglobin Bart's hydrops syndrome (disorder),D107200,Haemoglobin Bart's disease,Include
D562,Delta-beta thalassaemia,36467003,Alpha plus thalassemia (disorder),D107700,Haemoglobin-H disease,Include
D564,Hereditary persistence of fetal haemoglobin [HPFH],48553001,Hemoglobin H disease (disorder),D104300,Alpha thalassaemia,Include
D568,Other thalassaemias,66055002,Alpha zero thalassemia (disorder),D104311,Homozygous alpha thalassaemia,Include
D569,"Thalassaemia, unspecified",68913001,Alpha thalassemia (disorder),D104900,Delta-beta thalassaemia,Include
D570,Sickle-cell anaemia with crisis,85422000,"alpha^+^ Thalassemia, nondeletion type (disorder)",D104A00,Hereditary leptocytosis,Include
D571,Sickle-cell anaemia without crisis,86242003,"alpha^+^ Thalassemia, deletion type (disorder)",D104z00,Thalassaemia NOS,Include
D572,Double heterozygous sickling disorders,127046009,Sickle cell trait with coexistent alpha-thalassemia (disorder),D104.12,Mediterranean anaemia,Include
D578,Other sickle-cell disorders,234383000,Homozygous alpha thalassemia (disorder),D104.11,"Leptocytosis, hereditary",Include
D580,Hereditary spherocytosis,307343001,Acquired hemoglobin H disease (disorder),D104.00,Thalassaemia,Include
D581,Hereditary elliptocytosis,447117006,Hemoglobin H constant spring thalassemia (disorder),D104z11,Mediterranean anaemia,Include
D582,Other haemoglobinopathies,715342005,Alpha thalassemia X-linked intellectual disability syndrome (disorder),Dyu1100,[X]Other thalassaemias,Include
D588,Other specified hereditary haemolytic anaemias,734349003,Alpha-thalassemia intellectual disability syndrome linked to chromosome 16 (disorder),D106200,Sickle-cell anaemia with crisis,Include
D589,"Hereditary haemolytic anaemia, unspecified",16360009,Delta beta thalassemia (disorder),K0G..00,Sickle cell nephropathy,Include
D610,Constitutional aplastic anaemia,23371004,Epsilon gamma delta beta thalassemia (disorder),D106.00,Sickle-cell anaemia,Include
D619,"Aplastic anaemia, unspecified",54006005,Hereditary persistence of fetal hemoglobin delta beta plus thalassemia (disorder),D106000,Sickle-cell anaemia of unspecified type,Include
D630,Anaemia in neoplastic disease,73190000,epsilon gamma delta beta^0^ Thalassemia (disorder),D106z00,Sickle-cell anaemia NOS,Include
D638,Anaemia in other chronic diseases classified elsewhere,76336008,Delta beta zero thalassemia (disorder),F422100,Proliferative retinopathy due to sickle cell disease,Include
D640,Hereditary sideroblastic anaemia,89810003,^A^gamma delta beta^0^ thalassemia (disorder),D106100,Sickle-cell anaemia with no crisis,Include
