code,description
5300004,Hemoglobin Bart's hydrops syndrome (disorder)
36467003,Alpha plus thalassemia (disorder)
48553001,Hemoglobin H disease (disorder)
66055002,Alpha zero thalassemia (disorder)
68913001,Alpha thalassemia (disorder)
85422000,"alpha^+^ Thalassemia, nondeletion type (disorder)"
86242003,"alpha^+^ Thalassemia, deletion type (disorder)"
127046009,Sickle cell trait with coexistent alpha-thalassemia (disorder)
234383000,Homozygous alpha thalassemia (disorder)
307343001,Acquired hemoglobin H disease (disorder)
447117006,Hemoglobin H constant spring thalassemia (disorder)
715342005,Alpha thalassemia X-linked intellectual disability syndrome (disorder)
734349003,Alpha-thalassemia intellectual disability syndrome linked to chromosome 16 (disorder)
16360009,Delta beta thalassemia (disorder)
23371004,Epsilon gamma delta beta thalassemia (disorder)
54006005,Hereditary persistence of fetal hemoglobin delta beta plus thalassemia (disorder)
73190000,epsilon gamma delta beta^0^ Thalassemia (disorder)
76336008,Delta beta zero thalassemia (disorder)
89810003,^A^gamma delta beta^0^ thalassemia (disorder)
234388009,Delta-beta-Lepore thalassemia (disorder)
788944005,Gamma delta beta thalassemia (disorder)
5967006,A gamma beta^+^ hereditary persistence of fetal hemoglobin AND beta^0^ thalassemia in cis (disorder)
16964007,Hereditary persistence of fetal hemoglobin thalassemia (disorder)
39586009,Hereditary persistence of fetal hemoglobin A gamma beta^+^ thalassemia (disorder)
61395005,Hereditary persistence of fetal hemoglobin G gamma beta plus thalassemia (disorder)
89459006,Hereditary persistence of fetal hemoglobin linked to beta-globulin gene cluster (disorder)
783254003,Hereditary persistence of fetal hemoglobin with sickle cell disease syndrome (disorder)
16427007,Delta thalassemia (disorder)
62074008,Delta zero thalassemia (disorder)
69216008,Hb Lepore thalassemia (disorder)
234389001,Alpha-beta thalassemia (disorder)
234390005,Gamma thalassemia (disorder)
40108008,Thalassemia (disorder)
47047009,Thalassemia with other hemoglobinopathy (disorder)
61777009,Thalassemia-hemoglobin C disease (disorder)
84188003,Thalassemia syndrome (disorder)
7.23E+13,Thalassemia in mother complicating pregnancy (disorder)
1.08E+16,Thalassemia in mother complicating childbirth (disorder)
371104006,Hand-foot syndrome in sickle cell anemia (disorder)
372146004,Acute chest syndrome (disorder)
416484003,Sickle cell-hemoglobin E disease with crisis (disorder)
417279003,Hemoglobin S sickling disorder with crisis (disorder)
417425009,Hemoglobin SS disease with crisis (disorder)
417748003,Sickle cell-hemoglobin D disease with crisis (disorder)
440206000,Hemoglobin SS disease with vasoocclusive crisis (disorder)
444108000,Acute sickle cell splenic sequestration crisis (disorder)
769167005,Vaso-occlusive pain co-occurrent and due to sickle cell disease (disorder)
11603001,Sickle cell retinopathy (disorder)
13886001,Sickle cell nephropathy (disorder)
127040003,Sickle cell-hemoglobin SS disease (disorder)
193370005,Proliferative retinopathy due to sickle cell disease (disorder)
416180004,Hemoglobin SS disease without crisis (disorder)
416290001,Hemoglobin S sickling disorder without crisis (disorder)
417357006,Sickling disorder due to hemoglobin S (disorder)
471863000,Disorder of myocardium due to sickle cell hemoglobinopathy (disorder)
709142003,Arthropathy due to sickle cell disease (disorder)
722085003,Renal papillary necrosis due to sickle cell disease (disorder)
722147003,Focal segmental glomerulosclerosis due to sickle cell disease (disorder)
763096004,Disorder of liver due to sickle cell disease (disorder)
3.67E+14,Priapism due to sickle cell disease (disorder)
1.08E+16,Sickle cell anemia in mother complicating childbirth (disorder)
23269001,Double heterozygous sickling disorder (disorder)
25472008,Sickle cell-hemoglobin D disease (disorder)
35434009,Sickle cell-hemoglobin C disease (disorder)
36472007,Sickle cell-thalassemia disease (disorder)
47024008,Sickle cell-hemoglobin E disease (disorder)
127041004,Sickle cell-beta-thalassemia (disorder)
127042006,Sickle cell beta plus thalassemia (disorder)
127043001,Sickle cell-beta^0^-thalassemia (disorder)
127044007,Sickle cell-delta beta^0^-thalassemia (disorder)
127045008,Sickle cell anemia with coexistent alpha-thalassemia (disorder)
234391009,Sickle cell anemia with high hemoglobin F (disorder)
416214006,Sickle cell-hemoglobin D disease without crisis (disorder)
416826005,Sickle cell-thalassemia disease with crisis (disorder)
417048006,Sickle cell-thalassemia disease without crisis (disorder)
417517009,Sickle cell-hemoglobin C disease with crisis (disorder)
417683006,Sickle cell-hemoglobin C disease without crisis (disorder)
127047000,Sickle cell-hemoglobin Lepore disease (disorder)
127048005,Sickle cell-Hemoglobin O Arab disease (disorder)
232033003,Sickle cell-hemoglobin C retinopathy (disorder)
416638004,Sickle cell-hemoglobin E disease without crisis (disorder)
10564005,Severe hereditary spherocytosis due to combined deficiency of spectrin AND ankyrin (disorder)
24975009,Mild hereditary spherocytosis due to combined deficiency of spectrin AND ankyrin (disorder)
25266006,Hereditary spherocytosis due to spectrin deficiency (disorder)
32648007,Mild hereditary spherocytosis due to spectrin deficiency (disorder)
33905008,Hereditary spherocytosis due to deficiency of protein 4.2 (disorder)
47516005,Hereditary spherocytosis due to combined deficiency of spectrin AND ankyrin (disorder)
55995005,Hereditary spherocytosis (disorder)
69981004,Hereditary spherocytosis due to beta spectrin defect (disorder)
77413008,Severe hereditary spherocytosis due to spectrin deficiency (disorder)
5994005,Hereditary elliptocytosis due to deficiency of protein 4.1 (disorder)
8857001,Hereditary elliptocytosis due to alpha spectrin defect (disorder)
15121005,Hereditary elliptocytosis due to glycophorin C deficiency (disorder)
66262001,Hereditary elliptocytosis due to beta spectrin-ankyrin interaction (disorder)
73073009,Hereditary elliptocytosis due to beta spectrin defect in self-association (disorder)
75443009,Hereditary elliptocytosis due to abnormal protein 4.1 (disorder)
18273004,Unstable hemoglobin disease (disorder)
18662002,Acquired Heinz body anemia (disorder)
38589006,Mixed hemoglobin disorder (disorder)
46248003,Hemoglobin E trait (disorder)
76050008,Hemoglobin C trait (disorder)
80141007,Hemoglobinopathy (disorder)
84260001,Hemoglobinopathy with cyanosis (disorder)
111575000,Anemia due to membrane defect (disorder)
123772008,Homozygous hemoglobinopathy (disorder)
123773003,Heterozygous hemoglobinopathy (disorder)
127038008,Hereditary hemoglobinopathy due to globin chain mutation (disorder)
127039000,Acquired hemoglobinopathy (disorder)
191202009,Hemoglobin Zurich disease (disorder)
203486002,Osteonecrosis due to hemoglobinopathy (disorder)
234392002,Hemoglobin E/beta thalassemia disease (disorder)
234393007,Low affinity hemoglobin (disorder)
234394001,High affinity hemoglobin (disorder)
275325009,Arthropathy secondary to hemoglobinopathy (disorder)
427306008,Hereditary hemoglobinopathy (disorder)
445542007,Hemoglobin O-Arab trait (disorder)
782880001,Hemoglobinopathy Toms River (disorder)
3272007,Stomatocytosis (disorder)
9434008,Hereditary pyropoikilocytosis (disorder)
14087004,Hereditary stomatocytosis (disorder)
37272000,Rh deficiency syndrome (disorder)
74789008,Coombs positive hemolytic anemia (disorder)
111576004,Acquired stomatocytosis (disorder)
322699009,Intracorpuscular hemolytic anemia (disorder)
715526002,Dehydrated hereditary stomatocytosis (disorder)
717254007,Familial pseudohyperkalemia (disorder)
719402008,Lethal hemolytic anemia and genital anomaly syndrome (disorder)
722125003,Overhydrated hereditary stomatocytosis (disorder)
