id,name,active,notes
233754007,Cerium pneumoconiosis (disorder),y,direct mapping
196133001,Lung disease with systemic sclerosis (disorder),y,direct mapping
776981000000103,Cirrhosis associated with cystic fibrosis (disorder),y,direct mapping
711379004,Interstitial lung disease due to connective tissue disease (disorder),y,direct mapping
213223003,Mendelson's syndrome as a complication of care (disorder),y,direct mapping
196135008,Pulmonary amyloidosis (disorder),y,direct mapping
22607003,Asbestosis (disorder),y,direct mapping
233675009,Toxic emphysema (disorder),y,direct mapping
716241000000106,Chronic obstructive pulmonary disease monitoring first letter (procedure),y,direct mapping
68328006,Centriacinar emphysema (disorder),y,direct mapping
23315001,Sequoiosis (disorder),y,direct mapping
425748003,Acute exacerbation of chronic bronchitis (disorder),y,direct mapping
195953005,Mixed simple and mucopurulent chronic bronchitis (disorder),y,direct mapping
233769008,Stage 3 pulmonary sarcoidosis (disorder),y,direct mapping
63480004,Chronic bronchitis (disorder),y,direct mapping
36696005,Kaolinosis (disorder),y,direct mapping
196190001,Chronic pulmonary insufficiency following surgery (disorder),y,direct mapping
88039007,Transplant of lung (procedure),y,direct mapping
67569000,Bronchopulmonary dysplasia of newborn (disorder),y,direct mapping
196049002,Chronic pulmonary radiation disease (disorder),y,direct mapping
293991000000106,Very severe chronic obstructive pulmonary disease (disorder),y,direct mapping
86092005,Cystic fibrosis with meconium ileus (disorder),y,direct mapping
783631000000109,General practitioner out of hours service notified of chronic obstructive pulmonary disease care plan (finding),y,direct mapping
196021009,Acute pneumonitis caused by chemical fumes (disorder),y,direct mapping
85407005,Pigeon-fanciers' disease (disorder),y,direct mapping
198901000000105,Multiple chronic obstructive pulmonary disease emergency hospital admissions (finding),y,direct mapping
187233002,Sarcoidosis of lung with sarcoidosis of lymph nodes (disorder),y,direct mapping
90117007,Tuberculous fibrosis of lung (disorder),y,direct mapping
13394002,Suberosis (disorder),y,direct mapping
195989002,Pituitary snuff-takers' disease (disorder),y,direct mapping
7063008,Gangrenous pneumonia (disorder),y,direct mapping
47386001,Mendelson's syndrome resulting from a procedure (disorder),y,direct mapping
87433001,Pulmonary emphysema (disorder),y,direct mapping
195951007,Acute exacerbation of chronic obstructive airways disease (disorder),y,direct mapping
233724002,Toxic diffuse interstitial pulmonary fibrosis (disorder),y,direct mapping
233725001,Drug-induced diffuse interstitial pulmonary fibrosis (disorder),y,direct mapping
105977003,Non-infectious pneumonia (disorder),y,direct mapping
866901000000103,Eosinophilic bronchitis (disorder),y,direct mapping
195957006,Chronic bullous emphysema (disorder),y,direct mapping
68333005,Furriers' lung (disorder),y,direct mapping
86555001,Cystic fibrosis of the lung (disorder),y,direct mapping
427123006,Interstitial lung disease due to collagen vascular disease (disorder),y,direct mapping
233661002,Inherited mucociliary clearance defect (disorder),y,direct mapping
313296004,Mild chronic obstructive pulmonary disease (disorder),y,direct mapping
25897000,Malt-workers' lung (disorder),y,direct mapping
62371005,Pulmonary siderosis (disorder),y,direct mapping
115666004,Animal handlers' lung (disorder),y,direct mapping
51577008,Wilson-Mikity syndrome (disorder),y,direct mapping
367542003,Pulmonary eosinophilia (disorder),y,direct mapping
195984007,Recurrent bronchiectasis (disorder),y,direct mapping
51615001,Fibrosis of lung (disorder),y,direct mapping
233700005,Rodent handlers' lung (disorder),y,direct mapping
44274007,Lymphoid interstitial pneumonia (disorder),y,direct mapping
820341000000109,Chronic obstructive pulmonary disease rescue pack not indicated (situation),y,direct mapping
233759002,Mixed mineral dust pneumoconiosis (disorder),y,direct mapping
29422001,Coal workers' pneumoconiosis (disorder),y,direct mapping
90610005,Interstitial pulmonary fibrosis of prematurity (disorder),y,direct mapping
233733000,Toxic pneumonitis (disorder),y,direct mapping
426705001,Diabetes mellitus co-occurrent and due to cystic fibrosis (disorder),y,direct mapping
233673002,Drug-induced bronchiolitis obliterans (disorder),y,direct mapping
195959009,Zonal bullous emphysema (disorder),y,direct mapping
473202005,Optimization of medication for chronic obstructive lung disease (procedure),y,direct mapping
790301000000101,Referral to chronic obstructive pulmonary disease community nursing team (procedure),y,direct mapping
10692761000119107,Asthma-chronic obstructive pulmonary disease overlap syndrome (disorder),y,direct mapping
196138005,Lung disease with systemic lupus erythematosus (disorder),y,direct mapping
196001008,Chronic obstructive pulmonary disease with acute lower respiratory infection (disorder),y,direct mapping
266368002,Post-inflammatory pulmonary fibrosis (disorder),y,direct mapping
13645005,Chronic obstructive lung disease (disorder),y,direct mapping
233758005,Mica pneumoconiosis (disorder),y,direct mapping
716281000000103,Chronic obstructive pulmonary disease monitoring verbal invitation (procedure),y,direct mapping
