"code","description"
"18000001000004101","Stenosis of left subclavian artery (disorder)"
"16891151000119103","Coronary artery disease due to type 2 diabetes mellitus (disorder)"
"16846341000119101","Stenosis of celiac artery (disorder)"
"16837681000119104","Myocardial infarction due to demand ischemia (disorder)"
"16754391000119100","Stable angina due to coronary arteriosclerosis (disorder)"
"16662371000119109","Aneurysm of left vertebral artery (disorder)"
"16662331000119106","Aneurysm of right vertebral artery (disorder)"
"16477701000119105","Dissection of celiac artery (disorder)"
"16289341000119108","Dissection of right subclavian artery (disorder)"
"16289261000119103","Dissection of left subclavian artery (disorder)"
"16288421000119101","Dissection of right femoral artery (disorder)"
"16288341000119100","Dissection of left femoral artery (disorder)"
"16229371000119106","Labile systemic arterial hypertension (disorder)"
"16025471000119107","Aneurysm of coronary artery due to and following acute febrile mucocutaneous lymph node syndrome (disorder)"
"16018911000119107","Atherosclerosis of non-biological bypass graft of bilateral lower limbs (disorder)"
"16011431000119103","Stenosis of artery of right lower limb (disorder)"
"16011391000119108","Stenosis of artery of left lower limb (disorder)"
"16002711000119105","Pain of right upper limb co-occurrent and due to ischemia (disorder)"
"16002551000119103","Pain of left upper limb co-occurrent and due to ischemia (disorder)"
"15967341000119100","Stenosis of right subclavian artery (disorder)"
"15967301000119102","Stenosis of bilateral subclavian arteries (disorder)"
"15966501000119108","Dissection of right renal artery (disorder)"
"15966461000119108","Dissection of left renal artery (disorder)"
"15964901000119107","Atypical atrial flutter (disorder)"
"15960981000119105","Mural thrombus of left ventricle following acute myocardial infarction (disorder)"
"15960661000119107","Unstable angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft (disorder)"
"15960581000119102","Angina co-occurrent and due to arteriosclerosis of autologous vein coronary artery bypass graft (disorder)"
"15960541000119107","Unstable angina due to arteriosclerosis of autologous vein coronary artery bypass graft (disorder)"
"15960381000119109","Angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft (disorder)"
"15960141000119102","Angina co-occurrent and due to coronary arteriosclerosis (disorder)"
"15960061000119102","Unstable angina co-occurrent and due to coronary arteriosclerosis (disorder)"
"15960021000119107","Dilatation of aortic root co-occurrent and due to Marfan syndrome (disorder)"
"15930061000119106","Edema of left lower limb co-occurrent and due to peripheral venous insufficiency (disorder)"
"15929941000119103","Edema of right lower limb co-occurrent and due to peripheral venous insufficiency (disorder)"
"15929861000119106","Edema of bilateral lower limbs co-occurrent and due to peripheral venous insufficiency (disorder)"
"15713201000119105","Acute ST segment elevation myocardial infarction of posterobasal wall (disorder)"
"15713161000119100","Acute ST segment elevation myocardial infarction of septum (disorder)"
"15713121000119105","Acute ST segment elevation myocardial infarction due to right coronary artery occlusion (disorder)"
"15713081000119108","Acute ST segment elevation myocardial infarction due to left coronary artery occlusion (disorder)"
"15713041000119103","Acute ST segment elevation myocardial infarction of posterior wall (disorder)"
"15712961000119108","Acute ST segment elevation myocardial infarction of anteroseptal wall (disorder)"
"15712921000119103","Acute ST segment elevation myocardial infarction of lateral wall (disorder)"
"15712881000119105","Acute ST segment elevation myocardial infarction of anterolateral wall (disorder)"
"15712841000119100","Acute ST segment elevation myocardial infarction of posterolateral wall (disorder)"
"15712441000119103","Chronic thrombosis of inferior vena cava (disorder)"
"15712161000119106","Acute thrombosis of inferior vena cava (disorder)"
"15710841000119104","Dissection of bilateral iliac arteries (disorder)"
"15710721000119104","Dissection of left vertebral artery (disorder)"
"15710681000119105","Dissection of right vertebral artery (disorder)"
"15710641000119100","Dissection of bilateral vertebral arteries (disorder)"
"15708041000119108","Dissection of right carotid artery (disorder)"
"15708001000119106","Dissection of left carotid artery (disorder)"
"15707961000119109","Dissection of bilateral carotid arteries (disorder)"
"15649861000119105","Aneurysm of artery of left upper limb (disorder)"
"15649821000119100","Aneurysm of artery of right upper limb (disorder)"
"15649781000119105","Aneurysm of left brachial artery (disorder)"
"15649741000119100","Aneurysm of right brachial artery (disorder)"
"15649481000119103","Aneurysm of left femoral artery (disorder)"
"15649421000119102","Aneurysm of right femoral artery (disorder)"
"15649361000119102","Aneurysm of left popliteal artery (disorder)"
