code,description,tag
365007,"Circaseptan biorhythm, function (observable entity)",observable entity
413009,"Photophosphorylation, function (observable entity)",observable entity
477001,"Suggestibility, function (observable entity)",observable entity
482008,"Gallbladder contraction, function (observable entity)",observable entity
820008,"Intestinal mucosal permeability, function (observable entity)",observable entity
916008,"Epidermopoiesis, function (observable entity)",observable entity
940000,"Secondary immune response, function (observable entity)",observable entity
1202003,Mastication (observable entity),observable entity
1255009,"Electron transfer, function (observable entity)",observable entity
1285004,"Third heart sound, S>3<, function (observable entity)",observable entity
1309009,"Electrical transmission of fiber, function (observable entity)",observable entity
1314008,"Antigen transformation, function (observable entity)",observable entity
1364001,"Ion channel gating, function (observable entity)",observable entity
1391004,"Mechanical dead space, function (observable entity)",observable entity
1495009,Moro reflex (observable entity),observable entity
1524004,"Megakaryocytic maturation, function (observable entity)",observable entity
1803003,"Epidermal diffusion, function (observable entity)",observable entity
1882005,"Antibody-mediated lympholysis, function (observable entity)",observable entity
1925005,Subcutaneous tissue function (observable entity),observable entity
1993008,"Operation of a transportation device, function (observable entity)",observable entity
2335007,"Amniotic fluid turnover, function (observable entity)",observable entity
2465003,"Neutrophil chemotaxis, function (observable entity)",observable entity
2548005,Peak gastric acid output (observable entity),observable entity
2767007,Dysergia (observable entity),observable entity
2941008,Eighth cranial nerve function (observable entity),observable entity
2957008,Gallbladder contraction reflex (observable entity),observable entity
3030002,ST segment (observable entity),observable entity
3049003,"Gastrointestinal neuronal concentration, function (observable entity)",observable entity
3085003,"Gastric phase of gastric secretory response, function (observable entity)",observable entity
3309000,"Maximum breathing capacity, function (observable entity)",observable entity
3330009,"Aminergic synaptic transmission, function (observable entity)",observable entity
3359009,"Humoral immune reaction, function (observable entity)",observable entity
3371003,"Ciliary action, function (observable entity)",observable entity
3384007,"Illumination, function (observable entity)",observable entity
3397009,"Physiological regions of airflow, lower airway, function (observable entity)",observable entity
3516000,"Chemical transmission of fiber, function (observable entity)",observable entity
3628000,"Lymphocytic migration, function (observable entity)",observable entity
3678003,"Neurogenic pancreatic secretory regulation, function (observable entity)",observable entity
3709003,"Respiratory movement, function (observable entity)",observable entity
3791008,"Bohr effect, function (observable entity)",observable entity
3805004,Behavior of childhood and adolescence (observable entity),observable entity
3806003,"Relaxation of sphincter of Oddi, function (observable entity)",observable entity
3850002,Psychological function (observable entity),observable entity
3863008,Lung compliance (observable entity),observable entity
3962002,Vasomotor function (observable entity),observable entity
4051006,Finkelsteins test response (observable entity),observable entity
4065008,Affect function (observable entity),observable entity
4186006,"Telophase, function (observable entity)",observable entity
4187002,Dark adaptation curve (observable entity),observable entity
4351003,"Stress relaxation pressure, function (observable entity)",observable entity
4428004,Equal pressure point (observable entity),observable entity
4452006,"Adaptation, function (observable entity)",observable entity
4531001,Jaw reflex (observable entity),observable entity
4601000,"Airflow, function (observable entity)",observable entity
4605009,Cerebral function (observable entity),observable entity
4683004,Living condition (observable entity),observable entity
4695004,"Homeostasis of autonomic nervous system, function (observable entity)",observable entity
4710002,"Interdigestive phase, function (observable entity)",observable entity
4751000,Leisure physical activity (observable entity),observable entity
4838002,Vagus nerve motor function (observable entity),observable entity
5072004,Thoracic autonomic function (observable entity),observable entity
5222008,Pressure difference between alveoli and mouth (observable entity),observable entity
5308006,"Bile protein secretion, function (observable entity)",observable entity
5410007,"Oxidative phosphorylation, function (observable entity)",observable entity
5418000,"Host defense, function (observable entity)",observable entity
5512001,GAg gene (observable entity),observable entity
5660006,Volitional phonation (observable entity),observable entity
5661005,Unnatural hair color (observable entity),observable entity
5741007,"Interphase, function (observable entity)",observable entity
5744004,"Excitatory potential, function (observable entity)",observable entity
5748001,Axon and peripheral nervous system function (observable entity),observable entity
5883007,"Physiological change of voice, function (observable entity)",observable entity
6057008,"Tubular reabsorption, function (observable entity)",observable entity
6145002,"Effective renal plasma flow, function (observable entity)",observable entity
6230002,"Extinction of conditioned response, function (observable entity)",observable entity
6252006,Postural reflex (observable entity),observable entity
6304003,Airway resistance (observable entity),observable entity
6427007,Chest expansion (observable entity),observable entity
6440002,"Equalization of pressure of gallbladder, function (observable entity)",observable entity
6577008,"Lacunar resorption, function (observable entity)",observable entity
6588002,"Tertiary peristaltic contraction of esophagus, function (observable entity)",observable entity
6635000,"Renal clearance, function (observable entity)",observable entity
6723007,"Granulocyte life span, function (observable entity)",observable entity
6769007,"Attention, function (observable entity)",observable entity
6795009,"Spontaneous placental expulsion, function (observable entity)",observable entity
6797001,Mean blood pressure (observable entity),observable entity
6886007,"Active biological transport, function (observable entity)",observable entity
6899005,"Axonal conduction, function (observable entity)",observable entity
6918002,Muscle tone (observable entity),observable entity
6942003,Level of consciousness (observable entity),observable entity
6994001,"Antigen excess, function (observable entity)",observable entity
7015005,"Renal filtration fraction, function (observable entity)",observable entity
7041004,"Mitosis, function (observable entity)",observable entity
7175000,"Dream, function (observable entity)",observable entity
7205007,"Equilibrium, function (observable entity)",observable entity
7261001,"Plasma cell secretion, function (observable entity)",observable entity
7349007,Yodelling (observable entity),observable entity
7352004,"Fontanel closure, function (observable entity)",observable entity
7423001,Critical fusion frequency (observable entity),observable entity
7453008,"Disturbance of perception, function (observable entity)",observable entity
7478007,Ciliospinal reflex (observable entity),observable entity
7542004,Personal status (observable entity),observable entity
7627009,"Retardation of thought, function (observable entity)",observable entity
7749005,"Body growth, function (observable entity)",observable entity
7825004,ENV gene (observable entity),observable entity
7866004,"Higher-order conditioning, function (observable entity)",observable entity
7928001,Body oxygen consumption (observable entity),observable entity
7934008,Passive physical exercise (observable entity),observable entity
7952008,"Skin sensitivity, function (observable entity)",observable entity
8198006,Orbicularis muscle reflex (observable entity),observable entity
8337009,"Active intestinal electrolyte transport, function (observable entity)",observable entity
8469004,"Immune domain, function (observable entity)",observable entity
8499008,"Pulse, function (observable entity)",observable entity
8515003,Bone turnover rate (observable entity),observable entity
8521004,Eyelid function (observable entity),observable entity
8527000,Radiopronator reflex (observable entity),observable entity
8581002,"Neuronal inhibition, function (observable entity)",observable entity
8586007,"Postprandial gastric acid secretory response, function (observable entity)",observable entity
8625004,Legal status (observable entity),observable entity
8647004,"Sulzberger-Chase phenomenon, function (observable entity)",observable entity
8690003,Diaphragmatic excursion (observable entity),observable entity
8738002,"Rhythmic gallbladder contraction, function (observable entity)",observable entity
8739005,"Intestinal electrolyte movement by passive diffusion, function (observable entity)",observable entity
8834007,"Humoral pancreatic secretory regulation, function (observable entity)",observable entity
8927009,"Stimulus, function (observable entity)",observable entity
8997002,"Ventricular systole, function (observable entity)",observable entity
9077000,"Air conduction, function (observable entity)",observable entity
9251003,Jumping (observable entity),observable entity
9304002,Aortic body chemoreceptor reflex (observable entity),observable entity
9470006,"Simple axonal action potential, function (observable entity)",observable entity
9561006,"Gastric filling, function (observable entity)",observable entity
9576003,Esophageal pressure (observable entity),observable entity
9876005,Tenth cranial nerve function (observable entity),observable entity
9929002,"Eddy currents in airflow, function (observable entity)",observable entity
9964006,"Flexion, function (observable entity)",observable entity
9995004,"Hue discrimination, function (observable entity)",observable entity
10011003,"Absolute refractory period of nerve cell and nerve fiber, function (observable entity)",observable entity
10142005,Chronobiologic state (observable entity),observable entity
10143000,Touch-pressure threshold of spinal nerve (observable entity),observable entity
10241009,"Digestion and absorption, intestinal stage, function (observable entity)",observable entity
10252003,Triceps jerk reflex (observable entity),observable entity
10448000,"Distribution of ventilation, function (observable entity)",observable entity
10502006,"Conditioned stimulus, function (observable entity)",observable entity
10539007,Sixth cranial nerve function (observable entity),observable entity
10625003,"Adaptation to odor, function (observable entity)",observable entity
10702008,Intracapsular hydrostatic pressure (observable entity),observable entity
10716003,Ureteral function (observable entity),observable entity
10806004,"Digestion and absorption, intraluminal stage, function (observable entity)",observable entity
10947000,"Synergist muscle action, function (observable entity)",observable entity
11118004,Autonomic esophageal function (observable entity),observable entity
11247002,"Intestinal electrolyte transport, function (observable entity)",observable entity
11395008,Third cranial nerve function (observable entity),observable entity
11448005,"Rapid eye movement dreaming, function (observable entity)",observable entity
11554009,"Adduction, function (observable entity)",observable entity
11696002,"Intestinal sodium secretion, function (observable entity)",observable entity
11769008,"Antigen competition, function (observable entity)",observable entity
11786002,"Dentin solubility, function (observable entity)",observable entity
11798007,"Anabolism, function (observable entity)",observable entity
11820004,Stepping reflex (observable entity),observable entity
11953005,Renal function (observable entity),observable entity
11977004,"Muscle relaxation, function (observable entity)",observable entity
12032001,"Superior oblique muscle innervation, function (observable entity)",observable entity
12049008,"Ovum transport, function (observable entity)",observable entity
12140005,"Muscle contraction, function (observable entity)",observable entity
12157009,"Bile acid secretion, function (observable entity)",observable entity
12239004,Throat clearing (observable entity),observable entity
12261009,Writing (observable entity),observable entity
12280006,"Blood-cerebrospinal fluid barrier, function (observable entity)",observable entity
12307008,"Dopaminergic synaptic transmission, function (observable entity)",observable entity
12309006,"Posterior nasal fricative, function (observable entity)",observable entity
12367005,"Lipid peroxidation, function (observable entity)",observable entity
12405001,Spitting (observable entity),observable entity
12493004,Facial nerve motor function (observable entity),observable entity
12547000,Erythrocyte deformability (observable entity),observable entity
12591000,"Intestinal epithelial cell transport of amino acids, function (observable entity)",observable entity
12679000,Supinator jerk reflex (observable entity),observable entity
12852001,"Internal rotation, function (observable entity)",observable entity
12887001,Colorectal pressure (observable entity),observable entity
13130004,"Foot inversion, function (observable entity)",observable entity
13191003,"Transformer action, function (observable entity)",observable entity
13226008,"Pancreatic secretion, function (observable entity)",observable entity
13402008,"Flocculation, function (observable entity)",observable entity
13473004,Autonomic gastric function (observable entity),observable entity
13506008,Maternal age (observable entity),observable entity
13621006,Tidal volume (observable entity),observable entity
13693004,"Conception, function (observable entity)",observable entity
13760002,Cardioarterial interval (observable entity),observable entity
13823007,"Excretory rate, function (observable entity)",observable entity
14004009,"Interdigestive motility pattern, function (observable entity)",observable entity
14067000,Speech hearing level (observable entity),observable entity
14142001,Frequency of sexual intercourse (observable entity),observable entity
14235009,"Performance discrimination, function (observable entity)",observable entity
14411002,"Desquamation, function (observable entity)",observable entity
14468000,Sports activity (observable entity),observable entity
14502000,"Supination, function (observable entity)",observable entity
14688008,Brain stem inspiratory center function (observable entity),observable entity
14872005,Gene function (observable entity),observable entity
14890006,"Small intestine secretion, function (observable entity)",observable entity
14910006,Inspiration (observable entity),observable entity
14951008,Fatherhood (observable entity),observable entity
15070007,Trigeminal reflex (observable entity),observable entity
15125001,"After-discharge phenomenon, function (observable entity)",observable entity
15227002,"Gastric secretory inhibition, function (observable entity)",observable entity
15281004,"Intestinal protein absorption, function (observable entity)",observable entity
15361003,"Operation of a device, function (observable entity)",observable entity
15396003,Ribosomal ribonucleic acid operon gene (observable entity),observable entity
15456004,Q angle (knee) (observable entity),observable entity
15527001,"Capillary filling, function (observable entity)",observable entity
15564007,"Slow axoplasmic transport, function (observable entity)",observable entity
15565008,"Spatial summation, function (observable entity)",observable entity
15615005,"Complement activation terminal pathway, function (observable entity)",observable entity
15876000,McMurray test response (observable entity),observable entity
16058003,"Threshold reaction, function (observable entity)",observable entity
16086006,Blood volume (observable entity),observable entity
16153005,"Fast axoplasmic transport, function (observable entity)",observable entity
16162007,Total airway resistance (observable entity),observable entity
16166005,Placental endocrine function (observable entity),observable entity
16206004,Oxygen delivery (observable entity),observable entity
16244008,"Immune adherence, function (observable entity)",observable entity
16262004,Autonomic genital erectile function (observable entity),observable entity
16354009,Blood erythrocyte volume (observable entity),observable entity
16379007,"Water-electrolyte balance, function (observable entity)",observable entity
16466004,"Ristocetin cofactor activity, function (observable entity)",observable entity
16468003,Dynamic stretch reflex (observable entity),observable entity
16476001,"Bone conduction, function (observable entity)",observable entity
16490003,"Anorectal continence, function (observable entity)",observable entity
16550004,"Renal blood flow, function (observable entity)",observable entity
16679002,"Inhibition of pancreatic secretion, function (observable entity)",observable entity
16821004,"Metabolic requirement, function (observable entity)",observable entity
16891008,"Immunologic enhancement, function (observable entity)",observable entity
16933005,"Gastric secretory capacity, function (observable entity)",observable entity
16940006,"Electrogenic sodium absorption, function (observable entity)",observable entity
17202005,Maximum expiratory pressure (observable entity),observable entity
17328006,Flow of urine (observable entity),observable entity
17362006,"Small intestinal motor activity, function (observable entity)",observable entity
17410008,"Gastric bicarbonate secretion, function (observable entity)",observable entity
17441009,Resolution threshold (observable entity),observable entity
17785005,"Lung volume, function (observable entity)",observable entity
17892006,"Nerve-muscle fiber pathway polarization, function (observable entity)",observable entity
17952008,"Transmission of breath sounds, function (observable entity)",observable entity
17964000,Residual tumor stage (observable entity),observable entity
18145008,Hypopharyngeal sphincter function (observable entity),observable entity
18240006,"Corpus striatum motor modulation, function (observable entity)",observable entity
18316001,"Virus replication in vivo, function (observable entity)",observable entity
18332003,"Scotopic dominator curve, function (observable entity)",observable entity
18373002,Nervous system function (observable entity),observable entity
18480004,"Libido, function (observable entity)",observable entity
18491006,Peak expiratory flow rate (observable entity),observable entity
18601007,Rooting reflex (observable entity),observable entity
18741006,Digestive gland function (observable entity),observable entity
18841001,Inflation reflexes (observable entity),observable entity
19077000,Eleventh cranial nerve motor function (observable entity),observable entity
19166009,Stapedial reflex (observable entity),observable entity
19381008,"Capillary permeability, function (observable entity)",observable entity
19487008,"Exertion, function (observable entity)",observable entity
19511002,"Aggressor lymphocyte reaction, function (observable entity)",observable entity
19611009,"Mechanical fragility, function (observable entity)",observable entity
19634000,"Gas transport time peak of expiratory flow, function (observable entity)",observable entity
19706002,"Gamma aminobutyric acid synaptic transmission, function (observable entity)",observable entity
19789007,"Gallbladder bile concentration, function (observable entity)",observable entity
19959007,"Histiocytic migration, function (observable entity)",observable entity
19982009,Dead space gas volume (observable entity),observable entity
19993006,"Immunologic memory, function (observable entity)",observable entity
20000007,"Complement fixation, function (observable entity)",observable entity
20245001,"Blood-brain barrier, function (observable entity)",observable entity
20255002,"Blushing, function (observable entity)",observable entity
20374008,"Lymphocyte transformation response, function (observable entity)",observable entity
20412003,"Spermatogenesis, function (observable entity)",observable entity
20426007,Volume history of lung (observable entity),observable entity
20441007,"Thought association, function (observable entity)",observable entity
20494003,Nociceptor function (observable entity),observable entity
20587003,Paternal age (observable entity),observable entity
20618006,"Mean mid-expiratory flow rate, function (observable entity)",observable entity
20629005,"Large bowel transit time, function (observable entity)",observable entity
20722008,"Passive biological transport, function (observable entity)",observable entity
20733006,Living place (observable entity),observable entity
20806000,"Adrenergic synaptic transmission, function (observable entity)",observable entity
20889005,"Genetic marker, function (observable entity)",observable entity
20910001,Pivot shift test response (observable entity),observable entity
20947001,"Dialysis secretion of vitreous humor, function (observable entity)",observable entity
20970009,Static lung pressure (observable entity),observable entity
21122005,Femoral nerve stretch response (observable entity),observable entity
21152002,"Temporal summation, function (observable entity)",observable entity
21192000,"Systolic phase of uterine contraction, function (observable entity)",observable entity
21278004,Passive movement (observable entity),observable entity
21313003,Whispered voice (observable entity),observable entity
21324001,"Refraction of eye, function (observable entity)",observable entity
21356008,"Photosynthesis, function (observable entity)",observable entity
21417003,"Linear gas velocity (V), function (observable entity)",observable entity
21474000,"Generalization of extinction, function (observable entity)",observable entity
21663000,Salivary reflex (observable entity),observable entity
21723009,"Reticuloendothelial cell migration, function (observable entity)",observable entity
21738005,"Precipitation, function (observable entity)",observable entity
