"code","description"
"N00","Acute nephritic syndrome"
"N000","Minor glomerular abnormality"
"N001","Focal and segmental glomerular lesions"
"N002","Diffuse membranous glomerulonephritis"
"N003","Diffuse mesangial proliferative glomerulonephritis"
"N004","Diffuse endocapillary proliferative glomerulonephritis"
"N005","Diffuse mesangiocapillary glomerulonephritis"
"N006","Dense deposit disease"
"N007","Diffuse crescentic glomerulonephritis"
"N008","Other"
"N009","Unspecified"
"N01","Rapidly progressive nephritic syndrome"
"N010","Minor glomerular abnormality"
"N011","Focal and segmental glomerular lesions"
"N012","Diffuse membranous glomerulonephritis"
"N013","Diffuse mesangial proliferative glomerulonephritis"
"N014","Diffuse endocapillary proliferative glomerulonephritis"
"N015","Diffuse mesangiocapillary glomerulonephritis"
"N016","Dense deposit disease"
"N017","Diffuse crescentic glomerulonephritis"
"N018","Other"
"N019","Unspecified"
"N02","Recurrent and persistent haematuria"
"N020","Minor glomerular abnormality"
"N021","Focal and segmental glomerular lesions"
"N022","Diffuse membranous glomerulonephritis"
"N023","Diffuse mesangial proliferative glomerulonephritis"
"N024","Diffuse endocapillary proliferative glomerulonephritis"
"N025","Diffuse mesangiocapillary glomerulonephritis"
"N026","Dense deposit disease"
"N027","Diffuse crescentic glomerulonephritis"
"N028","Other"
"N029","Unspecified"
"N03","Chronic nephritic syndrome"
"N030","Minor glomerular abnormality"
"N031","Focal and segmental glomerular lesions"
"N032","Diffuse membranous glomerulonephritis"
"N033","Diffuse mesangial proliferative glomerulonephritis"
"N034","Diffuse endocapillary proliferative glomerulonephritis"
"N035","Diffuse mesangiocapillary glomerulonephritis"
"N036","Dense deposit disease"
"N037","Diffuse crescentic glomerulonephritis"
"N038","Other"
"N039","Unspecified"
"N04","Nephrotic syndrome"
"N040","Minor glomerular abnormality"
"N041","Focal and segmental glomerular lesions"
"N042","Diffuse membranous glomerulonephritis"
"N043","Diffuse mesangial proliferative glomerulonephritis"
"N044","Diffuse endocapillary proliferative glomerulonephritis"
"N045","Diffuse mesangiocapillary glomerulonephritis"
"N046","Dense deposit disease"
"N047","Diffuse crescentic glomerulonephritis"
"N048","Other"
"N049","Unspecified"
"N05","Unspecified nephritic syndrome"
"N050","Minor glomerular abnormality"
"N051","Focal and segmental glomerular lesions"
"N052","Diffuse membranous glomerulonephritis"
"N053","Diffuse mesangial proliferative glomerulonephritis"
"N054","Diffuse endocapillary proliferative glomerulonephritis"
"N055","Diffuse mesangiocapillary glomerulonephritis"
"N056","Dense deposit disease"
"N057","Diffuse crescentic glomerulonephritis"
"N058","Other"
"N059","Unspecified"
"N07","Hereditary nephropathy, not elsewhere classified"
"N070","Minor glomerular abnormality"
"N071","Focal and segmental glomerular lesions"
"N072","Diffuse membranous glomerulonephritis"
"N073","Diffuse mesangial proliferative glomerulonephritis"
"N074","Diffuse endocapillary proliferative glomerulonephritis"
"N075","Diffuse mesangiocapillary glomerulonephritis"
"N076","Dense deposit disease"
"N077","Diffuse crescentic glomerulonephritis"
"N078","Other"
"N079","Unspecified"
"N08","Glomerular disorders in diseases classified elsewhere"
"N081","Glomerular disorders in neoplastic diseases"
"N082","Glomerular disorders in blood diseases and disorders involving the immune mechanism"
"N083","Glomerular disorders in diabetes mellitus"
"N084","Glomerular disorders in other endocrine, nutritional and metabolic diseases"
"N085","Glomerular disorders in systemic connective tissue disorders"
"N088","Glomerular disorders in other diseases classified elsewhere"
"N11","Chronic tubulo-interstitial nephritis"
"N110","Nonobstructive reflux-associated chronic pyelonephritis"
"N111","Chronic obstructive pyelonephritis"
"N118","Other chronic tubulo-interstitial nephritis"
"N119","Chronic tubulo-interstitial nephritis, unspecified"
"N12","Tubulo-interstitial nephritis, not specified as acute or chronic"
"N13","Obstructive and reflux uropathy"
"N130","Hydronephrosis with ureteropelvic junction obstruction"
"N131","Hydronephrosis with ureteral stricture, not elsewhere classified"
"N132","Hydronephrosis with renal and ureteral calculous obstruction"
"N133","Other and unspecified hydronephrosis"
"N134","Hydroureter"
"N135","Kinking and stricture of ureter without hydronephrosis"
"N136","Pyonephrosis"
"N137","Vesicoureteral-reflux-associated uropathy"
"N138","Other obstructive and reflux uropathy"
"N139","Obstructive and reflux uropathy, unspecified"
"N14","Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions"
"N140","Analgesic nephropathy"
"N141","Nephropathy induced by other drugs, medicaments and biological substances"
"N142","Nephropathy induced by unspecified drug, medicament or biological substance"
"N143","Nephropathy induced by heavy metals"
"N144","Toxic nephropathy, not elsewhere classified"
"N15","Other renal tubulo-interstitial diseases"
"N150","Balkan nephropathy"
"N151","Renal and perinephric abscess"
"N158","Other specified renal tubulo-interstitial diseases"
"N159","Renal tubulo-interstitial disease, unspecified"
"N16","Renal tubulo-interstitial disorders in diseases classified elsewhere"
"N160","Renal tubulo-interstitial disorders in infectious and parasitic diseases classified elsewhere"
"N161","Renal tubulo-interstitial disorders in neoplastic diseases"
"N162","Renal tubulo-interstitial disorders in blood diseases and disorders involving the immune mechanism"
"N163","Renal tubulo-interstitial disorders in metabolic diseases"
"N164","Renal tubulo-interstitial disorders in systemic connective tissue disorders"
"N165","Renal tubulo-interstitial disorders in transplant rejection"
"N168","Renal tubulo-interstitial disorders in other diseases classified elsewhere"
"N18","Chronic kidney disease"
"N181","Chronic kidney disease, stage 1"
"N182","Chronic kidney disease, stage 2"
"N183","Chronic kidney disease, stage 3"
"N184","Chronic kidney disease, stage 4"
"N185","Chronic kidney disease, stage 5"
"N189","Chronic kidney disease, unspecified"
"N19","Unspecified kidney failure"
"N20","Calculus of kidney and ureter"
"N200","Calculus of kidney"
"N201","Calculus of ureter"
"N202","Calculus of kidney with calculus of ureter"
"N209","Urinary calculus, unspecified"
"N21","Calculus of lower urinary tract"
"N210","Calculus in bladder"
"N211","Calculus in urethra"
"N218","Other lower urinary tract calculus"
