"code","description"
"16818591000119108","Calcification of basal ganglia (disorder)"
"16709811000119106","Spontaneous hemorrhage of subarachnoid space from anterior communicating artery (disorder)"
"16703821000119101)","Memory deficit due to and following hemorrhagic cerebrovascular accident (disorder)"
"16703761000119102","Memory deficit due to and following ischemic cerebrovascular accident (disorder)"
"16703661000119105","Memory deficit due to and following cerebrovascular accident (disorder)"
"16703551000119107","Memory deficit due to and following cerebrovascular disease (disorder)"
"16661971000119104","Cerebrovascular accident due to stenosis of bilateral carotid arteries (disorder)"
"16661931000119102","Cerebrovascular accident due to stenosis of bilateral vertebral arteries (disorder)"
"16644681000119102","Cerebrovascular accident due to occlusion of bilateral pontine arteries (disorder)"
"16476641000119100","Acquired arteriovenous fistula of dura of cerebrum (disorder)"
"16419651000119103","Dependence on biphasic positive airway pressure ventilation due to central sleep apnea syndrome (finding)"
"16371781000119100","Cerebellar stroke (disorder)"
"16275741000119100","Severe pediatric obstructive sleep apnea (disorder)"
"16260551000119106","Dysphasia due to and following cerebrovascular accident (disorder)"
"16219341000119105","Myelopathy due to spinal cord compression (disorder)"
"16219201000119101","Behavioral disturbance co-occurrent and due to late onset Alzheimer dementia (disorder)"
"16218291000119100","Acute cerebral ischemia (disorder)"
"16206981000119106","Entrapment of bilateral ilioinguinal nerves (disorder)"
"16058431000119104","White matter disease (disorder)"
"16058031000119107","Disorder of right trigeminal nerve (disorder)"
"16057991000119109","Disorder of left trigeminal nerve (disorder)"
"16057951000119104","Disorder of left facial nerve (disorder)"
"16057431000119103","Disorder of right facial nerve (disorder)"
"16053951000119108","Polyneuropathy caused by ionizing radiation (disorder)"
"16026991000119107","Cerebrovascular accident due to stenosis of left carotid artery (disorder)"
"16026951000119102","Cerebrovascular accident due to stenosis of right carotid artery (disorder)"
"16026871000119101","Disorder of left suprascapular nerve (disorder)"
"16026751000119100","Radiculopathy of thoracolumbar spine due to disc disorder (disorder)"
"16026631000119103","Auriculotemporal syndrome of left auriculotemporal nerve (disorder)"
"16026591000119103","Auriculotemporal syndrome of right auriculotemporal nerve (disorder)"
"16026551000119108","Peripheral neuropathy of bilateral lower limbs (disorder)"
"16026511000119107","Disorder of peripheral nerve of bilateral upper limbs (disorder)"
"16026471000119103","Disorder of right suprascapular nerve (disorder)"
"16024271000119107","Cerebrovascular accident due to occlusion of right cerebellar artery (disorder)"
"16024151000119105","Cerebrovascular accident due to occlusion of left cerebellar artery (disorder)"
"16024111000119109","Cerebrovascular accident due to occlusion of left carotid artery (disorder)"
"16024031000119100","Cerebrovascular accident due to occlusion of right pontine artery (disorder)"
