"code","description"
"A500","Early congenital syphilis, symptomatic"
"A501","Early congenital syphilis, latent"
"A502","Early congenital syphilis, unspecified"
"A503","Late congenital syphilitic oculopathy"
"A504","Late congenital neurosyphilis [juvenile neurosyphilis]"
"A505","Other late congenital syphilis, symptomatic"
"A506","Late congenital syphilis, latent"
"A507","Late congenital syphilis, unspecified"
"A509","Congenital syphilis, unspecified"
"B180","Chronic viral hepatitis B with delta-agent"
"B181","Chronic viral hepatitis B without delta-agent"
"B182","Chronic viral hepatitis C"
"B188","Other chronic viral hepatitis"
"B189","Chronic viral hepatitis, unspecified"
"B200","HIV disease resulting in mycobacterial infection"
"B203","HIV disease resulting in other viral infections"
"B205","HIV disease resulting in other mycoses"
"B208","HIV disease resulting in other infectious and parasitic diseases"
"B210","HIV disease resulting in Kaposi sarcoma"
"B212","HIV disease resulting in other types of non-Hodgkin lymphoma"
"B219","HIV disease resulting in unspecified malignant neoplasm"
"B220","HIV disease resulting in encephalopathy"
"B230","Acute HIV infection syndrome"
"B232","HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"
"B238","HIV disease resulting in other specified conditions"
"B24","Unspecified human immunodeficiency virus [HIV] disease"
"P350","Congenital rubella syndrome"
"P351","Congenital cytomegalovirus infection"
"P352","Congenital herpesviral [herpes simplex] infection"
"P358","Other congenital viral diseases"
"P359","Congenital viral disease, unspecified"
"P370","Congenital tuberculosis"
"P371","Congenital toxoplasmosis"
"A810","Creutzfeldt-Jakob disease"
"A811","Subacute sclerosing panencephalitis"
"A812","Progressive multifocal leukoencephalopathy"
"B209","HIV disease resulting in unspecified infectious or parasitic disease"
"B222","HIV disease resulting in wasting syndrome"
"B231","HIV disease resulting in (persistent) generalized lymphadenopathy"
"B201","HIV disease resulting in other bacterial infections"
"B204","HIV disease resulting in candidiasis"
"B206","HIV disease resulting in Pneumocystis jirovecii pneumonia"
"A50","Congenital syphilis"
"B18","Chronic viral hepatitis"
"B20","Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases"
"B202","HIV disease resulting in cytomegaloviral disease"
"B207","HIV disease resulting in multiple infections"
"B21","Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms"
"B211","HIV disease resulting in Burkitt lymphoma"
"B213","HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue"
"B217","HIV disease resulting in multiple malignant neoplasms"
"B218","HIV disease resulting in other malignant neoplasms"
"B22","Human immunodeficiency virus [HIV] disease resulting in other specified diseases"
"B221","HIV disease resulting in lymphoid interstitial pneumonitis"
"B227","HIV disease resulting in multiple diseases classified elsewhere"
"B23","Human immunodeficiency virus [HIV] disease resulting in other conditions"
