"code","description"
"16320631000119104","Dependence on continuous ambulatory peritoneal dialysis due to end stage renal disease (finding)"
"16218721000119107","Hyperparathyroidism due to end stage renal disease on dialysis (disorder)"
"11000771000119104","Dependence on continuous cycling peritoneal dialysis (finding)"
"11000731000119102","Dependence on continuous ambulatory peritoneal dialysis (finding)"
"286371000119107","Malignant hypertensive end stage renal disease on dialysis (disorder)"
"153891000119101","End stage renal disease on dialysis due to hypertension (disorder)"
"96701000119107","Hypertensive heart AND chronic kidney disease on dialysis (disorder)"
"32751000119100","Line sepsis associated with dialysis catheter (disorder)"
"341000124104","Peritoneal dialysis finding (finding)"
"737293005","Bladder stoma present (finding)"
"736987000","Mechanical complication of hemodialysis catheter (disorder)"
"736984007","Infection of bloodstream co-occurrent and due to temporary hemodialysis catheter in situ (disorder)"
"736920000","Infection of bloodstream co-occurrent and due to tunneled hemodialysis catheter in situ (disorder)"
"736918003","Infection of bloodstream co-occurrent and due to hemodialysis catheter in situ (disorder)"
"714152005","Chronic kidney disease stage 5 on dialysis (disorder)"
"704308002","Difficulty managing peritoneal dialysis (finding)"
"698937002","Misplacement of hemodialysis catheter (disorder)"
"698526007","Appendicovesicostomy present (finding)"
"473034005","Complication associated with dialysis catheter (disorder)"
"443596009","Dependence on peritoneal dialysis (finding)"
"443143006","Dependence on hemodialysis (finding)"
"442566005","Surgically constructed radioulnar arteriovenous fistula (finding)"
"439784005","Surgically constructed arteriovenous fistula (finding)"
"439073006","Peritoneal dialysis catheter in situ (finding)"
"430333000","Hematoma of dialysis access site (disorder)"
"430332005","Infection of arteriovenous graft for hemodialysis (disorder)"
"429075005","Dependence on dialysis due to end stage renal disease (finding)"
"428982002","Dependence on hemodialysis due to end stage renal disease (finding)"
"428937001","Dependence on peritoneal dialysis due to end stage renal disease (finding)"
"404192008","Penile prosthesis infection (disorder)"
"402282005","Chronic papillomatous dermatitis due to urostomy (disorder)"
"402281003","Irritant contact dermatitis due to urostomy (disorder)"
"309784007","Blocked ureteric stent (disorder)"
"302113004","Urostomy present (finding)"
"298136004","Parastomal urostomy hernia (disorder)"
"278534004","Disorder of cystostomy catheter (disorder)"
"271987001","Disorders of urogenital prostheses or implants (disorder)"
"271975008","Disorder of ureter repair graft (disorder)"
"271974007","Disorder of prosthetic reconstruction of vas deferens (disorder)"
"262906009","Perforation of urinary conduit (disorder)"
"236761004","Malfunction of penile prosthesis (disorder)"
"236734004","Displacement of penile prosthesis (disorder)"
"236733005","Extrusion of penile prosthesis (disorder)"
"236731007","Disorder of implanted penile prosthesis (disorder)"
"236730008","Testicular prosthesis extrusion (disorder)"
"236729003","Testicular prosthesis infection (disorder)"
"236728006","Testicular prosthesis displacement (disorder)"
"236727001","Disorder of testicular prosthesis (disorder)"
"236726005","Migration of urinary stent (disorder)"
"236725009","Obstruction of urinary stent (disorder)"
"236724008","Disorder of urinary stent (disorder)"
"236723002","Disorder of urinary sphincter implant (disorder)"
"236435004","End stage renal failure on dialysis (disorder)"
"234202005","Arteriovenous fistula occlusion (disorder)"
"213138009","Infection and inflammatory reaction due to prosthetic device, implant and graft in genital tract (disorder)"
"213137004","Infection and inflammatory reaction due to prosthetic device, implant and graft in urinary system (disorder)"
"213065000","Mechanical complication of ureter repair graft (disorder)"
"213064001","Mechanical complication of prosthetic reconstruction of vas deferens (disorder)"
"105502003","Dependence on renal dialysis (finding)"
"79767006","Mechanical complication due to prosthetic reconstruction of vas deferens (disorder)"
"17778006","Mechanical complication of dialysis catheter (disorder)"
