code,description,tag
166001,Behavioral therapy (regime/therapy),regime/therapy
1121002,Kinetic activities for range of motion (regime/therapy),regime/therapy
1453000,"Biofeedback, galvanic skin response (regime/therapy)",regime/therapy
1555005,Brief group psychotherapy (regime/therapy),regime/therapy
1774000,Nasopharyngeal rehabilitation (regime/therapy),regime/therapy
2457001,Blind rehabilitation therapy (regime/therapy),regime/therapy
2517002,Stroke rehabilitation (regime/therapy),regime/therapy
2629003,Intracranial/cerebral perfusion pressure monitoring (regime/therapy),regime/therapy
3029007,Peripheral nervous system disease rehabilitation (regime/therapy),regime/therapy
3130004,Monitoring of cardiac output by electrocardiogram (regime/therapy),regime/therapy
3518004,Aversive psychotherapy (regime/therapy),regime/therapy
4827002,Shower hydrotherapy (regime/therapy),regime/therapy
5154007,Speech therapy (regime/therapy),regime/therapy
5391008,Artificial voice rehabilitation (regime/therapy),regime/therapy
5694008,Crisis intervention with follow-up (regime/therapy),regime/therapy
6226000,"Visual rehabilitation, eye motion defect (regime/therapy)",regime/therapy
6227009,Relationship psychotherapy (regime/therapy),regime/therapy
6397004,Muscular strength development exercise (regime/therapy),regime/therapy
6506000,Placing a patient on a bedpan (regime/therapy),regime/therapy
6903003,Metabolic monitoring procedure (regime/therapy),regime/therapy
7334004,Kinetic activities for coordination (regime/therapy),regime/therapy
7476006,Special care of dentures (regime/therapy),regime/therapy
8246000,Electroencephalogram during carotid surgery (regime/therapy),regime/therapy
8390008,Routine care of newborn (regime/therapy),regime/therapy
8411005,Interactive individual medical psychotherapy (regime/therapy),regime/therapy
8552003,"Physical medicine, initial examination, review and planning of physiotherapy program or procedure (regime/therapy)",regime/therapy
8679008,Application of surface transcutaneous neurostimulator (regime/therapy),regime/therapy
9044004,Physical medicine evaluation and review for orthotic program (regime/therapy),regime/therapy
9153009,Newborn care service (regime/therapy),regime/therapy
9478004,Prospective focused infection control surveillance (regime/therapy),regime/therapy
9487008,"Biofeedback, gastric secretion pH (regime/therapy)",regime/therapy
9519000,Class in postural drainage (regime/therapy),regime/therapy
9591001,Gestalt therapy (regime/therapy),regime/therapy
10760003,Musculoskeletal injury rehabilitation (regime/therapy),regime/therapy
11037005,Perineal care in obstetrics (regime/therapy),regime/therapy
11310004,"Breathing exercise, blow bottle (regime/therapy)",regime/therapy
11581009,Swinging transfer training (regime/therapy),regime/therapy
11609002,Relaxation exercise (regime/therapy),regime/therapy
11624006,Forced extension of limb (regime/therapy),regime/therapy
12065009,Monitoring of coronary blood flow (regime/therapy),regime/therapy
12569007,"Biofeedback, regulation of blood pressure (regime/therapy)",regime/therapy
12799001,Physiotherapy class activities (regime/therapy),regime/therapy
12895002,Physiotherapeutic breathing exercise (regime/therapy),regime/therapy
14603002,Apnea monitor surveillance (regime/therapy),regime/therapy
15057003,Range of motion measurements and report for hand (regime/therapy),regime/therapy
15081005,Pulmonary rehabilitation (regime/therapy),regime/therapy
15142007,"Sexual psychotherapy, female therapist - female patient (regime/therapy)",regime/therapy
15558000,Expressive psychotherapy (regime/therapy),regime/therapy
16434009,Special care of premature baby (regime/therapy),regime/therapy
16709005,Isotonic exercise (regime/therapy),regime/therapy
17120007,"Biofeedback, strain gage (regime/therapy)",regime/therapy
17146006,"Arterial pressure monitoring, non-invasive method (regime/therapy)",regime/therapy
17395000,Language therapy (regime/therapy),regime/therapy
17447008,Transactional analysis (regime/therapy),regime/therapy
17566005,Class in prenatal exercises (regime/therapy),regime/therapy
17914007,Existential therapy (regime/therapy),regime/therapy
18007005,Progressive central nervous system disease rehabilitation (regime/therapy),regime/therapy
18325007,"Give urinal, remove and clean (regime/therapy)",regime/therapy
18463003,Use of ergometer bicycle (regime/therapy),regime/therapy
18512000,Individual psychotherapy (regime/therapy),regime/therapy
19432007,"Visual rehabilitation, braille reading (regime/therapy)",regime/therapy
19861002,Intermittent positive pressure breathing treatment with nebulized medication (regime/therapy),regime/therapy
19997007,Hypnotherapy (regime/therapy),regime/therapy
20093000,Alcohol rehabilitation and detoxification (regime/therapy),regime/therapy
20185002,Contrast water bath hydrotherapy (regime/therapy),regime/therapy
20661009,Respirations counting and evaluation (regime/therapy),regime/therapy
21055002,Crisis intervention with medication (regime/therapy),regime/therapy
21065008,Music therapy (regime/therapy),regime/therapy
21151009,Intracranial pressure monitor maintenance (regime/therapy),regime/therapy
21910006,Bathtub transfer training (regime/therapy),regime/therapy
21943005,Hot water bath hydrotherapy (regime/therapy),regime/therapy
22900004,Combined therapy (regime/therapy),regime/therapy
23399008,Vestibular rehabilitation (regime/therapy),regime/therapy
23457006,Chiropractic vibration therapy (regime/therapy),regime/therapy
23739009,Congenital spinal cord disease rehabilitation (regime/therapy),regime/therapy
23852006,Cardiac monitoring (regime/therapy),regime/therapy
23915005,Combined alcohol and drug rehabilitation and detoxification (regime/therapy),regime/therapy
24050008,Post-cardiac rehabilitation training (regime/therapy),regime/therapy
24172008,Crisis intervention (regime/therapy),regime/therapy
24599003,Pulmonary artery pressure monitoring (regime/therapy),regime/therapy
25156005,Intravenous feeding of patient (regime/therapy),regime/therapy
25855006,Neurological rehabilitation (regime/therapy),regime/therapy
25877005,Mealtime assistance (regime/therapy),regime/therapy
25902004,Individual exercises (regime/therapy),regime/therapy
25953003,Colostomy management and care (regime/therapy),regime/therapy
26342005,"Medical evaluation for speech, language and/or hearing problems (regime/therapy)",regime/therapy
26693005,"Sexual psychotherapy, group (regime/therapy)",regime/therapy
26890005,Psychiatric rehabilitation (regime/therapy),regime/therapy
27591006,Group analytical psychotherapy (regime/therapy),regime/therapy
27808002,Video and radio-telemetered electroencephalographic monitoring (regime/therapy),regime/therapy
28150003,Biofeedback procedure (regime/therapy),regime/therapy
28868002,Interactive group medical psychotherapy (regime/therapy),regime/therapy
29203007,Electroencephalographic biofeedback (regime/therapy),regime/therapy
30058000,Therapeutic drug monitoring assay (regime/therapy),regime/therapy
30808008,Encounter group therapy (regime/therapy),regime/therapy
30856002,Back disease and deformity rehabilitation (regime/therapy),regime/therapy
30870002,General calisthenic exercise regimen (regime/therapy),regime/therapy
31275006,Moxibustion (regime/therapy),regime/therapy
31408009,"Sexual psychotherapy, group, male and female (regime/therapy)",regime/therapy
31594000,Group marathon therapy (regime/therapy),regime/therapy
32051004,Institutional environmental intervention (regime/therapy),regime/therapy
32276005,Monitoring of cardiac output by Fick method (regime/therapy),regime/therapy
33536007,Use of tilt table (regime/therapy),regime/therapy
33661004,"Sexual psychotherapy, group, all female (regime/therapy)",regime/therapy
