"code","description"
"I01","Rheumatic fever with heart involvement"
"I010","Acute rheumatic pericarditis"
"I011","Acute rheumatic endocarditis"
"I012","Acute rheumatic myocarditis"
"I018","Other acute rheumatic heart disease"
"I019","Acute rheumatic heart disease, unspecified"
"I02","Rheumatic chorea"
"I020","Rheumatic chorea with heart involvement"
"I029","Rheumatic chorea without heart involvement"
"I05","Rheumatic mitral valve diseases"
"I050","Mitral stenosis"
"I051","Rheumatic mitral insufficiency"
"I052","Mitral stenosis with insufficiency"
"I058","Other mitral valve diseases"
"I059","Mitral valve disease, unspecified"
"I06","Rheumatic aortic valve diseases"
"I060","Rheumatic aortic stenosis"
"I061","Rheumatic aortic insufficiency"
"I062","Rheumatic aortic stenosis with insufficiency"
"I068","Other rheumatic aortic valve diseases"
"I069","Rheumatic aortic valve disease, unspecified"
"I07","Rheumatic tricuspid valve diseases"
"I070","Tricuspid stenosis"
"I071","Tricuspid insufficiency"
"I072","Tricuspid stenosis with insufficiency"
"I078","Other tricuspid valve diseases"
"I079","Tricuspid valve disease, unspecified"
"I08","Multiple valve diseases"
"I080","Disorders of both mitral and aortic valves"
"I081","Disorders of both mitral and tricuspid valves"
"I082","Disorders of both aortic and tricuspid valves"
"I083","Combined disorders of mitral, aortic and tricuspid valves"
"I088","Other multiple valve diseases"
"I089","Multiple valve disease, unspecified"
"I09","Other rheumatic heart diseases"
"I090","Rheumatic myocarditis"
"I091","Rheumatic diseases of endocardium, valve unspecified"
"I092","Chronic rheumatic pericarditis"
"I098","Other specified rheumatic heart diseases"
"I099","Rheumatic heart disease, unspecified"
"I10","Essential (primary) hypertension"
"I11","Hypertensive heart disease"
"I110","Hypertensive heart disease with (congestive) heart failure"
"I119","Hypertensive heart disease without (congestive) heart failure"
"I12","Hypertensive renal disease"
"I120","Hypertensive renal disease with renal failure"
"I129","Hypertensive renal disease without renal failure"
"I13","Hypertensive heart and renal disease"
"I130","Hypertensive heart and renal disease with (congestive) heart failure"
"I131","Hypertensive heart and renal disease with renal failure"
"I132","Hypertensive heart and renal disease with both (congestive) heart failure and renal failure"
"I139","Hypertensive heart and renal disease, unspecified"
"I15","Secondary hypertension"
"I150","Renovascular hypertension"
"I151","Hypertension secondary to other renal disorders"
"I152","Hypertension secondary to endocrine disorders"
"I158","Other secondary hypertension"
"I159","Secondary hypertension, unspecified"
"I20","Angina pectoris"
"I200","Unstable angina"
"I201","Angina pectoris with documented spasm"
"I208","Other forms of angina pectoris"
"I209","Angina pectoris, unspecified"
"I21","Acute myocardial infarction"
"I210","Acute transmural myocardial infarction of anterior wall"
"I211","Acute transmural myocardial infarction of inferior wall"
"I212","Acute transmural myocardial infarction of other sites"
"I213","Acute transmural myocardial infarction of unspecified site"
"I214","Acute subendocardial myocardial infarction"
"I219","Acute myocardial infarction, unspecified"
"I22","Subsequent myocardial infarction"
"I220","Subsequent myocardial infarction of anterior wall"
"I221","Subsequent myocardial infarction of inferior wall"
"I228","Subsequent myocardial infarction of other sites"
"I229","Subsequent myocardial infarction of unspecified site"
"I23","Certain current complications following acute myocardial infarction"
"I230","Haemopericardium as current complication following acute myocardial infarction"
"I231","Atrial septal defect as current complication following acute myocardial infarction"
"I232","Ventricular septal defect as current complication following acute myocardial infarction"
"I233","Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction"
"I234","Rupture of chordae tendineae as current complication following acute myocardial infarction"
"I235","Rupture of papillary muscle as current complication following acute myocardial infarction"
"I236","Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction"
"I238","Other current complications following acute myocardial infarction"
"I24","Other acute ischaemic heart diseases"
"I240","Coronary thrombosis not resulting in myocardial infarction"
"I241","Dressler syndrome"
"I248","Other forms of acute ischaemic heart disease"
"I249","Acute ischaemic heart disease, unspecified"
"I25","Chronic ischaemic heart disease"
"I250","Atherosclerotic cardiovascular disease, so described"
"I251","Atherosclerotic heart disease"
"I252","Old myocardial infarction"
"I253","Aneurysm of heart"
"I254","Coronary artery aneurysm and dissection"
"I255","Ischaemic cardiomyopathy"
"I256","Silent myocardial ischaemia"
"I258","Other forms of chronic ischaemic heart disease"
"I259","Chronic ischaemic heart disease, unspecified"
"I26","Pulmonary embolism"
"I269","Pulmonary embolism without mention of acute cor pulmonale"
"I270","Primary pulmonary hypertension"
"I271","Kyphoscoliotic heart disease"
"I272","Other secondary pulmonary hypertension"
"I279","Pulmonary heart disease, unspecified"
"I280","Arteriovenous fistula of pulmonary vessels"
"I281","Aneurysm of pulmonary artery"
"I288","Other specified diseases of pulmonary vessels"
"I289","Disease of pulmonary vessels, unspecified"
"I31","Other diseases of pericardium"
"I310","Chronic adhesive pericarditis"
"I311","Chronic constrictive pericarditis"
"I312","Haemopericardium, not elsewhere classified"
"I313","Pericardial effusion (noninflammatory)"
"I318","Other specified diseases of pericardium"
"I319","Disease of pericardium, unspecified"
"I328","Pericarditis in other diseases classified elsewhere"
"I34","Nonrheumatic mitral valve disorders"
"I340","Mitral (valve) insufficiency"
"I341","Mitral (valve) prolapse"
"I342","Nonrheumatic mitral (valve) stenosis"
"I348","Other nonrheumatic mitral valve disorders"
"I349","Nonrheumatic mitral valve disorder, unspecified"
"I35","Nonrheumatic aortic valve disorders"
"I350","Aortic (valve) stenosis"
"I351","Aortic (valve) insufficiency"
"I352","Aortic (valve) stenosis with insufficiency"
"I358","Other aortic valve disorders"
"I359","Aortic valve disorder, unspecified"
"I36","Nonrheumatic tricuspid valve disorders"
"I360","Nonrheumatic tricuspid (valve) stenosis"
"I361","Nonrheumatic tricuspid (valve) insufficiency"
"I362","Nonrheumatic tricuspid (valve) stenosis with insufficiency"
"I368","Other nonrheumatic tricuspid valve disorders"
