"code","description"
"Q601","Renal agenesis, bilateral"
"Q602","Renal agenesis, unspecified"
"Q604","Renal hypoplasia, bilateral"
"Q605","Renal hypoplasia, unspecified"
"Q606","Potter syndrome"
"Q611","Polycystic kidney, autosomal recessive"
"Q612","Polycystic kidney, autosomal dominant"
"Q613","Polycystic kidney, unspecified"
"Q615","Medullary cystic kidney"
"Q618","Other cystic kidney diseases"
"Q620","Congenital hydronephrosis"
"Q621","Atresia and stenosis of ureter"
"Q622","Congenital megaloureter"
"Q623","Other obstructive defects of renal pelvis and ureter"
"Q624","Agenesis of ureter"
"Q625","Duplication of ureter"
"Q626","Malposition of ureter"
"Q628","Other congenital malformations of ureter"
"Q630","Accessory kidney"
"Q631","Lobulated, fused and horseshoe kidney"
"Q632","Ectopic kidney"
"Q638","Other specified congenital malformations of kidney"
"Q639","Congenital malformation of kidney, unspecified"
"Q64","Other congenital malformations of urinary system"
"Q640","Epispadias"
"Q641","Exstrophy of urinary bladder"
"Q642","Congenital posterior urethral valves"
"Q643","Other atresia and stenosis of urethra and bladder neck"
"Q644","Malformation of urachus"
"Q645","Congenital absence of bladder and urethra"
"Q646","Congenital diverticulum of bladder"
"Q647","Other congenital malformations of bladder and urethra"
"Q648","Other specified congenital malformations of urinary system"
"Q649","Congenital malformation of urinary system, unspecified"
