"code","description"
"Q20","Congenital malformations of cardiac chambers and connections"
"Q201","Double outlet right ventricle"
"Q202","Double outlet left ventricle"
"Q203","Discordant ventriculoarterial connection"
"Q204","Double inlet ventricle"
"Q205","Discordant atrioventricular connection"
"Q206","Isomerism of atrial appendages"
"Q208","Other congenital malformations of cardiac chambers and connections"
"Q209","Congenital malformation of cardiac chambers and connections, unspecified"
"Q21","Congenital malformations of cardiac septa"
"Q210","Ventricular septal defect"
"Q211","Atrial septal defect"
"Q212","Atrioventricular septal defect"
"Q213","Tetralogy of Fallot"
"Q214","Aortopulmonary septal defect"
"Q218","Other congenital malformations of cardiac septa"
"Q219","Congenital malformation of cardiac septum, unspecified"
"Q22","Congenital malformations of pulmonary and tricuspid valves"
"Q220","Pulmonary valve atresia"
"Q221","Congenital pulmonary valve stenosis"
"Q222","Congenital pulmonary valve insufficiency"
"Q223","Other congenital malformations of pulmonary valve"
"Q224","Congenital tricuspid stenosis"
"Q225","Ebstein anomaly"
"Q226","Hypoplastic right heart syndrome"
"Q228","Other congenital malformations of tricuspid valve"
"Q229","Congenital malformation of tricuspid valve, unspecified"
"Q23","Congenital malformations of aortic and mitral valves"
"Q230","Congenital stenosis of aortic valve"
"Q231","Congenital insufficiency of aortic valve"
"Q233","Congenital mitral insufficiency"
"Q234","Hypoplastic left heart syndrome"
"Q238","Other congenital malformations of aortic and mitral valves"
"Q239","Congenital malformation of aortic and mitral valves, unspecified"
"Q24","Other congenital malformations of heart"
"Q240","Dextrocardia"
"Q241","Laevocardia"
"Q242","Cor triatriatum"
"Q243","Pulmonary infundibular stenosis"
"Q244","Congenital subaortic stenosis"
"Q245","Malformation of coronary vessels"
"Q246","Congenital heart block"
"Q248","Other specified congenital malformations of heart"
"Q249","Congenital malformation of heart, unspecified"
"Q25","Congenital malformations of great arteries"
"Q250","Patent ductus arteriosus"
"Q251","Coarctation of aorta"
"Q252","Atresia of aorta"
"Q253","Stenosis of aorta"
"Q254","Other congenital malformations of aorta"
"Q255","Atresia of pulmonary artery"
"Q256","Stenosis of pulmonary artery"
"Q257","Other congenital malformations of pulmonary artery"
"Q258","Other congenital malformations of great arteries"
"Q259","Congenital malformation of great arteries, unspecified"
"Q26","Congenital malformations of great veins"
"Q260","Congenital stenosis of vena cava"
"Q261","Persistent left superior vena cava"
"Q262","Total anomalous pulmonary venous connection"
"Q263","Partial anomalous pulmonary venous connection"
"Q264","Anomalous pulmonary venous connection, unspecified"
"Q265","Anomalous portal venous connection"
"Q266","Portal vein-hepatic artery fistula"
"Q268","Other congenital malformations of great veins"
"Q269","Congenital malformation of great vein, unspecified"
