"conceptId","term","read2_code","read2_term","read2_chapter"
"292003","Electroencephalogram finding (finding)","31C..00","EEG observations","3 - Diagnostic procedures"
"991002","Wide QRS complex (finding)","32J3.00","ECG: QRS complex prolonged","3 - Diagnostic procedures"
"1759002","Assessment of nutritional status (procedure)","385Z.00","Physical/nutrit. assess NOS","3 - Diagnostic procedures"
"1759002","Assessment of nutritional status (procedure)","385..00","Physical/nutrit. assessment","3 - Diagnostic procedures"
"1999007","Psychologic test (procedure)","383..00","Psychological testing","3 - Diagnostic procedures"
"1999007","Psychologic test (procedure)","383Z.00","Psychological testing NOS","3 - Diagnostic procedures"
"3030002","ST segment (observable entity)","32EZ.00","ECG: S-T interval NOS","3 - Diagnostic procedures"
"5349006","Weber's test, central (finding)","313S.00","Weber's test, central","3 - Diagnostic procedures"
"7928001","Body oxygen consumption (observable entity)","33E6.00","Body oxygen consumption","3 - Diagnostic procedures"
"8273004","Intelligence quotient high (finding)","3836.00","Intelligence quotient high","3 - Diagnostic procedures"
"13621006","Tidal volume (observable entity)","3385.00","Lung tidal volume","3 - Diagnostic procedures"
"14769009","Tilt test (procedure)","3155.00","Tilt table test","3 - Diagnostic procedures"
"16490003","Anorectal continence, function (observable entity)","393..11","Bowels - continence","3 - Diagnostic procedures"
"16830007","Visual acuity testing (procedure)","312K.00","Visual acuity testing","3 - Diagnostic procedures"
"18491006","Peak expiratory flow rate (observable entity)","3395.00","Peak exp. flow rate: PEFR/PFR","3 - Diagnostic procedures"
"18491006","Peak expiratory flow rate (observable entity)","3395.11","PEFR - peak exp. flow rate","3 - Diagnostic procedures"
"20067007","Ocular fundus photography (procedure)","3129.00","Eye fundus photography","3 - Diagnostic procedures"
"23426006","Measurement of respiratory function (procedure)","337..12","Pulmonary function tests","3 - Diagnostic procedures"
"23426006","Measurement of respiratory function (procedure)","337Z.00","Lung function test NOS","3 - Diagnostic procedures"
"23426006","Measurement of respiratory function (procedure)","337..11","Lung function tests","3 - Diagnostic procedures"
"23426006","Measurement of respiratory function (procedure)","337..00","Lung function testing","3 - Diagnostic procedures"
"24029004","Bowels: fully continent (finding)","3932.00","Bowels: fully continent","3 - Diagnostic procedures"
"24607002","Q wave feature (observable entity)","32BZ.00","ECG: Q wave NOS","3 - Diagnostic procedures"
"24607002","Q wave feature (observable entity)","32B..00","ECG: Q wave","3 - Diagnostic procedures"
"26141007","ST segment depression (finding)","32E4.00","ECG: S-T depression","3 - Diagnostic procedures"
"27472009","Weber's test, lateralized left (finding)","313V.00","Weber's test, lateralized left","3 - Diagnostic procedures"
"28163009","Skin test for tuberculosis, Tine test (procedure)","33F..00","Tine test","3 - Diagnostic procedures"
"28630001","Narrow QRS complex (finding)","32J4.00","ECG: QRS complex shortened","3 - Diagnostic procedures"
"29303009","Electrocardiographic procedure (procedure)","321..00","ECG - general","3 - Diagnostic procedures"
"31732001","Weber's test, lateralized right (finding)","313T.00","Weber's test, lateralized right","3 - Diagnostic procedures"
"32921008","Audiogram (procedure)","313B.00","Audiogram","3 - Diagnostic procedures"
"33405001","P wave feature (observable entity)","32AZ.00","ECG: P wave NOS","3 - Diagnostic procedures"
"33405001","P wave feature (observable entity)","32A..00","ECG: P wave","3 - Diagnostic procedures"
"34043003","Dental consultation and report (procedure)","3165.00","Dental examination","3 - Diagnostic procedures"
"34118006","Motor testing (procedure)","33DZ.00","Skeletal function test NOS","3 - Diagnostic procedures"
"34118006","Motor testing (procedure)","31AZ.00","Musculo-skeletal test NOS","3 - Diagnostic procedures"
"35877002","S wave feature (observable entity)","32D..00","ECG: S wave","3 - Diagnostic procedures"
"35877002","S wave feature (observable entity)","32DZ.00","ECG: S wave NOS","3 - Diagnostic procedures"
"37476000","Jugular venous pressure (observable entity)","3158000","Jugular venous pressure","3 - Diagnostic procedures"
"39438000","U wave feature (observable entity)","32G..00","ECG: U wave","3 - Diagnostic procedures"
"39438000","U wave feature (observable entity)","32GZ.00","ECG: U wave NOS","3 - Diagnostic procedures"
"39732003","Left axis deviation (finding)","32J5.00","Left axis deviation","3 - Diagnostic procedures"
"41011002","T wave feature (observable entity)","32FZ.00","ECG: T wave NOS","3 - Diagnostic procedures"
"41011002","T wave feature (observable entity)","32F..00","ECG: T wave","3 - Diagnostic procedures"
"41778007","Patch test (procedure)","335..12","Patch skin test","3 - Diagnostic procedures"
"42457008","Residual respiratory volume (observable entity)","3387.00","Lung residual volume","3 - Diagnostic procedures"
"42987007","Vestibular function test (procedure)","313..12","Vestibular testing","3 - Diagnostic procedures"
"44856007","Uroflowmetry (procedure)","3177.00","Uroflowmetry","3 - Diagnostic procedures"
"46136006","Electrocardiogram with exercise test (procedure)","3213.00","Exercise ECG","3 - Diagnostic procedures"
"46825001","Electrocardiographic monitoring (procedure)","321Z.00","ECG - general - NOS","3 - Diagnostic procedures"
"46825001","Electrocardiographic monitoring (procedure)","32Z..00","Electrocardiography NOS","3 - Diagnostic procedures"
"46825001","Electrocardiographic monitoring (procedure)","32...13","EKG","3 - Diagnostic procedures"
"46825001","Electrocardiographic monitoring (procedure)","32...12","ECG","3 - Diagnostic procedures"
"46825001","Electrocardiographic monitoring (procedure)","32...11","Cardiography - ECG","3 - Diagnostic procedures"
"46825001","Electrocardiographic monitoring (procedure)","32...00","Electrocardiography","3 - Diagnostic procedures"
"47665007","Right axis deviation (finding)","32J6.00","Right axis deviation","3 - Diagnostic procedures"
"49578007","Shortened PR interval (finding)","32I4.00","ECG: P-R interval shortened","3 - Diagnostic procedures"
"50387000","Skin fluorescence test by Wood's light (procedure)","31B3.00","Woods light test","3 - Diagnostic procedures"
"50834005","Forced vital capacity (observable entity)","3396.00","Forced vital capacity - FVC","3 - Diagnostic procedures"
"51110005","Nerve conduction study (procedure)","3117.00","Nerve conduction testing","3 - Diagnostic procedures"
"51746009","Normal behavior (finding)","3AB0.00","Normal behaviour","3 - Diagnostic procedures"
"53524009","Ophthalmoscopy (procedure)","3128Z00","Fundoscopy NOS","3 - Diagnostic procedures"
"53524009","Ophthalmoscopy (procedure)","3128.00","Fundoscopy","3 - Diagnostic procedures"
"54550000","Electroencephalogram (procedure)","3119.00","Electroencephalogram","3 - Diagnostic procedures"
"54654001","Measurement of central venous pressure (procedure)","3158.00","CVP measurement","3 - Diagnostic procedures"
"54715006","Diffusion capacity of lung, function (observable entity)","3378.00","Diffusion capacity of lung","3 - Diagnostic procedures"
"55468007","Ocular slit lamp examination (procedure)","312A.00","Slit lamp examination","3 - Diagnostic procedures"
"55574009","Cardiac function testing (procedure)","33B..00","Cardiac function tests","3 - Diagnostic procedures"
"55574009","Cardiac function testing (procedure)","33BZ.00","Cardiac function tests NOS","3 - Diagnostic procedures"
"57566009","Total lung capacity (observable entity)","3388.00","Lung total capacity","3 - Diagnostic procedures"
"59328004","Forced expired volume in 1 second (observable entity)","339O.00","Forced expired volume in 1 second","3 - Diagnostic procedures"
"59931005","Inverted T wave (finding)","32F4.00","ECG: T wave inverted","3 - Diagnostic procedures"
"61436009","Psychoanalysis (procedure)","384..11","Psychoanalysis","3 - Diagnostic procedures"
"61436009","Psychoanalysis (procedure)","3841.00","Psychoanalysis","3 - Diagnostic procedures"
"62123003","Delayed hypersensitivity skin test for histoplasmin (procedure)","334..11","Histoplasma skin test","3 - Diagnostic procedures"
"62123003","Delayed hypersensitivity skin test for histoplasmin (procedure)","334Z.00","Histoplasmosis test NOS","3 - Diagnostic procedures"
"62123003","Delayed hypersensitivity skin test for histoplasmin (procedure)","334..00","Histoplasmosis testing","3 - Diagnostic procedures"
"65913002","Cardiac shunt detection (procedure)","33B8.00","Detection of cardiac shunt","3 - Diagnostic procedures"
"66608006","Caloric vestibular test (procedure)","313E.00","Caloric test","3 - Diagnostic procedures"
"66812002","Flattened T wave (finding)","32F3.00","ECG: T wave flattened","3 - Diagnostic procedures"
"72042002","Incontinence of feces (finding)","3930.00","Bowels: incontinent","3 - Diagnostic procedures"
"72657008","Intelligence test (procedure)","3837.00","Intelligence test","3 - Diagnostic procedures"
"74303009","Personality assessment (procedure)","3832.00","Personality assessment","3 - Diagnostic procedures"
"74427007","Respiratory quotient (observable entity)","33E7.00","Respiratory quotient","3 - Diagnostic procedures"
"76949005","Gonioscopy (procedure)","3127.00","Gonioscopy","3 - Diagnostic procedures"
"77867006","Shortened QT interval (finding)","32K4.00","ECG: Q-T interval shortened","3 - Diagnostic procedures"
"81184002","R wave feature (observable entity)","32CZ.00","ECG: R wave NOS","3 - Diagnostic procedures"
"81184002","R wave feature (observable entity)","32C..00","ECG: R wave","3 - Diagnostic procedures"
"81435004","QT interval feature (observable entity)","32KZ.00","ECG: Q-T interval NOS","3 - Diagnostic procedures"
"81435004","QT interval feature (observable entity)","32K..00","ECG: Q-T interval","3 - Diagnostic procedures"
"82799009","Cardiac output (observable entity)","33B6.00","Cardiac output","3 - Diagnostic procedures"
"85558005","Skin test for leprosy (procedure)","3316.11","Leprosy susc. skin test","3 - Diagnostic procedures"
"85558005","Skin test for leprosy (procedure)","3316.00","Skin test leprosy","3 - Diagnostic procedures"
"87727006","Infertility study (procedure)","3189.00","Infertility investigations NOS","3 - Diagnostic procedures"
"90246009","Probing of nasolacrimal duct (procedure)","3712.00","Naso-lacrimal duct probing","3 - Diagnostic procedures"
"90246009","Probing of nasolacrimal duct (procedure)","3712.11","Nasolacrimal duct probe - diag","3 - Diagnostic procedures"
"91573000","Tympanometry testing (procedure)","3136.00","Impedance audiometry","3 - Diagnostic procedures"
"102491009","Immobile (finding)","3980.00","Immobile","3 - Diagnostic procedures"
"102594003","Electrocardiogram abnormal (finding)","3217.00","ECG abnormal","3 - Diagnostic procedures"
"103693007","Diagnostic procedure (procedure)","381Z.00","Procedure aiding diagnosis NOS","3 - Diagnostic procedures"
"103693007","Diagnostic procedure (procedure)","3....00","Diagnostic procedures","3 - Diagnostic procedures"
"103693007","Diagnostic procedure (procedure)","3Z...00","Diagnostic procedure NOS","3 - Diagnostic procedures"
"103741002","Optical transillumination (procedure)","3812.00","Transillumination","3 - Diagnostic procedures"
"103741002","Optical transillumination (procedure)","3812.11","Transillumination-diag.","3 - Diagnostic procedures"
"103752008","Perimetry (procedure)","3125.00","Perimetry","3 - Diagnostic procedures"
"105408001","Spiritual assessment (procedure)","389P.00","Spiritual assessment","3 - Diagnostic procedures"
"108249004","Audiologic AND/OR audiometric test including vestibular function (procedure)","313Z.00","Auditory/vestibular test NOS","3 - Diagnostic procedures"
"111975006","Prolonged QT interval (finding)","32K3.00","ECG: Q-T interval prolonged","3 - Diagnostic procedures"
"113024001","Assessment and interpretation of higher cerebral function, cognitive testing (procedure)","311B.00","Cognitive assessment","3 - Diagnostic procedures"
"122438005","Cervical mucus analysis (procedure)","3185.00","Cervical mucous test","3 - Diagnostic procedures"
"129035000","Independent with dressing (finding)","3952.00","Independent with dressing","3 - Diagnostic procedures"
"129039006","Needs help with dressing (finding)","3951.00","Needs help with dressing","3 - Diagnostic procedures"
"129041007","Independent bathing (finding)","39A0.00","Independent bathing","3 - Diagnostic procedures"
"129043005","Dependent for bathing (finding)","39A1.00","Dependent for bathing","3 - Diagnostic procedures"
"129045003","Needs help in toilet (finding)","3971.00","Needs help in toilet","3 - Diagnostic procedures"
"129062008","Independent in toilet (finding)","3972.00","Independent in toilet","3 - Diagnostic procedures"
"129065005","Dependent for dressing (finding)","3950.00","Dependent for dressing","3 - Diagnostic procedures"
"129072006","Housework independent (finding)","39K..00","Independent in housework","3 - Diagnostic procedures"
"129078005","Dependent in toilet (finding)","3970.00","Dependent in toilet","3 - Diagnostic procedures"
"134374006","Hearing test bilateral abnormality (finding)","3134400","Hearing test bilateral abnormality","3 - Diagnostic procedures"
"134375007","Hearing test left abnormality (finding)","3134500","Hearing test left abnormality","3 - Diagnostic procedures"
"134376008","Hearing test right abnormality (finding)","3134600","Hearing test right abnormality","3 - Diagnostic procedures"
"134388005","Monofilament foot sensation test (procedure)","311A.00","Monofilament foot sensation test","3 - Diagnostic procedures"
"134432000","Recorded/predicted peak expiratory flow rate ratio (observable entity)","339V.00","Recorded/predicted peak expiratory flow rate ratio","3 - Diagnostic procedures"
"134438001","Canadian Cardiovascular Society classification of angina (assessment scale)","388E.00","Canadian Cardiovascular Society classification of angina","3 - Diagnostic procedures"
"135831005","Cardiovascular Limitations and Symptoms Profile angina score (assessment scale)","388F.00","Cardiovascular Limitations and Symptoms Profile angina score","3 - Diagnostic procedures"
"135832003","Cardiovascular Limitations and Symptoms Profile ankle swelling score (assessment scale)","388G.00","Cardiovascular Limitations and Symptoms Profile ankle swelling score","3 - Diagnostic procedures"
"135833008","Cardiovascular Limitations and Symptoms Profile shortness of breath score (assessment scale)","388H.00","Cardiovascular Limitations and Symptoms Profile shortness of breath score","3 - Diagnostic procedures"
"135844000","Assessment of needs of caregiver completed (situation)","3892.00","Assessment of needs of carer completed","3 - Diagnostic procedures"
"135877001","Stroke risk (assessment scale)","388I.00","Stroke risk","3 - Diagnostic procedures"
"141988003","Prostatic hypertrophy risk score (observable entity)","3196.00","Prostatic hypertrophy risk score","3 - Diagnostic procedures"
"142016009","Electrocardiogram improved compared to prior study (finding)","3218.00","ECG - improved","3 - Diagnostic procedures"
"142018005","Electrocardiogram unchanged compared to prior study (finding)","321A.00","ECG - no new changes","3 - Diagnostic procedures"
"164711004","Special diagnostic procedures (procedure)","31...00","Special diagnostic procedures","3 - Diagnostic procedures"
"164711004","Special diagnostic procedures (procedure)","31Z..00","Special diagnostic test NOS","3 - Diagnostic procedures"
"164713001","Neurological diagnostic procedure - not done (situation)","3111.00","Neurol.diag.proced.- not done","3 - Diagnostic procedures"
"164715008","Neurological diagnostic procedure - done (situation)","3112.00","Neurol.diag.proced. - done","3 - Diagnostic procedures"
"164716009","Neurological diagnostic procedure - normal (finding)","3113.00","Neurol.diag.proced. - normal","3 - Diagnostic procedures"
"164717000","Electroencephalogram normal (finding)","3113000","EEG normal","3 - Diagnostic procedures"
