"code","description"
"Q51","Congenital malformations of uterus and cervix"
"Q510","Agenesis and aplasia of uterus"
"Q515","Agenesis and aplasia of cervix"
"Q516","Embryonic cyst of cervix"
"Q517","Congenital fistulae between uterus and digestive and urinary tracts"
"Q518","Other congenital malformations of uterus and cervix"
"Q519","Congenital malformation of uterus and cervix, unspecified"
"Q520","Congenital absence of vagina"
"Q521","Doubling of vagina"
"Q522","Congenital rectovaginal fistula"
"Q524","Other congenital malformations of vagina"
"Q540","Hypospadias, balanic"
"Q541","Hypospadias, penile"
"Q542","Hypospadias, penoscrotal"
"Q543","Hypospadias, perineal"
"Q548","Other hypospadias"
"Q549","Hypospadias, unspecified"
"Q550","Absence and aplasia of testis"
"Q555","Congenital absence and aplasia of penis"
"Q56","Indeterminate sex and pseudohermaphroditism"
"Q560","Hermaphroditism, not elsewhere classified"
"Q561","Male pseudohermaphroditism, not elsewhere classified"
"Q562","Female pseudohermaphroditism, not elsewhere classified"
"Q563","Pseudohermaphroditism, unspecified"
"Q564","Indeterminate sex, unspecified"
