"code","description"
"C00","Malignant neoplasm of lip"
"C000","External upper lip"
"C001","External lower lip"
"C002","External lip, unspecified"
"C003","Upper lip, inner aspect"
"C004","Lower lip, inner aspect"
"C005","Lip, unspecified, inner aspect"
"C006","Commissure of lip"
"C008","Overlapping lesion of lip"
"C009","Lip, unspecified"
"C01","Malignant neoplasm of base of tongue"
"C02","Malignant neoplasm of other and unspecified parts of tongue"
"C020","Dorsal surface of tongue"
"C021","Border of tongue"
"C022","Ventral surface of tongue"
"C023","Anterior two-thirds of tongue, part unspecified"
"C024","Lingual tonsil"
"C028","Overlapping lesion of tongue"
"C029","Tongue, unspecified"
"C03","Malignant neoplasm of gum"
"C030","Upper gum"
"C031","Lower gum"
"C039","Gum, unspecified"
"C04","Malignant neoplasm of floor of mouth"
"C040","Anterior floor of mouth"
"C041","Lateral floor of mouth"
"C048","Overlapping lesion of floor of mouth"
"C049","Floor of mouth, unspecified"
"C05","Malignant neoplasm of palate"
"C050","Hard palate"
"C051","Soft palate"
"C052","Uvula"
"C058","Overlapping lesion of palate"
"C059","Palate, unspecified"
"C06","Malignant neoplasm of other and unspecified parts of mouth"
"C060","Cheek mucosa"
"C061","Vestibule of mouth"
"C062","Retromolar area"
"C068","Overlapping lesion of other and unspecified parts of mouth"
"C069","Mouth, unspecified"
"C07","Malignant neoplasm of parotid gland"
"C08","Malignant neoplasm of other and unspecified major salivary glands"
"C080","Submandibular gland"
"C081","Sublingual gland"
"C088","Overlapping lesion of major salivary glands"
"C089","Major salivary gland, unspecified"
"C09","Malignant neoplasm of tonsil"
"C090","Tonsillar fossa"
"C091","Tonsillar pillar (anterior)(posterior)"
"C098","Overlapping lesion of tonsil"
"C099","Tonsil, unspecified"
"C10","Malignant neoplasm of oropharynx"
"C100","Vallecula"
"C101","Anterior surface of epiglottis"
"C102","Lateral wall of oropharynx"
"C103","Posterior wall of oropharynx"
"C104","Branchial cleft"
"C108","Overlapping lesion of oropharynx"
"C109","Oropharynx, unspecified"
"C11","Malignant neoplasm of nasopharynx"
"C110","Superior wall of nasopharynx"
"C111","Posterior wall of nasopharynx"
"C112","Lateral wall of nasopharynx"
"C113","Anterior wall of nasopharynx"
"C118","Overlapping lesion of nasopharynx"
"C119","Nasopharynx, unspecified"
"C12","Malignant neoplasm of piriform sinus"
"C13","Malignant neoplasm of hypopharynx"
"C130","Postcricoid region"
"C131","Aryepiglottic fold, hypopharyngeal aspect"
"C132","Posterior wall of hypopharynx"
"C138","Overlapping lesion of hypopharynx"
"C139","Hypopharynx, unspecified"
"C14","Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx"
"C140","Pharynx, unspecified"
"C142","Waldeyer ring"
"C148","Overlapping lesion of lip, oral cavity and pharynx"
"C15","Malignant neoplasm of oesophagus"
"C150","Cervical part of oesophagus"
"C151","Thoracic part of oesophagus"
"C152","Abdominal part of oesophagus"
"C153","Upper third of oesophagus"
"C154","Middle third of oesophagus"
"C155","Lower third of oesophagus"
"C158","Overlapping lesion of oesophagus"
"C159","Oesophagus, unspecified"
"C16","Malignant neoplasm of stomach"
"C160","Cardia"
"C161","Fundus of stomach"
"C162","Body of stomach"
"C163","Pyloric antrum"
"C164","Pylorus"
"C165","Lesser curvature of stomach, unspecified"
"C166","Greater curvature of stomach, unspecified"
"C168","Overlapping lesion of stomach"
"C169","Stomach, unspecified"
"C17","Malignant neoplasm of small intestine"
"C170","Duodenum"
"C171","Jejunum"
"C172","Ileum"
"C173","Meckel diverticulum"
"C178","Overlapping lesion of small intestine"
"C179","Small intestine, unspecified"
"C18","Malignant neoplasm of colon"
"C180","Caecum"
"C181","Appendix"
"C182","Ascending colon"
"C183","Hepatic flexure"
"C184","Transverse colon"
"C185","Splenic flexure"
"C186","Descending colon"
"C187","Sigmoid colon"
"C188","Overlapping lesion of colon"
"C189","Colon, unspecified"
"C19","Malignant neoplasm of rectosigmoid junction"
"C20","Malignant neoplasm of rectum"
"C21","Malignant neoplasm of anus and anal canal"
"C210","Anus, unspecified"
"C211","Anal canal"
"C212","Cloacogenic zone"
"C218","Overlapping lesion of rectum, anus and anal canal"
"C22","Malignant neoplasm of liver and intrahepatic bile ducts"
"C220","Liver cell carcinoma"
"C221","Intrahepatic bile duct carcinoma"
"C222","Hepatoblastoma"
"C223","Angiosarcoma of liver"
"C224","Other sarcomas of liver"
"C227","Other specified carcinomas of liver"
"C229","Liver, unspecified"
"C23","Malignant neoplasm of gallbladder"
"C24","Malignant neoplasm of other and unspecified parts of biliary tract"
"C240","Extrahepatic bile duct"
"C241","Ampulla of Vater"
