"code","description"
"86555001","Cystic fibrosis of the lung (disorder)"
"86092005","Cystic fibrosis with meconium ileus (disorder)"
"445090007","Fibrosing colonopathy (disorder)"
"707578009","Perforation of intestine due to cystic fibrosis with meconium ileus (disorder)"
"817966005","Distal intestinal obstruction syndrome due to cystic fibrosis (disorder)"
"206471004","Perinatal jaundice due to mucoviscidosis (disorder)"
"426705001","Diabetes mellitus co-occurrent and due to cystic fibrosis (disorder)"
"427022004","Liver disease due to cystic fibrosis (disorder)"
"698940002","Arthropathy associated with cystic fibrosis (disorder)"
"707418001","Male infertility due to cystic fibrosis (disorder)"
"707419009","Osteoporosis due to cystic fibrosis (disorder)"
"707420003","Portal hypertension due to cystic fibrosis (disorder)"
"707450006","Pancreatic insufficiency due to cystic fibrosis of pancreas (disorder)"
"707536003","Digestive system manifestation co-occurrent and due to cystic fibrosis (disorder)"
"707542004","Otorhinolaryngological manifestation co-occurrent and due to cystic fibrosis (disorder)"
"707577004","Female infertility due to cystic fibrosis (disorder)"
"707766007","Exocrine pancreatic manifestation co-occurrent and due to cystic fibrosis (disorder)"
"721197001","Polyneuropathy due to classical cystic fibrosis (disorder)"
"81423003","Cystic fibrosis without meconium ileus (disorder)"
"190905008","Cystic fibrosis (disorder)"
"235978006","Cystic fibrosis of pancreas (disorder)"
"427089005","Diabetes mellitus due to cystic fibrosis (disorder)"
"716088000","Follicular hamartoma with alopecia and cystic fibrosis syndrome (disorder)"
"720401009","Cystic fibrosis with gastritis and megaloblastic anemia syndrome (disorder)"
"725052002","Fetal cystic fibrosis (disorder)"
"762269004","Classical cystic fibrosis (disorder)"
"762270003","Atypical cystic fibrosis (disorder)"
"762271004","Subclinical cystic fibrosis (disorder)"
