"code","description"
"7573000","Classical phenylketonuria (disorder)"
"12957008","Disorder of phenylalanine metabolism (disorder)"
"4887000","Hypertyrosinemia, Richner-Hanhart type (disorder)"
"27373000","Fumarylacetoacetase deficiency, acute type (disorder)"
"37200009","Disorder of tyrosine metabolism (disorder)"
"39838007","Ochronotic arthritis (disorder)"
"40751003","Persistent hyperphenylalaninemia AND tyrosinemia (disorder)"
"52452006","Fumarylacetoacetase deficiency, chronic type (disorder)"
"56595005","Hypertyrosinemia (disorder)"
"57414003","Tyrosinosis (disorder)"
"123967008","Tyrosinuria (disorder)"
"124287008","Deficiency of tyrosine aminotransferase (disorder)"
"190694001","Tyrosinemia (disorder)"
"237921002","Disorder of catecholamine synthesis (disorder)"
"271847005","Hereditary hypertyrosinemia (disorder)"
"360378009","Homogentisate 1,2-dioxygenase deficiency (disorder)"
"360410009","Hepatic tyrosine aminotransferase deficiency (disorder)"
"410056006","Tyrosinemia type I (disorder)"
"413356003","4-Hydroxyphenylpyruvate dioxygenase deficiency (disorder)"
"415764005","Tyrosinemia type III (disorder)"
"6479008","Partial albinism (disorder)"
"6483008","Tyrosinase-negative oculocutaneous albinism (disorder)"
"9311003","Hermansky-Pudlak syndrome (disorder)"
"10170007","Black locks, oculocutaneous albinism, AND deafness of the sensorineural type (disorder)"
"11160000","Brown oculocutaneous albinism (disorder)"
"15890002","Albinism (disorder)"
"17827007","Cross syndrome (disorder)"
"26336006","Tyrosinase-positive oculocutaneous albinism (disorder)"
"26399002","Ocular albinism (disorder)"
"37548006","Hypopigmentation-immunodeficiency disease (disorder)"
"62144003","Punctate oculocutaneous albinoidism (disorder)"
"63450009","Rufous albinism (disorder)"
"63844009","Oculocutaneous albinism (disorder)"
"74320008","Woolf's syndrome (disorder)"
"78642008","Ocular albinism, type I (disorder)"
"78921008","Autosomal recessive ocular albinism (disorder)"
"82342003","Yellow mutant oculocutaneous albinism (disorder)"
"111396008","Chédiak-Higashi syndrome (disorder)"
"237919007","Minimal pigment oculocutaneous albinism (disorder)"
"237920001","Temperature-sensitive oculocutaneous albinism (disorder)"
"265569002","Aland eye disease and ocular albinism (disorder)"
"403805009","Albinism-deafness syndrome of Tietz (disorder)"
"403806005","Ziprkowski-Margolis syndrome (disorder)"
"707434003","Pulmonary fibrosis due to Hermansky-Pudlak syndrome (disorder)"
"709465004","Periodontitis co-occurrent with Chédiak-Higashi syndrome (disorder)"
"715632003","Oculocutaneous albinism type 4 (disorder)"
"719377004","Microcephalus with albinism and digital anomaly syndrome (disorder)"
"720520009","Attenuated Chédiak-Higashi syndrome (disorder)"
"722054007","Ocular albinism with late-onset sensorineural deafness (disorder)"
