"code","description"
"T86","Failure and rejection of transplanted organs and tissues"
"T860","Bone-marrow transplant rejection"
"T861","Kidney transplant failure and rejection"
"T862","Heart transplant failure and rejection"
"T863","Heart-lung transplant failure and rejection"
"T864","Liver transplant failure and rejection"
"T868","Failure and rejection of other transplanted organs and tissues"
"T869","Failure and rejection of unspecified transplanted organ and tissue"
"Z94","Transplanted organ and tissue status"
"Z940","Kidney transplant status"
"Z941","Heart transplant status"
"Z942","Lung transplant status"
"Z943","Heart and lungs transplant status"
"Z944","Liver transplant status"
"Z945","Skin transplant status"
"Z946","Bone transplant status"
"Z947","Corneal transplant status"
"Z948","Other transplanted organ and tissue status"
"Z949","Transplanted organ and tissue status, unspecified"
