"code","description"
"D800","Hereditary hypogammaglobulinaemia"
"D801","Nonfamilial hypogammaglobulinaemia"
"D802","Selective deficiency of immunoglobulin A [IgA]"
"D803","Selective deficiency of immunoglobulin G [IgG] subclasses"
"D804","Selective deficiency of immunoglobulin M [IgM]"
"D805","Immunodeficiency with increased immunoglobulin M"
"D808","Other immunodeficiencies with predominantly antibody defects"
"D809","Immunodeficiency with predominantly antibody defects, unspecified"
"D81","Combined immunodeficiencies"
"D810","Severe combined immunodeficiency [SCID] with reticular dysgenesis"
"D811","Severe combined immunodeficiency [SCID] with low T- and B-cell numbers"
"D812","Severe combined immunodeficiency [SCID] with low or normal B-cell numbers"
"D813","Adenosine deaminase [ADA] deficiency"
"D814","Nezelof syndrome"
"D815","Purine nucleoside phosphorylase [PNP] deficiency"
"D816","Major histocompatibility complex class I deficiency"
"D817","Major histocompatibility complex class II deficiency"
"D818","Other combined immunodeficiencies"
"D819","Combined immunodeficiency, unspecified"
"D82","Immunodeficiency associated with other major defects"
"D820","Wiskott-Aldrich syndrome"
"D821","Di George syndrome"
"D822","Immunodeficiency with short-limbed stature"
"D823","Immunodeficiency following hereditary defective response to Epstein-Barr virus"
"D824","Hyperimmunoglobulin E [IgE] syndrome"
"D828","Immunodeficiency associated with other specified major defects"
"D829","Immunodeficiency associated with major defect, unspecified"
"D83","Common variable immunodeficiency"
"D830","Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function"
"D831","Common variable immunodeficiency with predominant immunoregulatory T-cell disorders"
"D832","Common variable immunodeficiency with autoantibodies to B- or T-cells"
"D838","Other common variable immunodeficiencies"
"D839","Common variable immunodeficiency, unspecified"
"D84","Other immunodeficiencies"
"D840","Lymphocyte function antigen-1 [LFA-1] defect"
"D841","Defects in the complement system"
"D848","Other specified immunodeficiencies"
"D849","Immunodeficiency, unspecified"
"D71","Functional disorders of polymorphonuclear neutrophils"
"D72","Other disorders of white blood cells"
"D720","Genetic anomalies of leukocytes"
"D728","Other specified disorders of white blood cells"
"D729","Disorder of white blood cells, unspecified"
