"conceptId","term","read2_code","read2_term","read2_chapter"
"35910009","Bricklayer (construction) (occupation)","0H15.00","Bricklayer","0 - Occupations"
"36682004","Physiotherapist (occupation)","03J1.00","Physiotherapist","0 - Occupations"
"36986003","Embalmer (occupation)","0AJ3.00","Embalmer","0 - Occupations"
"37316008","Wine waiter (occupation)","0A33.00","Wine waiter","0 - Occupations"
"37920003","Author (occupation)","0414.00","Author","0 - Occupations"
"38009003","Office machines mechanic (occupation)","0E49.00","Office machinery mechanic","0 - Occupations"
"39060006","Sleeping- or pullman-car attendant (occupation)","0A94.00","Sleeping-car attendant","0 - Occupations"
"39101005","Patent agent (occupation)","05Z8.00","Patent agent","0 - Occupations"
"39255004","Public relations officer (occupation)","02D5.00","Public relations officer","0 - Occupations"
"39369002","Meat cutter (occupation)","0C56.00","Meat cutter","0 - Occupations"
"39818006","Manicurist (occupation)","0AI7.11","Manicurist","0 - Occupations"
"40838000","Messenger (occupation)","07H3.00","Messenger","0 - Occupations"
"41257008","Machinery erector/installer (occupation)","0E42.00","Machinery erector/installer","0 - Occupations"
"42243009","Tile setter (occupation)","0H1A.12","Slater","0 - Occupations"
"42439007","Commercial artist (occupation)","0422.00","Commercial artist","0 - Occupations"
"42521000","Nuclear physicist (occupation)","0534.00","Nuclear physicist","0 - Occupations"
"42546000","Forest supervisor (occupation)","0B14.00","Foreman - forestry workers","0 - Occupations"
"43235008","Laster (occupation)","0D6..12","Laster - footwear","0 - Occupations"
"43475003","Postman (occupation)","07H2.00","Postman","0 - Occupations"
"43702002","Occupational health nurse (occupation)","03FM.00","Occupational health nurse","0 - Occupations"
"43888009","Wooden patternmaker (occupation)","0D79.00","Pattern maker (mould)","0 - Occupations"
"45050008","Dancer (occupation)","0465.00","Dancer","0 - Occupations"
"45419001","Masseur (occupation)","03J4.00","Masseur","0 - Occupations"
"46255001","Pharmacist (occupation)","03GZ.00","Pharmacist NOS","0 - Occupations"
"46255001","Pharmacist (occupation)","03G..00","Pharmacists","0 - Occupations"
"46821005","Wood carver (occupation)","0D7A.00","Wood carver","0 - Occupations"
"47007002","Ship pilot (occupation)","05I4.00","Ship pilot","0 - Occupations"
"47103001","Buyer (occupation)","02E..11","Buyer","0 - Occupations"
"47555006","Insurance clerk (occupation)","0744.00","Insurance clerk","0 - Occupations"
"47555006","Insurance clerk (occupation)","074..12","Insurance clerks","0 - Occupations"
"47667004","Advertising copywriter (occupation)","0418.00","Advertising copy writer","0 - Occupations"
"47928008","Shot-firer, mine/quarry (occupation)","0H26.00","Shotfirer","0 - Occupations"
"48258009","Gunsmith (occupation)","088..00","Gun merchants","0 - Occupations"
"48330003","Building architect (occupation)","05J2.00","Architect - buildings","0 - Occupations"
"48740002","Philologist (occupation)","0395.00","Philologist","0 - Occupations"
"48901000","Flight operations officer (occupation)","05H2.00","Flight operations officer","0 - Occupations"
"48943007","Archivist (occupation)","02G2.00","Archivist","0 - Occupations"
"49063006","Private inquiry agent (occupation)","09Z..11","Private detective","0 - Occupations"
"49063006","Private inquiry agent (occupation)","09Z6.00","Private detective","0 - Occupations"
"49203003","Dispensing optician (occupation)","03I2.00","Dispensing optician","0 - Occupations"
"49406008","Air-compressor operator (occupation)","0Z16.00","Air compression operator","0 - Occupations"
"49588008","Military services member (occupation)","0912.00","Member of armed forces","0 - Occupations"
"50017003","Blast furnaceman (ore smelting) (occupation)","0E12.00","Blast furnaceman","0 - Occupations"
"50798002","Chief steward (ship) (occupation)","0A73.00","Chief steward - seagoing","0 - Occupations"
"50835006","Anthropologist (occupation)","0392.00","Anthropologist","0 - Occupations"
"51653006","Railway station master (occupation)","066C.00","Station manager - railway","0 - Occupations"
"51764002","Reporter (occupation)","0416.00","Reporter (press/radio/t.v.)","0 - Occupations"
"52117005","Glass cutter (occupation)","0D16.00","Glass cutter","0 - Occupations"
"52444008","Architectural draftsman (occupation)","05L4.00","Architectural draughtsman","0 - Occupations"
"52563007","Correspondence clerk (occupation)","0782.00","Correspondence clerk","0 - Occupations"
"52778003","Restaurant manager (occupation)","06B..13","Restaurant manager","0 - Occupations"
"53334004","Fish butcher (occupation)","0C58.00","Fish preparer","0 - Occupations"
"54741000","Ship's chief engineer (occupation)","05I5.00","Ship chief engineer","0 - Occupations"
"55057002","Choreographer (occupation)","0453.00","Choreographer","0 - Occupations"
"55194008","Radio and television producer (occupation)","0442.00","Producer - radio/t.v.","0 - Occupations"
"56466003","Public health physician (occupation)","03D2.00","Community physician","0 - Occupations"
"57792004","Technical salesman (occupation)","085..00","Technical sales representat.","0 - Occupations"
"57792004","Technical salesman (occupation)","0851.00","Technical sales rep.","0 - Occupations"
"57792004","Technical salesman (occupation)","085Z.00","Technical sales rep. NOS","0 - Occupations"
"58210008","Flight engineer (occupation)","05G8.00","Flight engineer","0 - Occupations"
"58288008","Food and drink technologist (occupation)","05F9.00","Food technologist","0 - Occupations"
"58940003","Slate and tile roofer (occupation)","0H1A.00","Roofer/slater","0 - Occupations"
"59142002","Librarian (occupation)","02G1.00","Librarian","0 - Occupations"
"59264001","Mine surveyor (occupation)","05K4.00","Mining surveyor","0 - Occupations"
"59344008","Groundsman (occupation)","0B5..12","Groundsmen","0 - Occupations"
"59344008","Groundsman (occupation)","0B55.00","Groundsman","0 - Occupations"
"59559001","Mathematician (applied mathematics) (occupation)","0553.00","Applied mathematician","0 - Occupations"
"59706001","Farm manager (occupation)","06D..11","Farm manager","0 - Occupations"
"59891006","Clown (occupation)","0467.11","Clown","0 - Occupations"
"59944000","Psychologist (occupation)","0396.00","Psychologist","0 - Occupations"
"60281004","Fabric dyer (occupation)","0C2A.00","Textile dyer","0 - Occupations"
"60432003","Bus conductor (occupation)","0I3A.00","Bus conductor","0 - Occupations"
"61030009","Horticulturist (occupation)","0B4..11","Horticultural worker","0 - Occupations"
"61030009","Horticulturist (occupation)","0B4Z.00","Horticulture worker NOS","0 - Occupations"
"61030009","Horticulturist (occupation)","0B4..00","Horticultural workers","0 - Occupations"
"61198002","Taxi driver (occupation)","0I36.00","Taxi driver","0 - Occupations"
"61207006","Medical pathologist (occupation)","051G.00","Pathologist","0 - Occupations"
"61315006","Hotel receptionist (occupation)","0791.00","Hotel receptionist","0 - Occupations"
"61811005","Launderer (general) (occupation)","0AH2.00","Launderer - general","0 - Occupations"
"62071000","Companion (occupation)","0A82.00","Companion","0 - Occupations"
"62247001","Family medicine specialist (occupation)","03DC.00","General medical practitioner","0 - Occupations"
"62247001","Family medicine specialist (occupation)","03DC.11","General practitioner","0 - Occupations"
"63201001","Steeplejack (occupation)","0H1G.00","Steeplejack","0 - Occupations"
"63279000","Chemistry technician (occupation)","05M3.00","Lab.technician - chemistry","0 - Occupations"
"63502007","Town planner (occupation)","05J1.00","Town planner","0 - Occupations"
"64406001","Terrazzo worker (occupation)","0H19.00","Terrazzo worker","0 - Occupations"
"64752009","Motion picture producer (occupation)","0449.00","Producer - films","0 - Occupations"
"65437006","Punched-card machine operator (occupation)","07D5.00","Punch card machine operator","0 - Occupations"
"66127004","Ceramics decorator (occupation)","0F14.11","Ceramics decorator","0 - Occupations"
"66159006","Wardrobe mistress (stage and studio) (occupation)","0A86.00","Wardrobe mistress","0 - Occupations"
"66862007","Radiologist (occupation)","03D9.00","Radiologist","0 - Occupations"
"67206005","Blacksmith (general) (occupation)","0E1A.11","Blacksmith","0 - Occupations"
"67630004","Miner (general) (occupation)","0H2..12","Miners","0 - Occupations"
"67663006","Stenographic secretary (occupation)","07B1.00","Secretary shorthand typist","0 - Occupations"
"67790005","Publicity writer (occupation)","0419.00","Publicity writer","0 - Occupations"
"68125002","Die-casting-machine operator (occupation)","0E19.00","Die caster","0 - Occupations"
"68462005","Mail sorting clerk (occupation)","07H1.00","Mail sorter","0 - Occupations"
"68529004","Beautician (occupation)","0AI4.00","Beautician","0 - Occupations"
"68758003","Filing clerk (occupation)","0775.00","Filing clerk","0 - Occupations"
"68785005","Underwriter (occupation)","0272.00","Insurance underwriter","0 - Occupations"
"68785005","Underwriter (occupation)","026..13","Underwriter - insurance","0 - Occupations"
"69578004","Office cashier (occupation)","0734.00","Office cashier","0 - Occupations"
"69731003","Landscape architect (occupation)","05J3.00","Architect - landscape","0 - Occupations"
"69796006","Temperer (occupation)","0E1C.12","Temperer - metal","0 - Occupations"
"69919006","Slaughterer (occupation)","0C54.00","Slaughterman","0 - Occupations"
"70663009","Electrotyper (occupation)","0D36.00","Printing electrotyper","0 - Occupations"
"71147009","Stereotyper (occupation)","0D35.00","Printing stereotyper","0 - Occupations"
"71174005","Waiter, general (occupation)","0A31.00","Waiter","0 - Occupations"
"71582000","Bread baker (occupation)","0C52.00","Bread baker","0 - Occupations"
"71847007","Housekeeper (private service) (occupation)","0A8..12","Housekeeper - domestic","0 - Occupations"
"71970000","Prison guard (occupation)","09Z2.00","Prison officer","0 - Occupations"
"72154000","Twister (occupation)","0C25.00","Twister","0 - Occupations"
"72327007","Biologist (general) (occupation)","051..11","Biological scientists","0 - Occupations"
"72327007","Biologist (general) (occupation)","0512.00","Biologist","0 - Occupations"
"72327007","Biologist (general) (occupation)","051Z.00","Biological scientist NOS","0 - Occupations"
"72335005","Teacher of the deaf (occupation)","038Z.12","Deaf teacher","0 - Occupations"
"73066004","Technical illustrator (occupation)","05LA.00","Technical illustrator","0 - Occupations"
"73333009","Incinerator plant operator (occupation)","0Z19.00","Incinerator operator","0 - Occupations"
"73851001","Plumber (general) (occupation)","0E72.00","Plumber","0 - Occupations"
"75052007","Synthetic fiber maker (occupation)","0CZ9.00","Man-made fibre maker","0 - Occupations"
"75112007","Chimney sweep (occupation)","0AE3.00","Chimney sweep","0 - Occupations"
"75218001","Actuary (occupation)","02A3.00","Actuary","0 - Occupations"
"75607005","Veneer cutter (occupation)","0D7..15","Veneer cutter","0 - Occupations"
"75611004","Cartographical draftsman (occupation)","05L5.00","Map/chart draughtsman","0 - Occupations"
"75636005","Milliner (occupation)","0D58.00","Milliner","0 - Occupations"
"76183004","Physical chemist (occupation)","0526.00","Physical chemist","0 - Occupations"
"76184005","Market research analyst (occupation)","02C2.00","Market research analyst","0 - Occupations"
"76231001","Osteopath (occupation)","03J3.00","Osteopath","0 - Occupations"
"76463005","Manager, retail trade (occupation)","06A..11","Retail shop manager","0 - Occupations"
"76579009","Clerk of works (occupation)","0637.00","Clerk of works","0 - Occupations"
"77310007","Railway passenger train guard (occupation)","0I24.00","Railway guard","0 - Occupations"
"77320002","Book editor (occupation)","0412.00","Editor - books","0 - Occupations"
"77605003","Geophysical scientist (occupation)","053A.00","Geophysicist","0 - Occupations"
"77715000","Farm worker (general) (occupation)","0B2Z.00","General farm worker NOS","0 - Occupations"
"77715000","Farm worker (general) (occupation)","0B2..00","General farm workers","0 - Occupations"
"77715000","Farm worker (general) (occupation)","0B21.00","Farm worker - general","0 - Occupations"
"78705009","Radio and television announcer (occupation)","0491.00","Announcer (radio/t.v.)","0 - Occupations"
"78826004","Historian (occupation)","0394.00","Historian","0 - Occupations"
"78841004","Physiologist (occupation)","051C.00","Physiologist","0 - Occupations"
"79065008","Critic (occupation)","0415.00","Critic","0 - Occupations"
"79277009","Theatrical producer (occupation)","0441.00","Producer - theatre/artistic","0 - Occupations"
"79687003","Money changer (occupation)","0741.00","Foreign exch.clerk - banking","0 - Occupations"
"79859009","Computer programmer (occupation)","02B3.00","Computer programmer","0 - Occupations"
"80292009","Psychiatric social worker (occupation)","03AJ.00","Psychiatric social worker","0 - Occupations"
"80407007","Head teacher (occupation)","03...12","Head teacher","0 - Occupations"
"80514007","Wholesale trade salesman (occupation)","086..00","Wholesale sales reps.","0 - Occupations"
"80514007","Wholesale trade salesman (occupation)","0862.00","Wholesale sales rep.","0 - Occupations"
"80514007","Wholesale trade salesman (occupation)","086Z.00","Wholesale sales rep. NOS","0 - Occupations"
"80546007","Occupational therapist (occupation)","03J5.00","Occupational therapist","0 - Occupations"
"80584001","Psychiatrist (occupation)","03D8.00","Psychiatrist","0 - Occupations"
"80719000","Zoologist (occupation)","0513.00","Zoologist","0 - Occupations"
"81121008","Women's hairdresser (occupation)","0AI2.00","Ladies' hairdresser","0 - Occupations"
"81284005","Fish farm worker (occupation)","0BZ5.00","Fish hatcher","0 - Occupations"
"81513009","Post office counter clerk (occupation)","0733.00","Post office counter clerk","0 - Occupations"
"81753009","Statistical clerk (occupation)","0783.00","Statistical clerk","0 - Occupations"
"81772009","Presser (hand) (occupation)","0AH5.00","Hand presser - garments","0 - Occupations"
"81779000","Astronomical scientist (occupation)","0539.00","Astronomer","0 - Occupations"
"81815006","Metal-mining engineer (occupation)","0583.00","Mining engineer -ores/minerals","0 - Occupations"
"81972000","Auctioneer (occupation)","0872.00","Auctioneer","0 - Occupations"
"82173007","Acrobat (occupation)","0466.00","Acrobat","0 - Occupations"
"83602007","Fashion model (occupation)","0497.00","Fashion model","0 - Occupations"
"83647008","Dressmaker (occupation)","0D53.00","Dressmaker","0 - Occupations"
"84043002","Lock operator (canal or port) (occupation)","0I16.00","Lock gateman","0 - Occupations"
"84672002","Sound-recording equipment operator (occupation)","048..11","Sound equipment operator","0 - Occupations"
"84943000","Shoemaker (general) (occupation)","0D62.12","Shoe maker","0 - Occupations"
"85107002","Calculating machine operator (occupation)","07D2.00","Calculating machine operator","0 - Occupations"
"85165008","Orchestrator (occupation)","0452.00","Orchestrator/arranger","0 - Occupations"
"85386003","Flight navigator (occupation)","05G7.00","Flight navigator","0 - Occupations"
"85552006","Head waiter (occupation)","0A13.00","Head waiter","0 - Occupations"
"86338004","Organ builder (occupation)","0DZ3.00","Organ builder","0 - Occupations"
"86519009","Pastry maker (occupation)","0A24.00","Pastry cook","0 - Occupations"
"86746001","Geographer (occupation)","0397.00","Geographer","0 - Occupations"
"86775007","Meteorological scientist (occupation)","0538.00","Meteorologist","0 - Occupations"
"86937004","Motor bus driver (occupation)","0I33.11","Bus driver","0 - Occupations"
"87096000","Beef cattle farm worker (occupation)","0B33.00","Stockman - beef cattle","0 - Occupations"
"87217001","Croupier (occupation)","0AZ3.00","Croupier","0 - Occupations"
"87259000","Hand compositor (occupation)","0D33.00","Compositor","0 - Occupations"
"87393003","Ship plater (occupation)","0E77.11","Ship's plater","0 - Occupations"
"87448007","Sports coach (occupation)","04A..11","Coach - sports","0 - Occupations"
"87448007","Sports coach (occupation)","04A8.00","Sports coach","0 - Occupations"
"88060001","School inspector (occupation)","0384.11","School inspector","0 - Occupations"
"88060001","School inspector (occupation)","0384.00","Inspector of schools","0 - Occupations"
"88214005","Textile bleacher (occupation)","0C29.00","Textile bleacher","0 - Occupations"
"88483008","Market garden worker (occupation)","0B43.00","Market garden worker","0 - Occupations"
"89007006","Technical writer (occupation)","041A.00","Technical writer","0 - Occupations"
"89020009","Stenographer-typist (general) (occupation)","07B2.00","Shorthand typist","0 - Occupations"
"89054005","Telegrapher (occupation)","07G..12","Telegraph operator","0 - Occupations"
"89641004","Scaffolder (occupation)","0E7E.11","Scaffolder","0 - Occupations"
"90322004","Electronics physicist (occupation)","0533.00","Electronics physicist","0 - Occupations"
"90710004","Head cook (occupation)","0A12.00","Head cook","0 - Occupations"
"91091000","Aeronautical engineer (occupation)","05AZ.00","Aeronautical engineer NOS","0 - Occupations"
"91091000","Aeronautical engineer (occupation)","05A..00","Aeronautical engineers","0 - Occupations"
"91459007","Garment patternmaker (occupation)","0D5..12","Pattern maker - clothes","0 - Occupations"
"91459007","Garment patternmaker (occupation)","0D5A.00","Clothing pattern maker","0 - Occupations"
"91533006","Street vendor (occupation)","084..00","Street traders","0 - Occupations"
"91533006","Street vendor (occupation)","084Z.00","Street trader NOS","0 - Occupations"
"91533006","Street vendor (occupation)","084..11","Street trader","0 - Occupations"
"91534000","Housemaid (occupation)","0A8B.00","General maid","0 - Occupations"
"106256002","Chemist (occupation)","052Z.00","Chemical scientist NOS","0 - Occupations"
"106256002","Chemist (occupation)","052..00","Chemical scientists","0 - Occupations"
"106258001","Physical scientist (occupation)","053Z.00","Physical scientist NOS","0 - Occupations"
"106258001","Physical scientist (occupation)","053..11","Physical scientist","0 - Occupations"
"106258001","Physical scientist (occupation)","053..00","Physical scientists","0 - Occupations"
"106261000","Architect/town planner (occupation)","05JZ.00","Town planner/architect NOS","0 - Occupations"
"106261000","Architect/town planner (occupation)","05J..00","Town planners/architects","0 - Occupations"
"106262007","Civil engineer (occupation)","057..11","Civil engineers","0 - Occupations"
"106262007","Civil engineer (occupation)","057Z.00","Civil engineer NOS","0 - Occupations"
"106263002","Electrical/electronics engineer (occupation)","05B..00","Electrical/electronic engineer","0 - Occupations"
