"code","description"
"10835621000119104","Congenital anomaly of vagina in mother complicating pregnancy (disorder)"
"10738211000119102","Congenital fistula between uterus and urinary tract (disorder)"
"10736711000119105","Congenital hypoplasia of uterine cervix (disorder)"
"10736081000119101","Congenital atresia of vagina (disorder)"
"429661000124108","Penile mid-shaft hypospadias (disorder)"
"429651000124106","Penile shaft hypospadias (disorder)"
"429641000124109","Coronal hypospadias (disorder)"
"429631000124104","Glanular hypospadias (disorder)"
"328011000119101","Congenital imperforate cervix (disorder)"
"142201000119101","Congenital longitudinal septate vagina (disorder)"
"142191000119104","Congenital transverse septate vagina (disorder)"
"838329003","46 XX disorder of sex development due to maternal adrenal neoplasm (disorder)"
"838328006","46 XX disorder of sex development due to maternal androluteoma (disorder)"
"838327001","46 XX disorder of sex development due to maternal arrhenoblastoma (disorder)"
"838326005","46 XX disorder of sex development due to maternal Krukenberg neoplasm (disorder)"
"818963004","Posterior hypospadias (disorder)"
"818949005","Congenital absence of body of uterus (disorder)"
"783231007","Aplasia of body of uterus (disorder)"
"783230008","Agenesis of body of uterus (disorder)"
"783095007","Aplasia of uterine cervix (disorder)"
"783092005","46,XY disorder of sex development, adrenal insufficiency due to cytochrome P450 family 11 subfamily A member 1 deficiency (disorder)"
"770561007","Lower limb malformation hypospadias syndrome (disorder)"
"763889002","Spina bifida and hypospadias syndrome (disorder)"
"763683004","46,XY ovotesticular disorder of sex development (disorder)"
"734173003","Skeletal abnormality, cutis laxa, craniostenosis, ambiguous genitalia, retardation, facial abnormality syndrome (disorder)"
"733622000","46,XX disorder of sex development with anorectal anomalies syndrome (disorder)"
"733621007","46,XX disorder of sex development with skeletal anomalies syndrome (disorder)"
"725045004","46,XY partial gonadal dysgenesis (disorder)"
"722202006","Palmoplantar keratoderma, 46,XX sex reversal, predisposition to squamous cell carcinoma syndrome (disorder)"
"719450007","Disorder of sex development with intellectual disability syndrome (disorder)"
"717705004","Mayer-Rokitansky-Küster-Hauser syndrome type 2 (disorder)"
"716744000","Familial hypospadias of penis (disorder)"
"702462000","Scrotal hypospadias (disorder)"
"702436009","Proximal penile hypospadias (disorder)"
"702434007","Distal penile hypospadias (disorder)"
"699051006","Male subcoronal hypospadias (disorder)"
"416010008","Hypospadias (disorder)"
"386120007","Imperforate vagina (disorder)"
"371015003","Congenital absence of both testes (disorder)"
"361263009","Paravaginal cyst arising in mesonephric duct (disorder)"
"253857001","False hermaphrodite (disorder)"
"253836009","Hypoplasia of vagina (disorder)"
"253835008","Atresia of lower vagina (disorder)"
"253834007","Agenesis of lower vagina (disorder)"
"253833001","Embryonic cyst of cervix (disorder)"
"253832006","Hypoplasia of uterus and cervix (disorder)"
"253829008","Solid rudimentary uterus (disorder)"
"253828000","Mullerian aplasia (disorder)"
"253827005","Congenital malformation of uterus and cervix (disorder)"
"237821001","Hermaphroditism (disorder)"
"204908001","Aplasia of penis (disorder)"
"204891000","Hypospadias, balanic (disorder)"
"204890004","Hypospadias, perineal (disorder)"
"204889008","Hypospadias, penoscrotal (disorder)"
"204888000","Hypospadias, penile (disorder)"
"204886001","Hypospadias and epispadias (disorder)"
"204849002","Congenital uterovesical fistula (disorder)"
"204848005","Congenital uterointestinal fistula (disorder)"
"204847000","Congenital fistulae between uterus and digestive and urinary tracts (disorder)"
"123666002","Rudimentary uterus in male (disorder)"
"111332007","Male pseudohermaphroditism (disorder)"
"111330004","Congenital rectovaginal fistula (disorder)"
"95219002","Pure gonadal dysgenesis (disorder)"
"95218005","Pure gonadal dysgenesis 46,XY (disorder)"
"93034002","Congenital atresia of uterus (disorder)"
"89318001","Congenital prolapsed uterus (disorder)"
"88825008","Congenital anomaly of cervix (disorder)"
"87380008","Congenital absence of vagina (disorder)"
"75164001","Pseudohermaphroditism (disorder)"
"73465006","Congenital absence of germinal epithelium of testes (disorder)"
"63253009","Congenital rectovestibular fistula (disorder)"
"61476004","Embryonic cyst of vagina (disorder)"
"59981001","Congenital absence of penis (disorder)"
"57514000","3-Oxo-5 alpha-steroid delta 4-dehydrogenase deficiency (disorder)"
"56212008","Leydig cell agenesis (disorder)"
"54176009","Congenital cyst of canal of Nuck (disorder)"
"52904006","Congenital anomaly of vagina (disorder)"
"47054003","Septate vagina (disorder)"
"41452004","Uterus acollis (disorder)"
"37849005","Congenital uterine anomaly (disorder)"
"37687000","Congenital absence of cervix (disorder)"
"34424009","Congenital duplication of vagina (disorder)"
"23544000","Congenital stenosis of vagina (disorder)"
"21321009","Ambiguous genitalia (disorder)"
"18978002","Ovotestis (disorder)"
"17142008","Congenital absence of uterus (disorder)"
"12316007","Persistent fetal uterus (disorder)"
"10283004","Congenital stenosis of cervical canal (disorder)"
"8800006","Female pseudohermaphroditism (disorder)"
"8793008","Rokitansky sequence (disorder)"
"7762009","Paraspadias (disorder)"
