"code","description"
"1.06927610001191E+16","Asthma-chronic obstructive pulmonary disease overlap syndrome (disorder)"
"1.06257910001191E+16","Bronchitis caused by chemical (disorder)"
"1081201000112100","Stenosis of tracheobronchial tree (disorder)"
"328661000119108","Interstitial lung disease of childhood (disorder)"
"319841000119107","Rheumatoid lung disease with rheumatoid arthritis (disorder)"
"311671000119100","Juvenile dermatomyositis co-occurrent with respiratory involvement (disorder)"
"296241000119107","Disorder of respiratory system due to dermatomyositis (disorder)"
"293241000119100","Acute exacerbation of chronic obstructive bronchitis (disorder)"
"141301000119102","Acquired bronchogenic cyst (disorder)"
"103871000119109","Restrictive lung disease due to Parkinson disease (disorder)"
"102361000119104","Chronic pneumonia (disorder)"
"101401000119103","Pulmonary granuloma (disorder)"
"35491000119107","Restrictive lung mechanics due to neuromuscular disease (disorder)"
"991000119106","Reactive airway disease (disorder)"
"401000119107","Asthma with irreversible airway obstruction (disorder)"
"870573008","Interstitial pneumonia with autoimmune features (disorder)"
"866103007","Interstitial lung disease due to juvenile polymyositis (disorder)"
"846642004","Respiratory condition caused by chemical fumes and vapors (disorder)"
"846641006","Respiratory condition caused by vapors (disorder)"
"846640007","Respiratory condition caused by chemical fumes (disorder)"
"846639005","Bronchitis caused by vapors (disorder)"
"846638002","Bronchitis caused by chemical fumes (disorder)"
"846637007","Chronic pulmonary fibrosis caused by chemical vapors (disorder)"
"846636003","Chronic respiratory condition caused by chemical fumes (disorder)"
"846635004","Chronic respiratory condition caused by vapors (disorder)"
"846634000","Chronic respiratory condition caused by fumes (disorder)"
"846630009","Pneumonitis caused by vapors (disorder)"
"846629004","Pneumonitis caused by fumes (disorder)"
"840351007","Chronic obliterative bronchiolitis caused by vapor (disorder)"
"840350008","Chronic obliterative bronchiolitis caused by chemical fumes (disorder)"
"836479005","Subacute obliterative bronchiolitis caused by vapor (disorder)"
"836478002","Subacute obliterative bronchiolitis caused by chemical fumes (disorder)"
"836477007","Chronic emphysema caused by vapor (disorder)"
"789574002","Acute exacerbation of idiopathic pulmonary fibrosis (disorder)"
"785736001","Chronic bronchitis co-occurrent with wheeze (disorder)"
"785345002","Pneumoconiosis caused by sisal dust (disorder)"
"783182004","Chronic respiratory distress with surfactant metabolism deficiency (disorder)"
"762618008","Bronchiolitis obliterans syndrome due to and after lung transplantation (disorder)"
"737184001","Interstitial lung disease co-occurrent and due to systemic vasculitis (disorder)"
"737183007","Interstitial lung disease due to metabolic disease (disorder)"
"737182002","Interstitial lung disease due to granulomatous disease (disorder)"
"737181009","Interstitial lung disease due to systemic disease (disorder)"
"737180005","Chronic bronchiolitis (disorder)"
"735446004","Hypersensitivity disorder of respiratory tract (disorder)"
"735445000","Allergic disorder of respiratory tract (disorder)"
"733497009","Chronic suppuration of bronchus (disorder)"
"733453005","Congenital nephrotic syndrome, interstitial lung disease, epidermolysis bullosa syndrome (disorder)"
"725415009","House allergic alveolitis (disorder)"
"724502006","Respiratory disorder co-occurrent and due to microscopic polyangiitis (disorder)"
"724500003","Idiopathic chronic eosinophilic pneumonia (disorder)"
"724499007","Idiopathic acute eosinophilic pneumonia (disorder)"
"723829000","Pulmonary fibrosis, hepatic hyperplasia, bone marrow hypoplasia syndrome (disorder)"
"721977007","Lung fibrosis, immunodeficiency, 46,XX gonadal dysgenesis syndrome (disorder)"
"719218000","Cryptogenic organizing pneumonia (disorder)"
"719218000","Cryptogenic organizing pneumonia (disorder)"
"718097008","Nodular lymphoid hyperplasia of lung (disorder)"
"714203003","Acute bronchitis co-occurrent with bronchiectasis (disorder)"
"713484001","Disorder of respiratory system co-occurrent with human immunodeficiency virus infection (disorder)"
"711379004","Interstitial lung disease due to connective tissue disease (disorder)"
"708031000","Idiopathic eosinophilic pneumonia (disorder)"
"708030004","Pulmonary emphysema co-occurrent with fibrosis of lung (disorder)"
