"","code","description","tag"
"1",129007,"Homoiothermia (finding)","finding"
"2",134006,"Decreased hair growth (finding)","finding"
"3",144008,"Normal peripheral vision (finding)","finding"
"4",150003,"Abnormal bladder continence (finding)","finding"
"5",165002,"Accident prone (finding)","finding"
"6",175004,"Supraorbital neuralgia (finding)","finding"
"7",179005,"Apraxia of dressing (finding)","finding"
"8",199004,"Decreased lactation (finding)","finding"
"9",216004,"Delusion of persecution (finding)","finding"
"10",219006,"Current drinker of alcohol (finding)","finding"
"11",292003,"Electroencephalogram finding (finding)","finding"
"12",313005,"Déjà vu (finding)","finding"
"13",320003,"Cervical dilatation, 1cm (finding)","finding"
"14",330007,"Occipital headache (finding)","finding"
"15",349006,"Absent tendon reflex (finding)","finding"
"16",366008,"Hidromeiosis (finding)","finding"
"17",369001,"Normal jugular venous pressure (finding)","finding"
"18",382009,"Legal history finding relating to child (finding)","finding"
"19",383004,"Finding of passive range of hip extension (finding)","finding"
"20",387003,"Melanuria (finding)","finding"
"21",398002,"Left axis deviation greater than -90 degrees by electrocardiogram (finding)","finding"
"22",408005,"Tooth chattering (finding)","finding"
"23",409002,"Food allergy diet (finding)","finding"
"24",437009,"Abnormal composition of urine (finding)","finding"
"25",447007,"Coach in sports activity accident (finding)","finding"
"26",518002,"Multiple aggregation (finding)","finding"
"27",527001,"Spontaneous fetal evolution, Roederer's method (finding)","finding"
"28",607007,"Decreased vital capacity (finding)","finding"
"29",664002,"Delayed ovulation (finding)","finding"
"30",786005,"Clinical stage I B (finding)","finding"
"31",788006,"Disease-related diet (finding)","finding"
"32",811004,"Flail motion (finding)","finding"
"33",813001,"Ankle instability (finding)","finding"
"34",816009,"Genetic recombination (finding)","finding"
"35",834008,"Chair-seated facing coital position (finding)","finding"
"36",842009,"Consanguinity (finding)","finding"
"37",844005,"Behavior finding (finding)","finding"
"38",865004,"Hyperalimentation formula for ileus (finding)","finding"
"39",874002,"Therapeutic diuresis (finding)","finding"
"40",904002,"Pinard's sign (finding)","finding"
"41",919001,"Pseudohomosexual state (finding)","finding"
"42",931004,"Gestation period, 9 weeks (finding)","finding"
"43",932006,"Flat affect (finding)","finding"
"44",962000,"Disability evaluation, disability 6% (finding)","finding"
"45",991002,"Wide QRS complex (finding)","finding"
"46",1003002,"Religious discrimination (finding)","finding"
"47",1023001,"Apnea (finding)","finding"
"48",1070000,"Facial myokymia (finding)","finding"
"49",1077002,"Septal infarction by electrocardiogram (finding)","finding"
"50",1111005,"Normal sebaceous gland activity (finding)","finding"
"51",1124005,"Postpartum period, 6 days (finding)","finding"
"52",1126007,"Knee locking (finding)","finding"
"53",1139006,"Confrontation (visual) test (finding)","finding"
"54",1140008,"Thermal hypesthesia (finding)","finding"
"55",1141007,"Circumoral paresthesia (finding)","finding"
"56",1151008,"Visual field constriction (finding)","finding"
"57",1152001,"Skin reaction negative (finding)","finding"
"58",1155004,"Myocardial hypertrophy, determined by electrocardiogram (finding)","finding"
"59",1168007,"Allotype (finding)","finding"
"60",1184008,"Glasgow coma scale, 10 (finding)","finding"
"61",1194003,"Disease condition determination, well controlled (finding)","finding"
"62",1240000,"Prone body position (finding)","finding"
"63",1318006,"Post-translational genetic protein processing (finding)","finding"
"64",1332008,"Conjugated visual deviation (finding)","finding"
"65",1402001,"Fear (finding)","finding"
"66",1523005,"Clinical stage IV B (finding)","finding"
"67",1556006,"Clark melanoma level 4 (finding)","finding"
"68",1608005,"Increased capillary permeability (finding)","finding"
"69",1663004,"G2 grade (finding)","finding"
"70",1667003,"Early fontanel closure (finding)","finding"
"71",1703007,"Increased leg circumference (finding)","finding"
"72",1735007,"Thrill (finding)","finding"
"73",1742007,"Female hypererotism (finding)","finding"
"74",1777007,"Increased molecular dissociation (finding)","finding"
"75",1821000,"Chemoreceptor apnea (finding)","finding"
"76",1865008,"Impaired intestinal protein absorption (finding)","finding"
"77",1881003,"Increased nutritional requirement (finding)","finding"
"78",1892002,"Star figure at the macula (finding)","finding"
"79",1939005,"Abnormal vascular flow (finding)","finding"
"80",1943009,"Right-left disorientation (finding)","finding"
"81",1965009,"Normal skin pH (finding)","finding"
"82",2004005,"Normal blood pressure (finding)","finding"
"83",2070002,"Burning sensation in eye (finding)","finding"
"84",2073000,"Delusions (finding)","finding"
"85",2116002,"Intramembranous bone formation (finding)","finding"
"86",2120003,"Weak cry (finding)","finding"
"87",2134003,"Diffuse pain (finding)","finding"
"88",2138000,"Left sacroposterior position (finding)","finding"
"89",2145000,"Anal penetration (finding)","finding"
"90",2149006,"Decreased hormone production (finding)","finding"
"91",2170000,"Gallop rhythm (finding)","finding"
"92",2216005,"Nocturnal emission (finding)","finding"
"93",2219003,"Disability evaluation, disability 100% (finding)","finding"
"94",2228002,"Scintillating scotoma (finding)","finding"
"95",2237002,"Pleuritic pain (finding)","finding"
"96",2239004,"Previous pregnancies 6 (finding)","finding"
"97",2256007,"Monozygotic twins (finding)","finding"
"98",2268003,"Victim of homosexual aggression (finding)","finding"
"99",2301009,"Psychosomatic factor in physical condition, psychological component of unknown degree (finding)","finding"
"100",2308003,"Silent alleles (finding)","finding"
"101",2314005,"Unprotected sexual intercourse (finding)","finding"
"102",2326000,"Marriage annulment (finding)","finding"
"103",2339001,"Sexual overexposure (finding)","finding"
"104",2351004,"Genetic transduction (finding)","finding"
"105",2388001,"Normal variation in translucency (finding)","finding"
"106",2398007,"Quinidine toxicity by electrocardiogram (finding)","finding"
"107",2452007,"Fetal rotation (finding)","finding"
"108",2472002,"Anuria (finding)","finding"
"109",2496007,"Acalculia (finding)","finding"
"110",2521009,"Bone conduction better than air (finding)","finding"
"111",2528003,"Viremia (finding)","finding"
"112",2541004,"Compulsive buying (finding)","finding"
"113",2581006,"Clasp knife like increase in tone (finding)","finding"
"114",2634004,"Decreased blood erythrocyte volume (finding)","finding"
"115",2640006,"Clinical stage IV (finding)","finding"
"116",2655002,"Invalidism (finding)","finding"
"117",2657005,"Overflow proteinuria (finding)","finding"
"118",2663001,"Palpatory proteinuria (finding)","finding"
"119",2665008,"Coordinate convulsion (finding)","finding"
"120",2733002,"Heel pain (finding)","finding"
"121",2740001,"Gouty proteinuria (finding)","finding"
"122",2761008,"Decreased stool caliber (finding)","finding"
"123",2764000,"Joint crepitus (finding)","finding"
"124",2786004,"Epithelial ovarian tumor, International Federation of Gynecology and Obstetrics stage III (finding)","finding"
"125",2806008,"Impaired psychomotor development (finding)","finding"
"126",2899008,"Thought block (finding)","finding"
"127",2902006,"Decreased lymphocyte life span (finding)","finding"
"128",2910007,"Discharge from penis (finding)","finding"
"129",2981001,"Pulsatile mass of abdomen (finding)","finding"
"130",3006004,"Disturbance of consciousness (finding)","finding"
"131",3021005,"Normal gastric acidity (finding)","finding"
"132",3067005,"Weak C phenotype (finding)","finding"
"133",3071008,"Widow (finding)","finding"
"134",3089009,"Disability evaluation, impairment, class 7 (finding)","finding"
"135",3185000,"Mood-congruent delusion (finding)","finding"
