"code","description"
"T820","Mechanical complication of heart valve prosthesis"
"T821","Mechanical complication of cardiac electronic device"
"T822","Mechanical complication of coronary artery bypass and valve grafts"
"T825","Mechanical complication of other cardiac and vascular devices and implants"
"T826","Infection and inflammatory reaction due to cardiac valve prosthesis"
"T827","Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts"
"T828","Other specified complications of cardiac and vascular prosthetic devices, implants and grafts"
"T829","Unspecified complication of cardiac and vascular prosthetic device, implant and graft"
"Z994","Dependence on artificial heart"
"T82","Complications of cardiac and vascular prosthetic devices, implants and grafts"
"Z450","Adjustment and management of cardiac devices"
