"code","description"
"16266991000119108","Severe major depressive disorder co-occurrent with anxiety single episode (disorder)"
"16266831000119100","Moderate major depressive disorder co-occurrent with anxiety single episode (disorder)"
"16265951000119109","Mild major depressive disorder co-occurrent with anxiety single episode (disorder)"
"16265701000119107","Illness anxiety disorder (disorder)"
"16265301000119106","Recurrent major depressive disorder in partial remission co-occurrent with anxiety (disorder)"
"16265061000119105","Recurrent major depressive disorder co-occurrent with anxiety in full remission (disorder)"
"16264901000119109","Recurrent moderate major depressive disorder co-occurrent with anxiety (disorder)"
"16264821000119108","Recurrent severe major depressive disorder co-occurrent with anxiety (disorder)"
"16264621000119109","Recurrent mild major depressive disorder co-occurrent with anxiety (disorder)"
"10835871000119104","Depressive disorder in mother complicating childbirth (disorder)"
"0811161000119107","Major depressive disorder in mother complicating pregnancy (disorder)"
"10811121000119102","Major depressive disorder in mother complicating childbirth (disorder)"
"10743001000119103","Anxiety disorder in mother complicating childbirth (disorder)"
"288751000119101","Reactive depressive psychosis, single episode (disorder)"
"140621000119106","Memory disorder co-occurrent and due to organic brain damage (disorder)"
"133121000119109","Severe seasonal affective disorder (disorder)"
"104851000119103","Postpartum major depression in remission (disorder)"
"94921000119107","Episodic mood disorder (disorder)"
"94641000119109","Anxiety in pregnancy (disorder)"
"94631000119100","Depressive disorder in mother complicating pregnancy (disorder)"
"92501000119101","Stress reaction with psychomotor agitation (disorder)"
"60401000119104","Postpartum psychosis in remission (disorder)"
"21071000119101","Mood disorder of manic type (disorder)"
"381000119107","Pain disorder with psychological factor (disorder)"
"281000119103","Severe recurrent major depression (disorder)"
"251000119105","Severe major depression, single episode (disorder)"
"870568002","Orthorexia nervosa (disorder)"
"836301008","Amnestic mild cognitive disorder (disorder)"
"789399002","Persistent adjustment disorder (disorder)"
"788912006","Dissociative neurological symptom disorder co-occurrent with tremor (disorder)"
"788910003","Dissociative neurological symptom disorder co-occurrent with myoclonus (disorder)"
"788909008","Dissociative neurological symptom disorder co-occurrent with facial spasm (disorder)"
"788908000","Dissociative neurological symptom disorder co-occurrent with dystonia (disorder)"
"788907005","Dissociative neurological symptom disorder co-occurrent with chorea (disorder)"
"788120007","Antenatal depression (disorder)"
"782501005","Adjustment disorder with mixed anxiety and depressed mood (disorder)"
"764785006","Severe bodily distress disorder (disorder)"
"764784005","Moderate bodily distress disorder (disorder)"
"764783004","Mild bodily distress disorder (disorder)"
"762461003","Complex dissociative intrusion disorder (disorder)"
"762279002","Functional nausea (disorder)"
"737225007","Secondary psychotic syndrome with hallucinations and delusions (disorder)"
"736316005","Dissociative neurological symptom disorder co-occurrent with symptom of speech production (disorder)"
"736315009","Dissociative neurological symptom disorder co-occurrent with alteration of consciousness (disorder)"
"736314008","Dissociative neurological symptom disorder co-occurrent with cognitive symptoms (disorder)"
"736313002","Dissociative neurological symptom disorder co-occurrent with symptoms of gait disorder (disorder)"
"735548000","Dissociative neurological symptom disorder co-occurrent with dizziness (disorder)"
"735547005","Dissociative neurological symptom disorder co-occurrent with auditory symptom (disorder)"
"735546001","Dissociative neurological symptom disorder co-occurrent with swallowing symptom (disorder)"
"735545002","Dissociative neurological symptom disorder with visual symptom (disorder)"
"735544003","Dissociative neurological disorder with symptom of movement disorder (disorder)"
"735543009","Dissociative neurological disorder with symptom of alteration of sensation (disorder)"
"735542004","Dissociative neurological disorder with symptom of weakness (disorder)"
"735541006","Dissociative neurological symptom disorder (disorder)"
"726772006","Major depression with psychotic features (disorder)"
"724819000","Functional paraparesis (disorder)"
"723920002","Significantly low body weight co-occurrent and due to anorexia nervosa of binge-eating purging type (disorder)"
"723919008","Significantly low body weight co-occurrent and due to anorexia nervosa of restricting type (disorder)"
"723918000","Dangerously low body weight co-occurrent and due to anorexia nervosa of binge-eating purging type (disorder)"
"723917005","Dangerously low body weight co-occurrent and due to anorexia nervosa of restricting type (disorder)"
"723916001","Bodily distress disorder (disorder)"
"723915002","Secondary dissociative disorder (disorder)"
"723913009","Olfactory reference disorder (disorder)"
"723912004","Secondary mood disorder (disorder)"
"722960005","Anorexia nervosa co-occurrent with significantly low body weight (disorder)"
"722959000","Anorexia nervosa co-occurrent with dangerously low body weight (disorder)"
"722877006","Adult rumination syndrome of ingested food (disorder)"
"720455008","Minimal major depression (disorder)"
"720454007","Minimal major depression single episode (disorder)"
"720453001","Moderately severe major depression single episode (disorder)"
"720452006","Moderately severe recurrent major depression (disorder)"
"720451004","Minimal recurrent major depression (disorder)"
"719593009","Moderately severe depression (disorder)"
"719592004","Moderately severe major depression (disorder)"
"718636001","Minimal depression (disorder)"
"715924009","Disruptive mood dysregulation disorder (disorder)"
"705001007","Self-induced vomiting to lose weight (disorder)"
"703041000","Dysexecutive syndrome (disorder)"
"700213005","Avoidant restrictive food intake disorder (disorder)"
"698952009","Dissociative disorder in remission (disorder)"
"698946008","Cyclothymia in remission (disorder)"
"698701000","Adjustment disorder in remission (disorder)"
"698698008","Bulimia nervosa in remission (disorder)"
"698697003","Adjustment disorder with mixed disturbance of emotions and conduct in remission (disorder)"
"698696007","Adjustment disorder with depressed mood in remission (disorder)"
"698693004","Adjustment disorder with anxious mood in remission (disorder)"
"698687007","Post-traumatic dementia with behavioral change (disorder)"
"450714000","Severe major depression (disorder)"
"443919007","Complex posttraumatic stress disorder (disorder)"
"443853005","Psychogenic tremor (disorder)"
"442057004","Chronic depressive personality disorder (disorder)"
"441704009","Affective psychosis (disorder)"
"439960005","Binge eating disorder (disorder)"
"430852001","Severe major depression, single episode, with psychotic features (disorder)"
"429571005","Sleep-related dissociative disorder (disorder)"
"428687006","Nightmares associated with chronic post-traumatic stress disorder (disorder)"
"427469003","Eating disorder in remission (disorder)"
"426578000","Premenstrual dysphoric disorder in remission (disorder)"
"426174008","Chronic stress disorder (disorder)"
"425914008","Adjustment reaction to medical therapy (disorder)"
"403594005","Psychogenic formication (disorder)"
"403313001","Hypertrichosis in anorexia nervosa (disorder)"
"397923000","Somatization disorder (disorder)"
"397826007","Briquet's syndrome (disorder)"
"397795007","Polysomatizing disorder (disorder)"
"386825004","Adjustment reaction of late life (disorder)"
"386824000","Adjustment reaction of childhood (disorder)"
"386823006","Adjustment reaction of adult life (disorder)"
"386822001","Adjustment reaction of adolescence (disorder)"
"386821008","Adjustment reaction in infancy (disorder)"
"386810004","Phobic disorder (disorder)"
"386805003","Mild cognitive disorder (disorder)"
"386572005","Psychogenic syncope (disorder)"
"386537007","Psychogenic pylorospasm (disorder)"
"371631005","Panic disorder (disorder)"
"370143000","Major depressive disorder (disorder)"
"321717001","Involutional depression (disorder)"
"320751009","Major depression, melancholic type (disorder)"
"319768000","Recurrent major depressive disorder with melancholic features (disorder)"
"318784009","Posttraumatic stress disorder, delayed onset (disorder)"
"317816007","Stockholm syndrome (disorder)"
"313182004","Chronic post-traumatic stress disorder (disorder)"
"310497006","Severe depression (disorder)"
"310496002","Moderate depression (disorder)"
"310495003","Mild depression (disorder)"
"300979000","Caregiver stress syndrome (disorder)"
"300706003","Endogenous depression (disorder)"
"280945000","Derealization syndrome (disorder)"
"280943007","Dissociative confusion (disorder)"
"279225001","Maternity blues (disorder)"
"278852008","Paranoid-hallucinatory epileptic psychosis (disorder)"
"277663005","Simulated hearing loss (disorder)"
"276300008","Dissociative stupor (disorder)"
"276297003","Dissociative possession disorder (disorder)"
"276296007","Dissociative trance (disorder)"
"275474009","Psychogenic overeating (disorder)"
"275473003","Specific work inhibition (disorder)"
"275472008","Psychogenic dysphonia (disorder)"
"274948002","Endogenous depression - recurrent (disorder)"
"271952001","Stress and adjustment reaction (disorder)"
"270902002","Overeating associated with other psychological disturbances (disorder)"
"268715000","Dissociative motor disorder (disorder)"
"268658008","Specific academic or work inhibition (disorder)"
"268651002","Psychogenic diarrhea (disorder)"
"268650001","Somatoform autonomic dysfunction - gastrointestinal tract (disorder)"
"268621008","Recurrent major depressive episodes (disorder)"
"249520001","Self-induced purging (disorder)"
"248118000","Self-induced purging to lose weight (disorder)"
"247803002","Seasonal affective disorder (disorder)"
"246539005","Seizure with structured hallucinations (disorder)"
"246538002","Seizure causing illusions (disorder)"
"246537007","Affective seizure (disorder)"
"237352005","Severe postnatal psychosis (disorder)"
"237351003","Mild postnatal psychosis (disorder)"
"237350002","Severe postnatal depression (disorder)"
"237349002","Mild postnatal depression (disorder)"
"231530005","Post-concussional personality disorder (disorder)"
"231524005","Interictal behavior disorder (disorder)"
"231523004","Atypical bulimia nervosa (disorder)"
"231522009","Atypical anorexia nervosa (disorder)"
"231521002","Weight fixation (disorder)"
"231519007","Depersonalization-derealization syndrome (disorder)"
"231518004","Globus abdominalis (disorder)"
"231517009","Somatoform autonomic dysfunction (disorder)"
"231509001","Dissociative astasia-abasia (disorder)"
"231504006","Mixed anxiety and depressive disorder (disorder)"
"231500002","Masked depression (disorder)"
"231499006","Endogenous depression first episode (disorder)"
"231455002","Organic pseudoretarded personality (disorder)"
"231454003","Organic pseudopsychopathic personality (disorder)"
"231452004","Limbic epilepsy personality syndrome (disorder)"
"231449007","Epileptic psychosis (disorder)"
"231446000","Organic emotionally labile disorder (disorder)"
"231445001","Organic dissociative disorder (disorder)"
"231444002","Organic bipolar disorder (disorder)"
"231443008","Right hemispheric organic affective disorder (disorder)"
"231442003","Organic catatonic disorder (disorder)"
"230282000","Post-traumatic dementia (disorder)"
"229637006","Hyperfunctional dysphonia (disorder)"
"229636002","Hypofunctional dysphonia (disorder)"
"225040001","Localized dissociative amnesia (disorder)"
"197480006","Anxiety disorder (disorder)"
"192450008","Vomiting associated with other psychological disturbances (disorder)"
"192080009","Chronic depression (disorder)"
"192079006","Postviral depression (disorder)"
"192072002","Organic memory impairment (disorder)"
"192069009","Specific nonpsychotic mental disorders following organic brain damage (disorder)"
"192065003","Hospitalism (disorder)"
"192063005","Adjustment reaction with physical symptoms (disorder)"
"192058006","Adjustment reaction with destructiveness (disorder)"
"192057001","Adjustment reaction with antisocial behavior (disorder)"
"192056005","Adjustment reaction with aggression (disorder)"
"192054008","Culture shock (disorder)"
"192052007","Early adult emancipation disorder (disorder)"
"192051000","Adolescent emancipation disorder (disorder)"
"192049004","Prolonged depressive adjustment reaction (disorder)"
"192017004","Non-organic loss of appetite (disorder)"
"192014006","Psychogenic rumination (disorder)"
"191970005","Psychogenic cyclical vomiting (disorder)"
"191738003","Obsessional neurosis (disorder)"
"191736004","Obsessive-compulsive disorder (disorder)"
"191722009","Agoraphobia with panic attacks (disorder)"
"191714002","Dissociative convulsions (disorder)"
"191713008","Dissociative tremor (disorder)"
"191683009","Psychogenic stupor (disorder)"
"191678001","Reactive confusion (disorder)"
"191676002","Reactive depressive psychosis (disorder)"
"191659001","Atypical depressive disorder (disorder)"
"191616006","Recurrent depression (disorder)"
"191613003","Recurrent major depressive episodes, severe, with psychosis (disorder)"
"191611001","Recurrent major depressive episodes, moderate (disorder)"
"191610000","Recurrent major depressive episodes, mild (disorder)"
"191604000","Single major depressive episode, severe, with psychosis (disorder)"
"191447007","Organic psychotic condition (disorder)"
"162722001","On examination - depressed (disorder)"
"162218007","Stress-related problem (disorder)"
"129606007","Frontal lobe syndrome (disorder)"
"129562004","Psychogenic skin disease (disorder)"
"126943008","Separation anxiety (disorder)"
"111492006","Conversion disorder, single episode (disorder)"
"111491004","Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in partial remission (disorder)"
"111490003","Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND severe panic attacks (disorder)"
"95439001","Psychogenic aphonia (disorder)"
"90483007","Conversion dysphonia (disorder)"
"89948007","Panic disorder with agoraphobia AND mild panic attacks (disorder)"
"88984006","Hysterical paralysis (disorder)"
"88939009","Severe mood disorder without psychotic features (disorder)"
"88902008","Hysterical blindness (disorder)"
"87842000","Generalized neuromuscular exhaustion syndrome (disorder)"
"87798009","Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND moderate panic attacks (disorder)"
"87512008","Mild major depression (disorder)"
"87414006","Reactive depression (situational) (disorder)"
"87203005","Bipolar I disorder, most recent episode depression (disorder)"
"85080004","Secondary dysthymia (disorder)"
"84984002","Adjustment disorder with disturbance of conduct (disorder)"
"84209002","Psychogenic amnesia (disorder)"
"83631006","Panic disorder with agoraphobia, moderate agoraphobic avoidance AND severe panic attacks (disorder)"
"83501007","Organic mood disorder of mixed type (disorder)"
"83482000","Body dysmorphic disorder (disorder)"
"83458005","Agitated depression (disorder)"
"83176005","Primary dysthymia (disorder)"
"82738004","Panic disorder with agoraphobia, moderate agoraphobic avoidance AND moderate panic attacks (disorder)"
"82415003","Agoraphobia without history of panic disorder without limited symptom attacks (disorder)"
"82218004","Postoperative depression (disorder)"
"79842004","Stuporous depression (disorder)"
"79298009","Mild major depression, single episode (disorder)"
"78667006","Dysthymia (disorder)"
"78004001","Bulimia nervosa (disorder)"
"77911002","Severe major depression, single episode, with psychotic features, mood-congruent (disorder)"
"77675002","Anorexia nervosa, restricting type (disorder)"
"77486005","Mood disorder with major depressive-like episode due to general medical condition (disorder)"
"76868007","Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND mild panic attacks (disorder)"
"76812003","Panic disorder with agoraphobia, moderate agoraphobic avoidance AND panic attacks in partial remission (disorder)"
