"conceptId","term","read2_code","read2_term","read2_chapter"
"1556006","Clark melanoma level 4 (finding)","4M73.00","Clark melanoma level 4","4 - Laboratory procedures"
"1820004","Ethanol measurement, breath (procedure)","4I91.11","Breath alcohol level","4 - Laboratory procedures"
"1820004","Ethanol measurement, breath (procedure)","4I91.00","Breath ethanol level","4 - Laboratory procedures"
"3116009","Blood coagulation panel (procedure)","42j..00","Other coagulation/bleeding tests","4 - Laboratory procedures"
"3357006","Iron kinetics study (procedure)","42SZ.00","Iron kinetics NOS","4 - Laboratory procedures"
"4727005","Lipoprotein electrophoresis (procedure)","44RZ.00","Lipoprotein electroph. NOS","4 - Laboratory procedures"
"5638008","Carbohydrate measurement (procedure)","4Q8..00","Carbohydrate level","4 - Laboratory procedures"
"6631009","Thrombocytosis (disorder)","42P3.00","Thrombocythaemia","4 - Laboratory procedures"
"7667005","Specimen shows excessive cytolysis (finding)","4KL..00","Specimen shows excessive cytolysis","4 - Laboratory procedures"
"7766007","Cloudy urine (finding)","4627.00","Urine: cloudy","4 - Laboratory procedures"
"8769003","Abnormal urine odor (finding)","4644.00","Urine smell abormal","4 - Laboratory procedures"
"8955008","Mucopurulent sputum (finding)","4E23.00","Sputum: mucopurulent","4 - Laboratory procedures"
"10812009","Blood gases, capillary measurement (procedure)","44YF.00","Blood gases, capillary measurement","4 - Laboratory procedures"
"11743002","Semen analysis, post vasectomy (procedure)","49N..00","Semen analysis, post vasectomy","4 - Laboratory procedures"
"11900001","Semen analysis (procedure)","49Z..00","Semen examination NOS","4 - Laboratory procedures"
"12199005","Vitamin D, 25-hydroxy measurement (procedure)","4QB4500","25-Hydroxyvitamin D level","4 - Laboratory procedures"
"14768001","Peripheral blood smear interpretation (procedure)","42Z..11","Blood film","4 - Laboratory procedures"
"14830009","Electrolytes measurement, urine (procedure)","46MZ.00","Urine electrolytes NOS","4 - Laboratory procedures"
"16034002","Clark melanoma level 5 (finding)","4M74.00","Clark melanoma level 5","4 - Laboratory procedures"
"17182001","Agranulocytosis (disorder)","42H4.00","Agranulocytosis","4 - Laboratory procedures"
"17235000","Spherocytosis (finding)","42D3.00","RBC's - spherocytes","4 - Laboratory procedures"
"17636008","Specimen collection (procedure)","41E..00","Collection of specimen","4 - Laboratory procedures"
"21165006","Clark melanoma level 3 (finding)","4M72.00","Clark melanoma level 3","4 - Laboratory procedures"
"24463005","Asthenozoospermia (finding)","49B9.00","Asthenozoospermia","4 - Laboratory procedures"
"25173007","Recurrent tumor (finding)","4M6..00","Recurrence of tumour","4 - Laboratory procedures"
"25884002","Immunoelectrophoresis (procedure)","43KZ.00","Immuno-electrophoresis NOS","4 - Laboratory procedures"
"26604007","Complete blood count (procedure)","424Z.00","Full blood count NOS","4 - Laboratory procedures"
"26958001","Hepatic function panel (procedure)","44DZ.00","Liver function tests NOS","4 - Laboratory procedures"
"27171005","Urinalysis (procedure)","46h..00","Additional urine tests","4 - Laboratory procedures"
"27220002","Alpha-1-Fetoprotein measurement, amniotic fluid (procedure)","4H5Z.00","Amniotic fluid AFP NOS","4 - Laboratory procedures"
"27327002","Hydrogen ion concentration (observable entity)","44YD.00","Hydrogen ion concentration","4 - Laboratory procedures"
"27731006","Soft stool (finding)","4742.00","Faeces consistency: soft","4 - Laboratory procedures"
"27854006","Metanephrines measurement, total, urine (procedure)","46L4.00","Urine metanephrin","4 - Laboratory procedures"
"28317006","Hematocrit determination (procedure)","425Z.00","Haematocrit - PCV - NOS","4 - Laboratory procedures"
"29703006","Complement assay (procedure)","43IZ.00","Complement test NOS","4 - Laboratory procedures"
"29738008","Proteinuria (finding)","4678.00","Proteinuria","4 - Laboratory procedures"
"30440004","Lymphoma stage I (finding)","4M20.00","Lymphoma stage I","4 - Laboratory procedures"
"30630007","Neutrophil count (procedure)","42JZ.00","Neutrophil count NOS","4 - Laboratory procedures"
"33468001","Hematology procedure (procedure)","42...00","Haematology","4 - Laboratory procedures"
"33468001","Hematology procedure (procedure)","42ZZ.00","Haematology NOS","4 - Laboratory procedures"
"33468001","Hematology procedure (procedure)","42Z..00","Haematology NOS","4 - Laboratory procedures"
"34436003","Blood in urine (finding)","46G2.11","RBCs- red blood cells in urine","4 - Laboratory procedures"
"35064005","Dark stools (finding)","4736.00","Faeces colour: dark","4 - Laboratory procedures"
"35140007","Interferon gamma assay (procedure)","43bH.00","Interferon gamma assay","4 - Laboratory procedures"
"35885006","Hyperuricemia (disorder)","44K2.11","Hyperuricaemia","4 - Laboratory procedures"
"37254006","Mean corpuscular hemoglobin concentration determination (procedure)","429Z.00","MCHC - NOS","4 - Laboratory procedures"
"37954002","Lupus erythematosus cell preparation (procedure)","43HZ.00","L.E. cells NOS","4 - Laboratory procedures"
"39611002","Parasite serologic study (procedure)","4JD..13","Parasite: serology","4 - Laboratory procedures"
"39700003","Free thyroxine index (procedure)","4428.00","Free thyroxine index","4 - Laboratory procedures"
"41902000","Major crossmatch (procedure)","434..00","Blood cross-matching","4 - Laboratory procedures"
"41902000","Major crossmatch (procedure)","434Z.00","Blood cross-matching NOS","4 - Laboratory procedures"
