code,description
1.05E+14,Retinal ischemia due to type 1 diabetes mellitus
1.06E+14,Pre-existing diabetes mellitus in mother complicating childbirth (disorder)
1.07E+16,Ulcer of left foot co-occurrent and due to diabetes mellitus type 2 (disorder)
1.07E+15,Eating disorder co-occurrent with diabetes mellitus type 1 (disorder)
1.08E+16,Diabetes mellitus in mother complicating childbirth (disorder)
1.10E+14,Peripheral sensory neuropathy due to type 2 diabetes mellitus
111307005,Leprechaunism syndrome (disorder)
111552007,Diabetes mellitus without complication
111556005,Diabetic ketoacidosis without coma
1.13E+14,Lipoatrophic diabetes mellitus without complication (disorder)
126534007,Diabetic mixed sensory-motor polyneuropathy
127011001,Diabetic sensory polyneuropathy
127012008,Lipoatrophic diabetes
127013003,Diabetic renal disease
127014009,Diabetic peripheral angiopathy
1.40E+14,Neuropathic toe ulcer due to type 2 diabetes mellitus (disorder)
1.40E+14,Ulcer of toe due to type 2 diabetes mellitus (disorder)
1.41E+14,Ischemic foot ulcer due to type 2 diabetes mellitus (disorder)
1.49E+12,Diabetic vitreous haemorrhage associated with type II diabetes mellitus
1.51E+12,Diabetic peripheral neuropathy associated with type II diabetes mellitus
1.57E+14,Proteinuria due to type 2 diabetes mellitus
170766006,Loss of hypoglycemic warning
190330002,"Diabetes mellitus, juvenile type, with hyperosmolar coma"
190331003,"Diabetes mellitus, adult onset, with hyperosmolar coma"
190368000,Type I diabetes mellitus with ulcer
190369008,Type 1 diabetes mellitus with gangrene
190372001,Type I diabetes mellitus maturity onset
190388001,Type II diabetes mellitus with multiple complications
190389009,Type 2 diabetes mellitus with ulcer
190406000,Malnutrition-related diabetes mellitus with ketoacidosis
190407009,Malnutrition-related diabetes mellitus with renal complications (disorder)
190410002,Malnutrition-related diabetes mellitus with peripheral circulatory complications
190411003,Malnutrition-related diabetes mellitus with multiple complications
190412005,Malnutrition-related diabetes mellitus without complications (disorder)
190416008,Steroid-induced diabetes mellitus without complication (disorder)
190447002,Steroid-induced diabetes (disorder)
193141005,Diabetic mononeuritis multiplex
193183000,Acute painful diabetic neuropathy
193184006,Chronic painful diabetic neuropathy
193185007,Asymptomatic diabetic neuropathy
193349004,Preproliferative diabetic retinopathy
193350004,Advanced diabetic maculopathy
193489006,Diabetic iritis
197605007,Nephrotic syndrome in diabetes mellitus
1.98E+14,Hypoglycaemic warning impaired (disorder)
1.98E+14,Hypoglycaemic warning good (disorder)
199230006,"Pre-existing diabetes mellitus, non-insulin-dependent"
199231005,Pre-existing malnutrition-related diabetes mellitus
200687002,Cellulitis in diabetic foot
201250006,Ischaemic ulcer diabetic foot
201251005,Neuropathic diabetic ulcer - foot
201723002,Diabetic hand syndrome
201724008,Diabetic Charcot's arthropathy
23045005,Insulin dependent diabetes mellitus type IA (disorder)
230572002,Diabetic neuropathy
230574001,Diabetic acute painful polyneuropathy
230575000,Diabetic chronic painful polyneuropathy
230576004,Diabetic asymmetric polyneuropathy
230577008,Diabetic mononeuropathy
230579006,Diabetic thoracic radiculopathy
232020009,Diabetic maculopathy
232021008,Proliferative diabetic retinopathy new vessels on disc
232022001,Proliferative diabetic retinopathy with new vessels elsewhere than on disc
232023006,Diabetic traction retinal detachment
236499007,Microalbuminuric diabetic nephropathy
236500003,Clinical diabetic nephropathy
237599002,Insulin-treated non-insulin-dependent diabetes mellitus
237601000,Secondary endocrine diabetes mellitus (disorder)
237604008,Diabetes mellitus autosomal dominant type II
237608006,"Lipodystrophy, partial, with Rieger anomaly, short stature, and insulinopenic diabetes mellitus (disorder)"
237610008,"Acrorenal field defect, ectodermal dysplasia, and lipoatrophic diabetes (disorder)"
237612000,"Photomyoclonus, diabetes mellitus, deafness, nephropathy and cerebral dysfunction (disorder)"
237613005,Hyperproinsulinemia (disorder)
237616002,"Hypogonadism, diabetes mellitus, alopecia, mental retardation and electrocardiographic abnormalities (disorder)"
237617006,"Megaloblastic anemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness (disorder)"
237618001,Insulin-dependent diabetes mellitus secretory diarrhea syndrome (disorder)
237619009,Diabetes-deafness syndrome maternally transmitted (disorder)
237620003,Abnormal metabolic state in diabetes mellitus
237621004,Diabetic severe hyperglycemia
237622006,Poor glycemic control (disorder)
237627000,Pregnancy and type 2 diabetes mellitus (disorder)
237632004,Hypoglycemic event in diabetes (disorder)
237633009,Hypoglycemic state in diabetes
237651005,Insulin resistance - type A (disorder)
237652003,Insulin resistance - type B (disorder)
238981002,Soft tissue complication of diabetes mellitus
238982009,Diabetic dermopathy
238983004,Diabetic thick skin syndrome
238984005,Diabetic rubeosis
25093002,Diabetic oculopathy
25412000,Diabetic retinal microaneurysm
26298008,Diabetic coma with ketoacidosis
267467004,Diabetes mellitus (& [ketoacidosis]) (disorder)
267471001,Diabetes + eye manifestation (& [cataract] or [retinopathy]) (disorder)
267604001,Myasthenic syndrome due to diabetic amyotrophy
2751001,Fibrocalculous pancreatic diabetes (disorder)
280137006,Diabetic foot
284449005,Congenital total lipodystrophy (disorder)
290002008,Unstable type I diabetes mellitus
303059007,Postpancreatectomy hypoinsulinemia (disorder)
309426007,Diabetic glomerulopathy
310505005,Diabetic hyperosmolar non-ketotic state
311782002,Advanced diabetic retinal disease
3.12E+13,Peripheral vascular disease due to type I diabetes
312903003,Mild non proliferative diabetic retinopathy
312904009,Moderate non proliferative diabetic retinopathy
312905005,Severe non proliferative diabetic retinopathy
312906006,Proliferative diabetic retinopathy - non high risk
312907002,Proliferative diabetic retinopathy - high risk
312908007,Proliferative diabetic retinopathy - quiescent
312909004,Proliferative diabetic retinopathy - iris neovascularisation
312910009,Diabetic vitreous hemorrhage
312912001,Diabetic macular edema
313435000,Type I diabetes mellitus without complication
313436004,Non-insulin-dependent diabetes mellitus without complication
314010006,Diffuse diabetic maculopathy
314011005,Focal diabetic maculopathy
314014002,Ischaemic diabetic maculopathy
314015001,Mixed diabetic maculopathy
314537004,Diabetic optic papillopathy
