code,description,tag
40511003,Eluate (specimen),specimen
48469005,Cytologic material (specimen),specimen
110893002,Cutaneous cytologic material (specimen),specimen
110894008,Mammary cytologic material (specimen),specimen
110896005,Subcutaneous cytologic material (specimen),specimen
110897001,Bone marrow cytological material (specimen),specimen
110898006,Lymph node cytologic material (specimen),specimen
110899003,Breast nipple cytologic material (specimen),specimen
110900008,Skeletal muscle cytologic material (specimen),specimen
110901007,Bone cytologic material (specimen),specimen
110902000,Upper respiratory tract cytologic material (specimen),specimen
110903005,Nasal cytologic material (specimen),specimen
110904004,Accessory sinus cytologic material (specimen),specimen
110905003,Nasopharyngeal cytologic material (specimen),specimen
110906002,Lower respiratory tract cytologic material (specimen),specimen
110907006,Epiglottic cytologic material (specimen),specimen
110908001,Laryngeal cytologic material (specimen),specimen
110909009,Vocal cord cytologic material (specimen),specimen
110910004,Lung cytologic material (specimen),specimen
110912007,Bronchial cytologic material (specimen),specimen
110913002,Pleural cytologic material (specimen),specimen
110914008,Right upper lobe bronchus cytologic material (specimen),specimen
110915009,Right pleural cytologic material (specimen),specimen
110916005,Right lower lobe bronchus cytologic material (specimen),specimen
110917001,Left pleural cytologic material (specimen),specimen
110918006,Left upper lobe bronchus cytologic material (specimen),specimen
110919003,Pericardial cytologic material (specimen),specimen
110920009,Tracheal cytologic material (specimen),specimen
110921008,Right middle lobe bronchus cytologic material (specimen),specimen
110922001,Cytologic material from left main bronchus (specimen),specimen
110923006,Left lower lobe bronchus cytologic material (specimen),specimen
110924000,Cytologic material from right main bronchus (specimen),specimen
110925004,Cytologic material of mouth (specimen),specimen
110926003,Gallbladder cytologic material (specimen),specimen
110927007,Liver cytologic material (specimen),specimen
110928002,Bile duct cytologic material (specimen),specimen
110929005,Pancreatic cytologic material (specimen),specimen
110930000,Salivary gland cytologic material (specimen),specimen
110931001,Penis cytologic material (specimen),specimen
110932008,Parotid gland cytologic material (specimen),specimen
110933003,Prostate cytologic material (specimen),specimen
110934009,Pharyngeal cytologic material (specimen),specimen
110935005,Testis cytologic material (specimen),specimen
110936006,Gastric cytologic material (specimen),specimen
110937002,Seminal vesicle cytologic material (specimen),specimen
110938007,Duodenal cytologic material (specimen),specimen
110939004,Vas deferens cytologic material (specimen),specimen
110940002,Ileal cytologic material (specimen),specimen
110941003,Epididymis cytologic material (specimen),specimen
110942005,Rectal cytologic material (specimen),specimen
110943000,Renal pelvis cytologic material (specimen),specimen
110944006,Peritoneal cytologic material (specimen),specimen
110945007,Vulva cytologic material (specimen),specimen
110946008,Upper urinary tract cytologic material (specimen),specimen
110947004,Vagina cytologic material (specimen),specimen
110948009,Kidney cytologic material (specimen),specimen
110949001,Cervix cytologic material (specimen),specimen
110950001,Urinary bladder cytologic material (specimen),specimen
110951002,Endocervical cytologic material (specimen),specimen
110952009,Submaxillary gland cytologic material (specimen),specimen
110953004,Vaginal and cervical cytologic material (specimen),specimen
110954005,Small intestine cytologic material (specimen),specimen
110955006,Endometrium cytologic material (specimen),specimen
110956007,Colonic cytologic material (specimen),specimen
110957003,Fallopian tube cytologic material (specimen),specimen
110958008,Urinary tract cytologic material (specimen),specimen
110959000,Placenta cytologic material (specimen),specimen
110960005,Ureter cytologic material (specimen),specimen
110961009,Chorion cytologic material (specimen),specimen
110962002,Esophageal cytologic material (specimen),specimen
110963007,Anal cytologic material (specimen),specimen
110964001,Lower urinary tract cytologic material (specimen),specimen
110965000,Urethra cytologic material (specimen),specimen
110966004,Jejunal cytologic material (specimen),specimen
110967008,Amnion cytologic material (specimen),specimen
110968003,Fetal cytologic material (specimen),specimen
110969006,Cerebrospinal fluid cytologic material (specimen),specimen
110970007,Cerebroventricular fluid cytologic material (specimen),specimen
116155002,Ampulla of Vater cytologic material (specimen),specimen
116156001,Gastrointestinal tract cytologic material (specimen),specimen
116157005,Heart cytologic material (specimen),specimen
116158000,Large intestine cytologic material (specimen),specimen
116159008,Upper aerodigestive tract cytologic material (specimen),specimen
116160003,Thyroid cytologic material (specimen),specimen
116161004,"Fine needle aspirate of thyroid, cytologic material (specimen)",specimen
116162006,"Thyroid cytologic material, processed intraoperatively (specimen)",specimen
116213003,Ovary cytologic material (specimen),specimen
119294007,Dried blood specimen (specimen),specimen
119295008,Specimen obtained by aspiration (specimen),specimen
119297000,Blood specimen (specimen),specimen
119298005,Mixed venous blood specimen (specimen),specimen
119299002,Specimen from patient (specimen),specimen
119300005,Specimen from blood product (specimen),specimen
119301009,Plant specimen (specimen),specimen
119302002,Mushroom specimen (specimen),specimen
119303007,Microbial isolate specimen (specimen),specimen
119304001,Blood bag specimen (specimen),specimen
119305000,Plasma bag specimen (specimen),specimen
119306004,Drain device specimen (specimen),specimen
119307008,Specimen from endotracheal tube (specimen),specimen
119308003,Cannula specimen (specimen),specimen
119309006,Arterial line specimen (specimen),specimen
119310001,Tube specimen (specimen),specimen
119311002,Catheter specimen (specimen),specimen
119312009,Catheter tip specimen (specimen),specimen
119313004,Implantable venous catheter specimen (specimen),specimen
119314005,Electrode specimen (specimen),specimen
119316007,Non-biological fluid specimen (specimen),specimen
119317003,Gaseous material specimen (specimen),specimen
119318008,Water specimen (specimen),specimen
119319000,Drug specimen (specimen),specimen
119320006,Food specimen (specimen),specimen
119321005,Milk specimen (specimen),specimen
119323008,Pus specimen (specimen),specimen
119324002,Specimen of unknown material (specimen),specimen
119325001,Skin (tissue) specimen (specimen),specimen
119326000,Hair specimen (specimen),specimen
119327009,Nail specimen (specimen),specimen
119328004,Mother's milk specimen (specimen),specimen
119329007,Colostrum specimen (specimen),specimen
119331003,Skeletal muscle specimen (specimen),specimen
119332005,Synovial fluid specimen (specimen),specimen
119333000,Fibroblast specimen (specimen),specimen
119334006,Sputum specimen (specimen),specimen
119335007,Coughed sputum specimen (specimen),specimen
119336008,Exhaled air specimen (specimen),specimen
119337004,Inhaled gas specimen (specimen),specimen
119338009,Dentin specimen (specimen),specimen
119339001,Stool specimen (specimen),specimen
119340004,Meconium specimen (specimen),specimen
119341000,Bile specimen (specimen),specimen
119342007,Saliva specimen (specimen),specimen
119343002,Pancreatic fluid specimen (specimen),specimen
119344008,Specimen from genital system (specimen),specimen
119345009,Menstrual blood specimen (specimen),specimen
119346005,Egg yolk specimen (specimen),specimen
119347001,Seminal fluid specimen (specimen),specimen
119348006,Seminal plasma specimen (specimen),specimen
119349003,Spermatozoa specimen (specimen),specimen
119350003,Calculus specimen (specimen),specimen
119351004,Erythrocyte specimen (specimen),specimen
119352006,Macrophage specimen (specimen),specimen
119353001,Lymphocyte specimen (specimen),specimen
119355008,Polymorphonuclear neutrophil specimen (specimen),specimen
119356009,Eosinophil specimen (specimen),specimen
119357000,Basophil specimen (specimen),specimen
119358005,Platelet specimen (specimen),specimen
119359002,Bone marrow specimen (specimen),specimen
119360007,Dialysis fluid specimen (specimen),specimen
119361006,Plasma specimen (specimen),specimen
