code,description
1.05E+14,Squamous cell carcinoma of vagina (disorder)
1.08E+14,Non-seminomatous germ cell neoplasm of testis (disorder)
1.08E+14,Primary malignant clear cell neoplasm of endometrium (disorder)
1.08E+15,Primary adenocarcinoma of lower lobe of left lung (disorder)
1.08E+15,Primary adenocarcinoma of upper lobe of left lung (disorder)
1.08E+15,Primary adenocarcinoma of upper lobe of right lung (disorder)
1.08E+15,Malignant melanoma of left choroid (disorder)
1.08E+15,Recurrent primary malignant neoplasm of left female breast (disorder)
1.08E+15,Recurrent primary malignant neoplasm of right female breast (disorder)
1.08E+15,Primary seminoma of left testis (disorder)
1.08E+15,Transitional cell carcinoma of right renal pelvis (disorder)
1.08E+15,Transitional cell carcinoma of right ureter (disorder)
1.09E+15,Secondary malignant neoplasm of paratracheal lymph nodes (disorder)
1.09E+15,Secondary malignant neoplasm of internal mammary lymph nodes (disorder)
1.09E+15,Secondary malignant neoplasm of supratrochlear lymph nodes (disorder)
1.09E+15,Secondary malignant neoplasm of deep cervical lymph nodes (disorder)
1.09E+15,Secondary malignant neoplasm of anterior cervical lymph nodes (disorder)
1.09E+15,Secondary malignant neoplasm of superficial cervical lymph nodes (disorder)
1.09E+15,Secondary malignant neoplasm of mastoid lymph nodes (disorder)
1.09E+15,Secondary malignant neoplasm of diaphragmatic lymph nodes (disorder)
1.09E+15,Secondary malignant neoplasm of sacral lymph nodes (disorder)
1.09E+15,Secondary malignant neoplasm of inferior epigastric lymph nodes (disorder)
1.09E+15,Secondary malignant neoplasm of coeliac lymph nodes (disorder)
1.09E+15,Secondary malignant neoplasm of deep inguinal lymph nodes (disorder)
1.09E+15,Secondary malignant neoplasm of internal iliac lymph nodes (disorder)
1.09E+15,Angioimmunoblastic T-cell lymphoma with dysproteinaemia (disorder)
1.09E+15,Malignant neoplasm of nose (disorder)
1.09E+15,Malignant neoplasm of descended testis (disorder)
1.09E+15,Malignant neoplasm of ventral surface of tongue (disorder)
1.09E+15,Malignant neoplasm of genital labia (disorder)
1.09E+15,Malignant neoplasm of prepylorus of stomach (disorder)
1.09E+15,Malignant neoplasm of flank (disorder)
1.09E+15,Malignant neoplasm of bone and articular cartilage (disorder)
