code,description,tag
129007,Homoiothermia (finding),finding
134006,Decreased hair growth (finding),finding
144008,Normal peripheral vision (finding),finding
150003,Abnormal bladder continence (finding),finding
165002,Accident prone (finding),finding
175004,Supraorbital neuralgia (finding),finding
179005,Apraxia of dressing (finding),finding
199004,Decreased lactation (finding),finding
216004,Delusion of persecution (finding),finding
219006,Current drinker of alcohol (finding),finding
292003,Electroencephalogram finding (finding),finding
313005,Déjà vu (finding),finding
320003,"Cervical dilatation, 1cm (finding)",finding
330007,Occipital headache (finding),finding
349006,Absent tendon reflex (finding),finding
366008,Hidromeiosis (finding),finding
369001,Normal jugular venous pressure (finding),finding
382009,Legal history finding relating to child (finding),finding
383004,Finding of passive range of hip extension (finding),finding
387003,Melanuria (finding),finding
398002,Left axis deviation greater than -90 degrees by electrocardiogram (finding),finding
408005,Tooth chattering (finding),finding
409002,Food allergy diet (finding),finding
437009,Abnormal composition of urine (finding),finding
447007,Coach in sports activity accident (finding),finding
518002,Multiple aggregation (finding),finding
527001,"Spontaneous fetal evolution, Roederer's method (finding)",finding
607007,Decreased vital capacity (finding),finding
664002,Delayed ovulation (finding),finding
786005,Clinical stage I B (finding),finding
788006,Disease-related diet (finding),finding
811004,Flail motion (finding),finding
813001,Ankle instability (finding),finding
816009,Genetic recombination (finding),finding
834008,Chair-seated facing coital position (finding),finding
842009,Consanguinity (finding),finding
844005,Behavior finding (finding),finding
865004,Hyperalimentation formula for ileus (finding),finding
874002,Therapeutic diuresis (finding),finding
904002,Pinard's sign (finding),finding
919001,Pseudohomosexual state (finding),finding
931004,"Gestation period, 9 weeks (finding)",finding
932006,Flat affect (finding),finding
962000,"Disability evaluation, disability 6% (finding)",finding
991002,Wide QRS complex (finding),finding
1003002,Religious discrimination (finding),finding
1023001,Apnea (finding),finding
1070000,Facial myokymia (finding),finding
1077002,Septal infarction by electrocardiogram (finding),finding
1111005,Normal sebaceous gland activity (finding),finding
1124005,"Postpartum period, 6 days (finding)",finding
1126007,Knee locking (finding),finding
1139006,Confrontation (visual) test (finding),finding
1140008,Thermal hypesthesia (finding),finding
1141007,Circumoral paresthesia (finding),finding
1151008,Visual field constriction (finding),finding
1152001,Skin reaction negative (finding),finding
1155004,"Myocardial hypertrophy, determined by electrocardiogram (finding)",finding
1168007,Allotype (finding),finding
1184008,"Glasgow coma scale, 10 (finding)",finding
1194003,"Disease condition determination, well controlled (finding)",finding
1240000,Prone body position (finding),finding
1318006,Post-translational genetic protein processing (finding),finding
1332008,Conjugated visual deviation (finding),finding
1402001,Fear (finding),finding
1523005,Clinical stage IV B (finding),finding
1556006,Clark melanoma level 4 (finding),finding
1608005,Increased capillary permeability (finding),finding
1663004,G2 grade (finding),finding
1667003,Early fontanel closure (finding),finding
1703007,Increased leg circumference (finding),finding
1735007,Thrill (finding),finding
1742007,Female hypererotism (finding),finding
1777007,Increased molecular dissociation (finding),finding
1821000,Chemoreceptor apnea (finding),finding
1865008,Impaired intestinal protein absorption (finding),finding
1881003,Increased nutritional requirement (finding),finding
1892002,Star figure at the macula (finding),finding
1939005,Abnormal vascular flow (finding),finding
1943009,Right-left disorientation (finding),finding
1965009,Normal skin pH (finding),finding
2004005,Normal blood pressure (finding),finding
2070002,Burning sensation in eye (finding),finding
2073000,Delusions (finding),finding
2116002,Intramembranous bone formation (finding),finding
2120003,Weak cry (finding),finding
2134003,Diffuse pain (finding),finding
2138000,Left sacroposterior position (finding),finding
2145000,Anal penetration (finding),finding
