"code","description"
"D560","Alpha thalassaemia"
"D562","Delta-beta thalassaemia"
"D564","Hereditary persistence of fetal haemoglobin [HPFH]"
"D568","Other thalassaemias"
"D569","Thalassaemia, unspecified"
"D570","Sickle-cell anaemia with crisis"
"D571","Sickle-cell anaemia without crisis"
"D572","Double heterozygous sickling disorders"
"D578","Other sickle-cell disorders"
"D58","Other hereditary haemolytic anaemias"
"D580","Hereditary spherocytosis"
"D581","Hereditary elliptocytosis"
"D582","Other haemoglobinopathies"
"D588","Other specified hereditary haemolytic anaemias"
"D589","Hereditary haemolytic anaemia, unspecified"
"D610","Constitutional aplastic anaemia"
"D619","Aplastic anaemia, unspecified"
"D630","Anaemia in neoplastic disease"
"D638","Anaemia in other chronic diseases classified elsewhere"
"D640","Hereditary sideroblastic anaemia"
"D641","Secondary sideroblastic anaemia due to disease"
"D642","Secondary sideroblastic anaemia due to drugs and toxins"
"D643","Other sideroblastic anaemias"
"D644","Congenital dyserythropoietic anaemia"
"D648","Other specified anaemias"
"D66","Hereditary factor VIII deficiency"
"D67","Hereditary factor IX deficiency"
"D68","Other coagulation defects"
"D680","Von Willebrand disease"
"D681","Hereditary factor XI deficiency"
"D682","Hereditary deficiency of other clotting factors"
"D684","Acquired coagulation factor deficiency"
"D685","Primary Thrombophilia"
"D686","Other Thrombophilia"
"D688","Other specified coagulation defects"
"D689","Coagulation defect, unspecified"
"D69","Purpura and other haemorrhagic conditions"
"D691","Qualitative platelet defects"
"D692","Other nonthrombocytopenic purpura"
"D693","Idiopathic thrombocytopenic purpura"
"D694","Other primary thrombocytopenia"
"D695","Secondary thrombocytopenia"
"D696","Thrombocytopenia, unspecified"
"D698","Other specified haemorrhagic conditions"
"D699","Haemorrhagic condition, unspecified"
"D70","Agranulocytosis"
"D73","Diseases of spleen"
"D730","Hyposplenism"
"D731","Hypersplenism"
"D732","Chronic congestive splenomegaly"
"D74","Methaemoglobinaemia"
"D740","Congenital methaemoglobinaemia"
"D748","Other methaemoglobinaemias"
"D749","Methaemoglobinaemia, unspecified"
"D75","Other diseases of blood and blood-forming organs"
"D750","Familial erythrocytosis"
"D751","Secondary polycythaemia"
"D758","Other specified diseases of blood and blood-forming organs"
"D55","Anaemia due to enzyme disorders"
"D550","Anaemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency"
"D551","Anaemia due to other disorders of glutathione metabolism"
"D552","Anaemia due to disorders of glycolytic enzymes"
"D553","Anaemia due to disorders of nucleotide metabolism"
"D558","Other anaemias due to enzyme disorders"
"D559","Anaemia due to enzyme disorder, unspecified"
"E831","Disorders of iron metabolism"
"E744","Disorders of pyruvate metabolism and gluconeogenesis"
