"code","description"
"Q30","Congenital malformations of nose"
"Q300","Choanal atresia"
"Q301","Agenesis and underdevelopment of nose"
"Q302","Fissured, notched and cleft nose"
"Q303","Congenital perforated nasal septum"
"Q308","Other congenital malformations of nose"
"Q309","Congenital malformation of nose, unspecified"
"Q31","Congenital malformations of larynx"
"Q310","Web of larynx"
"Q311","Congenital subglottic stenosis"
"Q312","Laryngeal hypoplasia"
"Q313","Laryngocele"
"Q315","Congenital laryngomalacia"
"Q318","Other congenital malformations of larynx"
"Q319","Congenital malformation of larynx, unspecified"
"Q32","Congenital malformations of trachea and bronchus"
"Q320","Congenital tracheomalacia"
"Q321","Other congenital malformations of trachea"
"Q322","Congenital bronchomalacia"
"Q323","Congenital stenosis of bronchus"
"Q324","Other congenital malformations of bronchus"
"Q33","Congenital malformations of lung"
"Q330","Congenital cystic lung"
"Q331","Accessory lobe of lung"
"Q332","Sequestration of lung"
"Q333","Agenesis of lung"
"Q334","Congenital bronchiectasis"
"Q335","Ectopic tissue in lung"
"Q336","Hypoplasia and dysplasia of lung"
"Q338","Other congenital malformations of lung"
"Q339","Congenital malformation of lung, unspecified"
"Q34","Other congenital malformations of respiratory system"
"Q340","Anomaly of pleura"
"Q341","Congenital cyst of mediastinum"
"Q348","Other specified congenital malformations of respiratory system"
"Q349","Congenital malformation of respiratory system, unspecified"
"Q35","Cleft palate"
"Q351","Cleft hard palate"
"Q353","Cleft soft palate"
"Q355","Cleft hard palate with cleft soft palate"
"Q357","Cleft uvula"
"Q359","Cleft palate, unspecified"
"Q36","Cleft lip"
"Q360","Cleft lip, bilateral"
"Q361","Cleft lip, median"
"Q369","Cleft lip, unilateral"
"Q37","Cleft palate with cleft lip"
"Q370","Cleft hard palate with bilateral cleft lip"
"Q371","Cleft hard palate with unilateral cleft lip"
"Q372","Cleft soft palate with bilateral cleft lip"
"Q373","Cleft soft palate with unilateral cleft lip"
"Q374","Cleft hard and soft palate with bilateral cleft lip"
"Q375","Cleft hard and soft palate with unilateral cleft lip"
"Q378","Unspecified cleft palate with bilateral cleft lip"
"Q379","Unspecified cleft palate with unilateral cleft lip"
"Q790","Congenital diaphragmatic hernia"
"P27","Chronic respiratory disease originating in the perinatal period"
"P270","Wilson-Mikity syndrome"
"P271","Bronchopulmonary dysplasia originating in the perinatal period"
"P278","Other chronic respiratory diseases originating in the perinatal period"
"P279","Unspecified chronic respiratory disease originating in the perinatal period"
